symbol,month,horizon,model,control_seed,task_id,latency,original_rows,rows,threshold_bps,coverage,selected_rows,sign_selected_bps,top_decile_long_bps,bottom_decile_short_bps,ordered_deciles,decile_bins
KGHM,2017-04,10,linear,,a676ed0528733f33dc6e3eee4911056eb99a8ce35e019e79545e78ca41c295bc,0,1099156,1099066,1.0,0.0001028145716453789,113,-10.084728987162634,-6.366526091145539,-6.601185106233804,0.0,10
KGHM,2017-04,10,linear,,a676ed0528733f33dc6e3eee4911056eb99a8ce35e019e79545e78ca41c295bc,1,1099156,1099066,1.0,0.0001028145716453789,113,-10.5216369077868,-6.59848027929568,-6.782602643409671,0.0,10
KGHM,2017-04,10,linear,,a676ed0528733f33dc6e3eee4911056eb99a8ce35e019e79545e78ca41c295bc,5,1099156,1099066,1.0,0.0001028145716453789,113,-10.91285341288619,-6.978472956903622,-7.093405400445533,0.0,10
KGHM,2017-04,10,xgboost,,34c7df96585827be1f73a096e12a5c2260f9a902fdf9a06bf78d6b690ed47a6a,0,1099156,1099066,1.0,0.009128660153257402,10033,-5.540250462680755,-7.292233473518543,-7.02222072031404,0.0,10
KGHM,2017-04,10,xgboost,,34c7df96585827be1f73a096e12a5c2260f9a902fdf9a06bf78d6b690ed47a6a,1,1099156,1099066,1.0,0.009128660153257402,10033,-6.705454348826088,-7.500302473388661,-7.202426358359354,0.0,10
KGHM,2017-04,10,xgboost,,34c7df96585827be1f73a096e12a5c2260f9a902fdf9a06bf78d6b690ed47a6a,5,1099156,1099066,1.0,0.009128660153257402,10033,-7.240146429222945,-7.8646964704423645,-7.537603276004261,0.0,10
KGHM,2017-04,20,linear,,dbb94b13eeb562c870be2b8722d3be01abbe7c6af2d8b11227b2289ca9197fe4,0,1098976,1098886,1.0,0.0008608718283789219,946,-6.16893699053125,-6.371250078854854,-6.7400177648130475,0.0,10
KGHM,2017-04,20,linear,,dbb94b13eeb562c870be2b8722d3be01abbe7c6af2d8b11227b2289ca9197fe4,1,1098976,1098886,1.0,0.0008608718283789219,946,-7.011505991419935,-6.605211197881491,-6.925768259819944,0.0,10
KGHM,2017-04,20,linear,,dbb94b13eeb562c870be2b8722d3be01abbe7c6af2d8b11227b2289ca9197fe4,5,1098976,1098886,1.0,0.0008608718283789219,946,-7.384535940778363,-6.99750535901361,-7.250719377270649,0.0,10
KGHM,2017-04,20,xgboost,,9860cae15aefbf8b195731e7ef014b24ae7d75bd889dc6b34d318c8540370477,0,1098976,1098886,1.0,0.04028898357063426,44273,-5.742713005580422,-7.1173130113932,-7.076804380917043,0.0,10
KGHM,2017-04,20,xgboost,,9860cae15aefbf8b195731e7ef014b24ae7d75bd889dc6b34d318c8540370477,1,1098976,1098886,1.0,0.04028898357063426,44273,-6.255645560002704,-7.33545827290228,-7.265562393661548,0.0,10
KGHM,2017-04,20,xgboost,,9860cae15aefbf8b195731e7ef014b24ae7d75bd889dc6b34d318c8540370477,5,1098976,1098886,1.0,0.04028898357063426,44273,-6.776469596091153,-7.729998815275472,-7.613274126524989,0.0,10
KGHM,2017-04,50,linear,,f2cb205aaf4cacc3a03fb01e7ac58af10aaff8ae531f1ea9d1095c57b2b9f709,0,1098436,1098346,1.0,0.21028346258829184,230964,-6.9788557093927,-6.609778273746843,-7.291956476973928,0.0,10
KGHM,2017-04,50,linear,,f2cb205aaf4cacc3a03fb01e7ac58af10aaff8ae531f1ea9d1095c57b2b9f709,1,1098436,1098346,1.0,0.21028346258829184,230964,-7.170162174673442,-6.834395238544066,-7.462005022926253,0.0,10
KGHM,2017-04,50,linear,,f2cb205aaf4cacc3a03fb01e7ac58af10aaff8ae531f1ea9d1095c57b2b9f709,5,1098436,1098346,1.0,0.21028346258829184,230964,-7.512797538458568,-7.221808563603316,-7.774139167665341,0.0,10
KGHM,2017-04,50,xgboost,,ddcc1d1f78046b61dca1a9e8414e41bd6a4da017f486e247e8b3be852364e9ad,0,1098436,1098346,1.0,0.2299921882539746,252611,-7.58610569240365,-7.472222071681695,-7.466836302613396,0.0,10
KGHM,2017-04,50,xgboost,,ddcc1d1f78046b61dca1a9e8414e41bd6a4da017f486e247e8b3be852364e9ad,1,1098436,1098346,1.0,0.2299921882539746,252611,-7.7573237346653965,-7.674866796185553,-7.639864960069162,0.0,10
KGHM,2017-04,50,xgboost,,ddcc1d1f78046b61dca1a9e8414e41bd6a4da017f486e247e8b3be852364e9ad,5,1098436,1098346,1.0,0.2299921882539746,252611,-8.079936609384008,-8.039737712954986,-7.960461670240035,0.0,10
KGHM,2017-06,10,linear,,83160cccd789a38e1916aef464a077422ae2f4ba8debd89783e562d5cb7a9a3a,0,1014775,1014670,1.0,0.00016557107236835623,168,-10.640486749765433,-7.355325768564229,-6.736734777324347,0.0,10
KGHM,2017-06,10,linear,,83160cccd789a38e1916aef464a077422ae2f4ba8debd89783e562d5cb7a9a3a,1,1014775,1014670,1.0,0.00016557107236835623,168,-10.539851125225278,-7.654224824916043,-7.055466044102642,0.0,10
KGHM,2017-06,10,linear,,83160cccd789a38e1916aef464a077422ae2f4ba8debd89783e562d5cb7a9a3a,5,1014775,1014670,1.0,0.00016557107236835623,168,-11.316245881020322,-8.113381450291646,-7.574290591470475,0.0,10
KGHM,2017-06,10,xgboost,,6a367d79f64f0156a192e769c2ad50c54012787a0043380bda69133233dd4be3,0,1014775,1014670,1.0,0.017589955354942986,17848,-5.522227165078375,-7.843895943528639,-7.807709729902021,0.0,10
KGHM,2017-06,10,xgboost,,6a367d79f64f0156a192e769c2ad50c54012787a0043380bda69133233dd4be3,1,1014775,1014670,1.0,0.017589955354942986,17848,-6.706904936110418,-8.129607146120822,-8.084403727043634,0.0,10
KGHM,2017-06,10,xgboost,,6a367d79f64f0156a192e769c2ad50c54012787a0043380bda69133233dd4be3,5,1014775,1014670,1.0,0.017589955354942986,17848,-7.408002943466416,-8.64676486570511,-8.554607950167002,0.0,10
KGHM,2017-06,10,xgboost,7.0,c6279051db4b116c7689b57796dff7ae50dc350de02815b0964e72a972349cf9,0,1014775,1014670,1.0,0.0,0,,-11.36698497840737,-15.025732825663178,0.0,10
KGHM,2017-06,10,xgboost,7.0,c6279051db4b116c7689b57796dff7ae50dc350de02815b0964e72a972349cf9,1,1014775,1014670,1.0,0.0,0,,-11.42590545942542,-14.871762080682352,0.0,10
KGHM,2017-06,10,xgboost,7.0,c6279051db4b116c7689b57796dff7ae50dc350de02815b0964e72a972349cf9,5,1014775,1014670,1.0,0.0,0,,-11.454491418579723,-14.63148565174951,0.0,10
KGHM,2017-06,20,linear,,72b581a6456b8f1241618cbaec0b4ec58941001943c06d59df4907dfb8328c46,0,1014565,1014460,1.0,0.0050785639650651575,5152,-5.015452307369142,-7.1597650808908595,-6.782235488835472,0.0,10
KGHM,2017-06,20,linear,,72b581a6456b8f1241618cbaec0b4ec58941001943c06d59df4907dfb8328c46,1,1014565,1014460,1.0,0.0050785639650651575,5152,-5.730449792775598,-7.466188633469135,-7.104072878851293,0.0,10
KGHM,2017-06,20,linear,,72b581a6456b8f1241618cbaec0b4ec58941001943c06d59df4907dfb8328c46,5,1014565,1014460,1.0,0.0050785639650651575,5152,-6.485639819041381,-7.954699639565217,-7.642395052779604,0.0,10
KGHM,2017-06,20,xgboost,,34c763d45a0fb4d2cff1b0ec70532664ff7630b8e5956f49fc15e87ec3179089,0,1014565,1014460,1.0,0.06868383179228357,69677,-5.687268584569698,-7.245906703182542,-7.7049912154808835,0.0,10
KGHM,2017-06,20,xgboost,,34c763d45a0fb4d2cff1b0ec70532664ff7630b8e5956f49fc15e87ec3179089,1,1014565,1014460,1.0,0.06868383179228357,69677,-6.241681087770861,-7.541948297027937,-7.987507875471034,0.0,10
KGHM,2017-06,20,xgboost,,34c763d45a0fb4d2cff1b0ec70532664ff7630b8e5956f49fc15e87ec3179089,5,1014565,1014460,1.0,0.06868383179228357,69677,-6.989398410829525,-8.122638184801781,-8.484572978840824,0.0,10
KGHM,2017-06,20,xgboost,7.0,260ca69c07d7e00554e7d58abbabd24c898a512a2e3130b202ee048374e327a0,0,1014565,1014460,1.0,0.0,0,,-11.43639178657899,-14.143521735752222,0.0,10
KGHM,2017-06,20,xgboost,7.0,260ca69c07d7e00554e7d58abbabd24c898a512a2e3130b202ee048374e327a0,1,1014565,1014460,1.0,0.0,0,,-11.428776102108536,-14.071703334622468,0.0,10
KGHM,2017-06,20,xgboost,7.0,260ca69c07d7e00554e7d58abbabd24c898a512a2e3130b202ee048374e327a0,5,1014565,1014460,1.0,0.0,0,,-11.408113104885874,-13.883375392839055,0.0,10
KGHM,2017-06,50,linear,,1192947f77115b11bec8b45e313e69da009686c301cab22a218ca26ac62c61ef,0,1013935,1013830,1.0,0.20512216052000828,207959,-7.338449039325775,-7.225674753094877,-7.293282855500733,0.0,10
KGHM,2017-06,50,linear,,1192947f77115b11bec8b45e313e69da009686c301cab22a218ca26ac62c61ef,1,1013935,1013830,1.0,0.20512216052000828,207959,-7.6290254611772355,-7.5279249659661005,-7.582222417730686,0.0,10
KGHM,2017-06,50,linear,,1192947f77115b11bec8b45e313e69da009686c301cab22a218ca26ac62c61ef,5,1013935,1013830,1.0,0.20512216052000828,207959,-8.12104485264745,-8.038344987059237,-8.069929011894612,0.0,10
KGHM,2017-06,50,xgboost,,459d8ee07a984d8b08dd16ca103dc0e386a56724a4bff76f660ae754b243c7e6,0,1013935,1013830,1.0,0.25223854097827053,255727,-8.058851886301579,-7.180189350721302,-8.240139196061047,0.0,10
KGHM,2017-06,50,xgboost,,459d8ee07a984d8b08dd16ca103dc0e386a56724a4bff76f660ae754b243c7e6,1,1013935,1013830,1.0,0.25223854097827053,255727,-8.291715370778757,-7.479302686571151,-8.484619304938974,0.0,10
KGHM,2017-06,50,xgboost,,459d8ee07a984d8b08dd16ca103dc0e386a56724a4bff76f660ae754b243c7e6,5,1013935,1013830,1.0,0.25223854097827053,255727,-8.74453318104883,-8.058232850063941,-8.905099943672207,0.0,10
KGHM,2017-06,50,xgboost,7.0,2591e7bf406b45d4425f226a1e910fca83da9de49ed775e5877237c827abd193,0,1013935,1013830,1.0,0.0,0,,-8.997069943850077,-13.78653736007118,0.0,10
KGHM,2017-06,50,xgboost,7.0,2591e7bf406b45d4425f226a1e910fca83da9de49ed775e5877237c827abd193,1,1013935,1013830,1.0,0.0,0,,-9.057395289940795,-13.703384615533386,0.0,10
KGHM,2017-06,50,xgboost,7.0,2591e7bf406b45d4425f226a1e910fca83da9de49ed775e5877237c827abd193,5,1013935,1013830,1.0,0.0,0,,-9.237098640371748,-13.527811458257187,0.0,10
KGHM,2017-09,10,linear,,2093d352f97a84a8dc49fbfb97038ae5f43c553a62fe5675e32fbf0679c10cf4,0,916750,916645,1.0,8.182011574819041e-05,75,-6.953277906851772,-5.39260623802654,-5.703301799780533,0.0,10
KGHM,2017-09,10,linear,,2093d352f97a84a8dc49fbfb97038ae5f43c553a62fe5675e32fbf0679c10cf4,1,916750,916645,1.0,8.182011574819041e-05,75,-8.313337950299063,-5.636069683613639,-5.931721383362487,0.0,10
KGHM,2017-09,10,linear,,2093d352f97a84a8dc49fbfb97038ae5f43c553a62fe5675e32fbf0679c10cf4,5,916750,916645,1.0,8.182011574819041e-05,75,-9.629676200558329,-6.06185123946168,-6.287321751021264,0.0,10
KGHM,2017-09,10,xgboost,,3f3f4532e584b61b53ed602e857dfbc9643cad361ccbf76b7baaa627e299ebfa,0,916750,916645,1.0,0.022548532965324636,20669,-4.939045982942899,-5.924527236860064,-5.996222709549901,0.0,10
KGHM,2017-09,10,xgboost,,3f3f4532e584b61b53ed602e857dfbc9643cad361ccbf76b7baaa627e299ebfa,1,916750,916645,1.0,0.022548532965324636,20669,-5.818518179214429,-6.133744201328756,-6.2088300559853735,0.0,10
