horizon,scope,member,blocks,mean_delta_ic,median_delta_ic,wins,descriptive_lower,descriptive_upper
10,overall,all,20,0.008368594738815254,0.007818877808165287,20,0.006640505665430586,0.010233979432116718
10,by_symbol,KGHM,4,0.006943228339846751,0.006849621358319499,4,,
10,leave_one_symbol,KGHM,16,0.00872493633855738,0.008018486815849948,16,,
10,by_symbol,PEKAO,4,0.009366758711555116,0.009281359459267141,4,,
10,leave_one_symbol,PEKAO,16,0.008119053745630288,0.007818877808165287,16,,
10,by_symbol,PKNORLEN,4,0.012985557513490717,0.011810186663012118,4,,
10,leave_one_symbol,PKNORLEN,16,0.007214354045146388,0.007481565843386134,16,,
10,by_symbol,PKOBP,4,0.005378378628974091,0.00590111669151179,4,,
10,leave_one_symbol,PKOBP,16,0.009116148766275544,0.008963447561045362,16,,
10,by_symbol,PZU,4,0.007169050500209592,0.008479356573773342,4,,
10,leave_one_symbol,PZU,16,0.008668480798466669,0.007818877808165287,16,,
10,by_month,2017-04,5,0.006778545360475697,0.006487199750145195,5,,
10,leave_one_month,2017-04,15,0.008898611198261772,0.007846704390928688,15,,
10,by_month,2017-06,5,0.006456252014644915,0.007524822803796988,5,,
10,leave_one_month,2017-06,15,0.009006042313538699,0.009680972715792713,15,,
10,by_month,2017-09,5,0.010274593067708958,0.007791051225401885,5,,
10,leave_one_month,2017-09,15,0.007733261962517351,0.007846704390928688,15,,
10,by_month,2017-11,5,0.009964988512431444,0.01124662012075639,5,,
10,leave_one_month,2017-11,15,0.00783646348094319,0.007524822803796988,15,,
20,overall,all,20,0.006446312457663768,0.007171459049597734,18,0.004352203340782023,0.00843751551615336
20,by_symbol,KGHM,4,0.005967154624272386,0.00582302595411846,4,,
20,leave_one_symbol,KGHM,16,0.006566101916011613,0.007502202951495174,14,,
20,by_symbol,PEKAO,4,0.008111948406808456,0.007815490061233776,4,,
20,leave_one_symbol,PEKAO,16,0.006029903470377596,0.006622821168252774,14,,
20,by_symbol,PKNORLEN,4,0.01050024080027706,0.00854958753727933,4,,
20,leave_one_symbol,PKNORLEN,16,0.005432830372010445,0.006319425813271301,14,,
20,by_symbol,PKOBP,4,0.002750154158668007,0.0027838772875964507,3,,
20,leave_one_symbol,PKOBP,16,0.007370352032412708,0.007667102315523977,15,,
20,by_symbol,PZU,4,0.00490206429829293,0.007089107381408458,3,,
20,leave_one_symbol,PZU,16,0.006832374497506477,0.007171459049597734,15,,
20,by_month,2017-04,5,0.0032054549466158655,0.0047706849907668825,4,,
20,leave_one_month,2017-04,15,0.007526598294679735,0.007467551181725429,14,,
20,by_month,2017-06,5,0.004837942578723359,0.006268576207507093,4,,
20,leave_one_month,2017-06,15,0.006982435750643904,0.007536854721264918,14,,
20,by_month,2017-09,5,0.008969220470299688,0.007467551181725429,5,,
20,leave_one_month,2017-09,15,0.005605343120118461,0.006875366917470038,13,,
20,by_month,2017-11,5,0.00877263183501616,0.009301825164775623,5,,
20,leave_one_month,2017-11,15,0.005670872665212971,0.006370275419035509,13,,
50,overall,all,20,0.0061735723342010605,0.005720269923155899,18,0.004341772074987935,0.007987289719176787
50,by_symbol,KGHM,4,0.006579512395707601,0.006295044891796442,4,,
50,leave_one_symbol,KGHM,16,0.0060720873188244255,0.005584727204023712,14,,
50,by_symbol,PEKAO,4,0.0074529357867333945,0.007713848271676704,4,,
50,leave_one_symbol,PEKAO,16,0.005853731471067977,0.005584727204023712,14,,
50,by_symbol,PKNORLEN,4,0.008074505374044035,0.007191318636776509,4,,
50,leave_one_symbol,PKNORLEN,16,0.005698339074240317,0.0056923889015843,14,,
50,by_symbol,PKOBP,4,0.002351832959348203,0.0025238569927354543,3,,
50,leave_one_symbol,PKOBP,16,0.007129007177914275,0.006822164349503307,15,,
50,by_symbol,PZU,4,0.00640907515517207,0.0076245493145236515,3,,
50,leave_one_symbol,PZU,16,0.006114696628958308,0.005720269923155899,15,,
50,by_month,2017-04,5,0.003547664986108645,0.004788934297163705,4,,
50,leave_one_month,2017-04,15,0.007048874783565199,0.005827931620716487,14,,
50,by_month,2017-06,5,0.004034538691842715,0.004040189007793404,4,,
50,leave_one_month,2017-06,15,0.00688658354832051,0.006762158162876397,14,,
50,by_month,2017-09,5,0.009239525572321078,0.008545526007223192,5,,
50,leave_one_month,2017-09,15,0.005151587921494389,0.005142100255693505,13,,
50,by_month,2017-11,5,0.007872560086531805,0.006762158162876397,5,,
50,leave_one_month,2017-11,15,0.005607243083424146,0.005556846182452113,13,,
