model,horizon,control_seed,latency,coverage,sign_selected_bps,top_decile_long_bps,bottom_decile_short_bps,ordered_deciles,decile_bins,blocks,total_rows,selected_blocks,selected_rows
linear,10,,0,7.255697466563194e-05,-7.909954570695083,-5.891070998993866,-5.78558327710841,0.0,10.0,20,16845687,20,1087
linear,10,,1,7.255697466563194e-05,-8.760892743824495,-6.128014390393436,-6.013417002151877,0.0,10.0,20,16845687,20,1087
linear,10,,5,7.255697466563194e-05,-9.500167069493836,-6.5115902890365005,-6.401993499636371,0.0,10.0,20,16845687,20,1087
linear,20,,0,0.024283847359715168,-5.113114769467011,-5.964478828327596,-5.806167615971189,0.0,10.0,20,16804885,20,303964
linear,20,,1,0.024283847359715168,-5.839437846819143,-6.202931970064549,-6.036640825043653,0.0,10.0,20,16804885,20,303964
linear,20,,5,0.024283847359715168,-6.209673288423408,-6.598090552708922,-6.443331323127862,0.0,10.0,20,16804885,20,303964
linear,50,,0,0.2364103031378583,-6.517549349771558,-6.407754345276149,-6.240842379342622,0.0,10.0,20,16693438,20,3831021
linear,50,,1,0.2364103031378583,-6.719395710817888,-6.634890864583175,-6.4596940497159965,0.0,10.0,20,16693438,20,3831021
linear,50,,5,0.2364103031378583,-7.083172956080735,-7.017156949286104,-6.854775163661453,0.0,10.0,20,16693438,20,3831021
xgboost,10,7.0,0,0.0,,-11.087182103422814,-12.411933651943219,0.0,10.0,5,4566116,0,0
xgboost,10,7.0,1,0.0,,-11.110408213630398,-12.364517551795458,0.0,10.0,5,4566116,0,0
xgboost,10,7.0,5,0.0,,-11.150815971913804,-12.265197355413388,0.0,10.0,5,4566116,0,0
xgboost,10,,0,0.01991167363281712,-5.000174438780287,-6.433695557866277,-6.455908991382314,0.0,10.0,20,16845687,20,311991
xgboost,10,,1,0.01991167363281712,-5.914086054052541,-6.667887902606944,-6.666105729004339,0.0,10.0,20,16845687,20,311991
xgboost,10,,5,0.01991167363281712,-6.51948653290245,-7.071980814351301,-7.063118590871402,0.0,10.0,20,16845687,20,311991
xgboost,20,7.0,0,0.0,,-11.340125096996754,-11.225427225286765,0.0,10.0,5,4557662,0,0
xgboost,20,7.0,1,0.0,,-11.359583748239434,-11.225176055608697,0.0,10.0,5,4557662,0,0
xgboost,20,7.0,5,0.0,,-11.370235379594952,-11.217565487416,0.0,10.0,5,4557662,0,0
xgboost,20,17.0,0,0.0,,-10.310583806511747,-6.796929845119275,0.0,10.0,1,657373,0,0
xgboost,20,17.0,1,0.0,,-10.272711993172607,-6.858779639919766,0.0,10.0,1,657373,0,0
xgboost,20,17.0,5,0.0,,-10.199263469911882,-6.9645787482046755,0.0,10.0,1,657373,0,0
xgboost,20,29.0,0,0.0,,-9.551747032544142,-7.653608426286872,0.0,10.0,1,657373,0,0
xgboost,20,29.0,1,0.0,,-9.584370085995149,-7.678027071779664,0.0,10.0,1,657373,0,0
xgboost,20,29.0,5,0.0,,-9.611121201048348,-7.773176028441306,0.0,10.0,1,657373,0,0
xgboost,20,,0,0.06874531491314842,-5.363776299697286,-6.458829342973159,-6.342141092846218,0.0,10.0,20,16804885,20,1076635
xgboost,20,,1,0.06874531491314842,-5.818927040047299,-6.687331626971561,-6.555874652659162,0.0,10.0,20,16804885,20,1076635
xgboost,20,,5,0.06874531491314842,-6.371264962253084,-7.0972512548407725,-6.96518358340699,0.0,10.0,20,16804885,20,1076635
xgboost,50,7.0,0,0.0,,-10.569650771833201,-10.641184222123194,0.0,10.0,5,4533820,0,0
xgboost,50,7.0,1,0.0,,-10.577185568456851,-10.659538369227638,0.0,10.0,5,4533820,0,0
xgboost,50,7.0,5,0.0,,-10.624209767571456,-10.702048307503812,0.0,10.0,5,4533820,0,0
xgboost,50,,0,0.24272119144411466,-7.072216743597569,-6.984892244205225,-6.7960476395973615,0.0,10.0,20,16693438,20,3944050
xgboost,50,,1,0.24272119144411466,-7.248324528512728,-7.191942508248175,-6.989634778481088,0.0,10.0,20,16693438,20,3944050
xgboost,50,,5,0.24272119144411466,-7.591174004830964,-7.562163012448546,-7.36297034357366,0.0,10.0,20,16693438,20,3944050
