symbol,month,horizon,model,control_seed,task_id,train_rows,train_stocks,last_training_day,first_test_day,n_test,ic,direction_accuracy,cost_coverage,mean_abs_markout_bps,mean_signed_markout_after_cost_bps,within_stock_ic,within_stock_task_id,transfer_minus_within_ic
KGHM,2017-04,20,xgboost_transfer,,ae9435295ff5deee565708d0df21b8a9844b5109f7319c99b5c690b90ad6d749,12698748,4,2017-03-31,2017-04-03,1098976,0.27161560548637265,0.67426275569313,0.02909253705267449,1.150482187679375,0.4527644107264434,0.2690508633761888,4dd3f35a489b476aeea5939fd686072c11a48ae35770f7ef190a68025fc34401,0.0025647421101838708
KGHM,2017-06,20,xgboost_transfer,,29273d072dabd6dec62c1b8f071f3da2f6b36d0f794dd0a3e4ef732650d52dc9,20548118,4,2017-05-31,2017-06-01,1014565,0.27237673590155875,0.6645520116257883,0.0466732047724887,1.4906606253715589,0.6722882707126414,0.2716398454731455,a1a136175396c1f631365261e50911ef172ed4b111f1efcdfcb9a507a1a5aad5,0.0007368904284132394
KGHM,2017-09,20,xgboost_transfer,,f0331bf712bb775be4a2cd2db3363c8c53a1923bbe72f5966c6836cf9f97d97e,29739608,4,2017-08-31,2017-09-01,916540,0.2905898740996216,0.6753110546052681,0.07777074650315316,1.249306043929305,0.36457640244326317,0.2880151106683309,26ab8ef846e82f08249f07a88433855af3d3a732662186f100b295d87e0adf69,0.0025747634312907053
KGHM,2017-11,20,xgboost_transfer,,8b363bf596fc4b52050b8296414016b65adef5f11db299f12aef0c6320d02170,36364266,4,2017-10-31,2017-11-02,832293,0.2710489054244532,0.6617038212307216,0.06691033085704193,1.3827533147687867,0.4891849952663558,0.2736705898960226,f5cbb6c611ccad586c05fc76c96332e8ddd00f1581e69566fcf4d942faf22836,-0.0026216844715694076
PKNORLEN,2017-04,20,xgboost_transfer,,b2dc4434a6fa94fccaaf7a8fdfe2a09514b72f317aaab7e75fe3d060855a35e2,12441582,4,2017-03-31,2017-04-03,675928,0.28650060254893345,0.69248204869412,0.08071717697742956,1.1173150773591238,0.31670043792046987,0.2866742826331577,7becbbe0eb0cc0109844fbb39b09605a90dbfb48f27be5a0671241436fb03477,-0.00017368008422424808
PKNORLEN,2017-06,20,xgboost_transfer,,d1ac8d911f363aeec8ca311d8d6f13b430a4589ef6b02bb2b73f1d9993ceb205,21074001,4,2017-05-31,2017-06-01,862980,0.3099997484153959,0.6804243371019588,0.07345940809752254,1.5682910826409981,0.8070814210077394,0.3094683549051213,c581cfc4822c5fcac232a6f55575581efe788dfc0634cad01c6f45edaea2dc98,0.0005313935102745915
PKNORLEN,2017-09,20,xgboost_transfer,,dd484f278b3764e15b2f2aa8f71ca8cc4785a27b2d328019edd2abc077b2dc47,30766858,4,2017-08-31,2017-09-01,1013895,0.31520692974394987,0.6815766035116476,0.07931294660689717,1.4593123101290277,0.7444699731390735,0.3171231242109265,c818ea3fed36a91f27de4899a0276cc25f4a7a5a4f6be43bc0b0a65b9e548c79,-0.0019161944669766062
PKNORLEN,2017-11,20,xgboost_transfer,,44bd8be1babf580c71e8692a2f4243ae6e76e88542400277b582c4f0ff32cb11,37206379,4,2017-10-31,2017-11-02,1041313,0.2617919433188144,0.6454564680468591,0.05493833266270564,1.6225853467111253,0.8311304171463342,0.2598579375073603,fccbabc64719f34025a7893890b217abbfb996fecfc7041f1350987e2104b425,0.001934005811454087
PKOBP,2017-04,20,xgboost_transfer,,da7716f13d7a9cd2512781bb10b13a056191b5d6b822a60f5e2f16bafa51406f,14004828,4,2017-03-31,2017-04-03,946426,0.248287886672337,0.6691544068199183,0.026294712951672926,1.006205443890218,0.17370121018453466,0.2443190143886802,882e142e70eb3848f47935d6259862aab6e6af6e8c619b32fb593c13e922e889,0.003968872283656805
PKOBP,2017-06,20,xgboost_transfer,,01960720987d85d0b4b238089b230cd0d9f39758193454d9aa141a061dffbda9,21946033,4,2017-05-31,2017-06-01,1056564,0.26719198565798974,0.6693004079787291,0.03465951896903548,1.246533918118815,0.45183745721707036,0.2649535861432602,69fba85caf6f2fa345001e90c734ee0a476bc37e54b87f6cf93caedb9ae8a29d,0.002238399514729539
