scope,member,control_seed,blocks,mean_transfer_ic,mean_within_stock_ic,mean_delta_ic,wins
overall,all,7.0,5,0.06651818242729376,0.268426642647776,-0.20190846022048223,0
by_symbol,KGHM,7.0,1,0.07283093154175928,0.2716398454731455,-0.19880891393138622,0
by_symbol,PEKAO,7.0,1,0.0839335724229443,0.2741207864834555,-0.1901872140605112,0
by_symbol,PKNORLEN,7.0,1,0.060391058184864635,0.3094683549051213,-0.2490772967202567,0
by_symbol,PKOBP,7.0,1,0.06362221918280042,0.2649535861432602,-0.20133136696045978,0
by_symbol,PZU,7.0,1,0.05181313080410016,0.2219506402338974,-0.17013750942979725,0
by_month,2017-06,7.0,5,0.06651818242729376,0.268426642647776,-0.20190846022048223,0
overall,all,,20,0.26246293309410373,0.2616392695606903,0.0008236635334134282,13
by_symbol,KGHM,,4,0.27640778022800155,0.2755941023534219,0.0008136778745796019,3
by_symbol,PEKAO,,4,0.26179465952991415,0.2624764948128473,-0.0006818352829331548,2
by_symbol,PKNORLEN,,4,0.29337480600677346,0.2932809248141415,9.388119263195605e-05,2
by_symbol,PKOBP,,4,0.25445084638243726,0.2527595675650023,0.0016912788174349713,4
by_symbol,PZU,,4,0.2262865733233925,0.2240852582580387,0.0022013150653537664,2
by_month,2017-04,,5,0.26240838908698133,0.2598478510952916,0.0025605379916896543,3
by_month,2017-06,,5,0.2684501226342365,0.268426642647776,2.3479986460545055e-05,3
by_month,2017-09,,5,0.2797931241303109,0.2793062718821215,0.0004868522481893678,4
by_month,2017-11,,5,0.23920009652488639,0.2389763126175722,0.00022378390731414566,3
