symbol,horizon,model,control_seed,bottom_decile_short_bps,coverage,day,decile_bins,excluded_crossing_common,latency,ordered_deciles,prediction_rows,rows,selected_rows,sign_selected_bps,threshold_bps,top_decile_long_bps
KGHM,10,linear,,-5.500256455156896,0.0003212187958883994,all,10,15,0,0.0,87183,87168,28,-8.10817405728515,1.0,-5.408439631699691
KGHM,10,linear,,-5.162435303298808,0.0003126535352181875,2017-12-27,10,5,0,0.0,22394,22389,7,-6.375978836031927,1.0,-5.128528661093952
KGHM,10,linear,,-5.643056111799414,0.0002850220892119139,2017-12-28,10,5,0,0.0,35090,35085,10,-8.443686584186727,1.0,-5.65947167757814
KGHM,10,linear,,-5.790305839397663,0.00037044520778608473,2017-12-29,10,5,0,0.0,29699,29694,11,-8.905468719081222,1.0,-5.231925516746406
KGHM,10,linear,,-5.720574345869948,0.0003212187958883994,all,10,15,1,0.0,87183,87168,28,-7.632512048372106,1.0,-5.610128224256235
KGHM,10,linear,,-5.318543091021339,0.0003126535352181875,2017-12-27,10,5,1,0.0,22394,22389,7,-5.108115318760016,1.0,-5.274379545360734
KGHM,10,linear,,-5.892739835666077,0.0002850220892119139,2017-12-28,10,5,1,0.0,35090,35085,10,-7.99953815102319,1.0,-5.880747574624115
KGHM,10,linear,,-6.0633792985104025,0.00037044520778608473,2017-12-29,10,5,1,0.0,29699,29694,11,-8.905286237533359,1.0,-5.496385060053111
KGHM,10,linear,,-6.133046890829387,0.0003212187958883994,all,10,15,5,0.0,87183,87168,28,-8.266342730752383,1.0,-6.090695091585911
KGHM,10,linear,,-5.626712938182285,0.0003126535352181875,2017-12-27,10,5,5,0.0,22394,22389,7,-4.4679310099846345,1.0,-5.59860899180606
KGHM,10,linear,,-6.377639462069583,0.0002850220892119139,2017-12-28,10,5,5,0.0,35090,35085,10,-9.329717560139875,1.0,-6.423716185932742
KGHM,10,linear,,-6.535146064623217,0.00037044520778608473,2017-12-29,10,5,5,0.0,29699,29694,11,-9.716809435434136,1.0,-6.128405723723426
KGHM,10,xgboost,,-5.839260591017532,0.03207599118942731,all,10,15,0,0.0,87183,87168,2796,-5.358424602727865,1.0,-5.7122538892382755
KGHM,10,xgboost,,-5.164718494439846,0.051811157264728215,2017-12-27,10,5,0,0.0,22394,22389,1160,-4.796717320846999,1.0,-4.945884286124177
KGHM,10,xgboost,,-6.399966584538927,0.029157759726378796,2017-12-28,10,5,0,0.0,35090,35085,1023,-6.209681875605849,1.0,-6.06757279448385
KGHM,10,xgboost,,-6.103907089291836,0.02064390112480636,2017-12-29,10,5,0,0.0,29699,29694,613,-5.000748023327585,1.0,-6.289057397447221
KGHM,10,xgboost,,-6.080132539417816,0.03207599118942731,all,10,15,1,0.0,87183,87168,2796,-5.979872657313863,1.0,-5.9359643429051046
KGHM,10,xgboost,,-5.332054719722905,0.051811157264728215,2017-12-27,10,5,1,0.0,22394,22389,1160,-5.305683749411575,1.0,-5.123092870936345
KGHM,10,xgboost,,-6.6336030964150545,0.029157759726378796,2017-12-28,10,5,1,0.0,35090,35085,1023,-6.769008890755624,1.0,-6.28866445996449
KGHM,10,xgboost,,-6.448632322860601,0.02064390112480636,2017-12-29,10,5,1,0.0,29699,29694,613,-5.938718931956168,1.0,-6.602429429352805
KGHM,10,xgboost,,-6.575969350525697,0.03207599118942731,all,10,15,5,0.0,87183,87168,2796,-6.645876562979983,1.0,-6.493863343038028
KGHM,10,xgboost,,-5.69063778938878,0.051811157264728215,2017-12-27,10,5,5,0.0,22394,22389,1160,-5.849460916520704,1.0,-5.554410861324196
KGHM,10,xgboost,,-7.181387903958371,0.029157759726378796,2017-12-28,10,5,5,0.0,35090,35085,1023,-7.56677118353459,1.0,-6.916685617322381
KGHM,10,xgboost,,-7.066498588382909,0.02064390112480636,2017-12-29,10,5,5,0.0,29699,29694,613,-6.616132603869701,1.0,-7.229748959766023
KGHM,20,linear,,-5.455749694191654,0.06839725492896326,all,10,15,0,0.0,87153,87138,5960,-4.618933267953027,1.0,-5.416161506685736
KGHM,20,linear,,-4.990116929074927,0.10295366191518834,2017-12-27,10,5,0,0.0,22384,22379,2304,-4.19514658441985,1.0,-5.056089245161891
KGHM,20,linear,,-5.719885516912134,0.07475409836065573,2017-12-28,10,5,0,0.0,35080,35075,2622,-4.940008612980584,1.0,-5.678973921497208
KGHM,20,linear,,-5.777947474237518,0.03483358038000269,2017-12-29,10,5,0,0.0,29689,29684,1034,-4.749054123076999,1.0,-5.332372825317101
KGHM,20,linear,,-5.666892302424626,0.06839725492896326,all,10,15,1,0.0,87153,87138,5960,-4.912454216664714,1.0,-5.633225079042483
KGHM,20,linear,,-5.1522699873573075,0.10295366191518834,2017-12-27,10,5,1,0.0,22384,22379,2304,-4.397086521160421,1.0,-5.211759543006865
KGHM,20,linear,,-5.963131002229056,0.07475409836065573,2017-12-28,10,5,1,0.0,35080,35075,2622,-5.288640036048195,1.0,-5.909549440796734
KGHM,20,linear,,-6.018536594540526,0.03483358038000269,2017-12-29,10,5,1,0.0,29689,29684,1034,-5.106891307591602,1.0,-5.6435650681011795
KGHM,20,linear,,-6.068711074794252,0.06839725492896326,all,10,15,5,0.0,87153,87138,5960,-5.52189348245628,1.0,-6.137907858100602
KGHM,20,linear,,-5.473771272829888,0.10295366191518834,2017-12-27,10,5,5,0.0,22384,22379,2304,-4.764049072661084,1.0,-5.533736578526526
KGHM,20,linear,,-6.399049835051419,0.07475409836065573,2017-12-28,10,5,5,0.0,35080,35075,2622,-6.046768274418005,1.0,-6.461198374667949
KGHM,20,linear,,-6.487762458420239,0.03483358038000269,2017-12-29,10,5,5,0.0,29689,29684,1034,-5.879583826406469,1.0,-6.404975864141328
KGHM,20,xgboost,,-5.868977711053291,0.13712731529298355,all,10,15,0,0.0,87153,87138,11949,-5.319907443100616,1.0,-5.645736782251385
KGHM,20,xgboost,,-5.098759938745567,0.2051029983466643,2017-12-27,10,5,0,0.0,22384,22379,4590,-4.7451503224410585,1.0,-5.163503874337092
KGHM,20,xgboost,,-6.618198122836065,0.13699215965787598,2017-12-28,10,5,0,0.0,35080,35075,4805,-5.814840377735834,1.0,-5.826642422117836
KGHM,20,xgboost,,-6.143958640254404,0.08603961730225038,2017-12-29,10,5,0,0.0,29689,29684,2554,-5.42170166115275,1.0,-6.137440746293217
KGHM,20,xgboost,,-6.086291025369357,0.13712731529298355,all,10,15,1,0.0,87153,87138,11949,-5.593192271829656,1.0,-5.875297090009388
KGHM,20,xgboost,,-5.280659961752253,0.2051029983466643,2017-12-27,10,5,1,0.0,22384,22379,4590,-4.964369352565805,1.0,-5.340171521480494
KGHM,20,xgboost,,-6.796008097898098,0.13699215965787598,2017-12-28,10,5,1,0.0,35080,35075,4805,-6.065990578466501,1.0,-6.05266355162244
KGHM,20,xgboost,,-6.4532852791885595,0.08603961730225038,2017-12-29,10,5,1,0.0,29689,29684,2554,-5.833795770667181,1.0,-6.48417178511935
KGHM,20,xgboost,,-6.518147115054574,0.13712731529298355,all,10,15,5,0.0,87153,87138,11949,-6.136776861855831,1.0,-6.381374278455091
KGHM,20,xgboost,,-5.634112661749488,0.2051029983466643,2017-12-27,10,5,5,0.0,22384,22379,4590,-5.379515675078437,1.0,-5.6603366441818865
KGHM,20,xgboost,,-7.204374706373553,0.13699215965787598,2017-12-28,10,5,5,0.0,35080,35075,4805,-6.654254942939335,1.0,-6.645288797379367
KGHM,20,xgboost,,-7.020198030276653,0.08603961730225038,2017-12-29,10,5,5,0.0,29689,29684,2554,-6.524148305748546,1.0,-7.13436100767118
KGHM,50,linear,,-5.4800070205865605,0.36135235732009924,all,10,15,0,0.0,87063,87048,31455,-6.3673515157296565,1.0,-5.733926011243275
KGHM,50,linear,,-4.739651293869941,0.4429280952167882,2017-12-27,10,5,0,0.0,22354,22349,9899,-5.25135535314922,1.0,-4.846389731838525
KGHM,50,linear,,-5.711424000710661,0.3819660436581538,2017-12-28,10,5,0,0.0,35050,35045,13386,-6.748889458611932,1.0,-6.1295447338509454
KGHM,50,linear,,-6.089010131212016,0.2755108922910906,2017-12-29,10,5,0,0.0,29659,29654,8170,-7.094399142407945,1.0,-6.189154760279838
KGHM,50,linear,,-5.68379854133985,0.36135235732009924,all,10,15,1,0.0,87063,87048,31455,-6.51589177797159,1.0,-5.940481432153385
KGHM,50,linear,,-4.922591306440776,0.4429280952167882,2017-12-27,10,5,1,0.0,22354,22349,9899,-5.359286121647538,1.0,-5.021212843297891
KGHM,50,linear,,-5.916360654642283,0.3819660436581538,2017-12-28,10,5,1,0.0,35050,35045,13386,-6.891135670639944,1.0,-6.327311186323288
KGHM,50,linear,,-6.315027783046539,0.2755108922910906,2017-12-29,10,5,1,0.0,29659,29654,8170,-7.302455381973204,1.0,-6.50879688607089
KGHM,50,linear,,-6.1009987877068825,0.36135235732009924,all,10,15,5,0.0,87063,87048,31455,-6.87548549426461,1.0,-6.418402142210808
KGHM,50,linear,,-5.28277531585529,0.4429280952167882,2017-12-27,10,5,5,0.0,22354,22349,9899,-5.596728710340998,1.0,-5.3625540640779
KGHM,50,linear,,-6.370791371397339,0.3819660436581538,2017-12-28,10,5,5,0.0,35050,35045,13386,-7.271115454812361,1.0,-6.8387457382138646
KGHM,50,linear,,-6.760798203045716,0.2755108922910906,2017-12-29,10,5,5,0.0,29659,29654,8170,-7.776649601017074,1.0,-7.172293952477669
KGHM,50,xgboost,,-5.8806650818265656,0.36390267438654533,all,10,15,0,0.0,87063,87048,31677,-6.794478550056812,1.0,-6.243654497974921
KGHM,50,xgboost,,-4.96710934908772,0.4477605261980402,2017-12-27,10,5,0,0.0,22354,22349,10007,-5.320241769285006,1.0,-5.247597559024089
KGHM,50,xgboost,,-6.016651531675533,0.3693251533742331,2017-12-28,10,5,0,0.0,35050,35045,12943,-7.083909140474545,1.0,-6.691767143278156
KGHM,50,xgboost,,-6.898010042787299,0.29429419302623594,2017-12-29,10,5,0,0.0,29659,29654,8727,-8.055689428182943,1.0,-6.900808949616835
KGHM,50,xgboost,,-6.114778194661903,0.36390267438654533,all,10,15,1,0.0,87063,87048,31677,-6.945921736022632,1.0,-6.433358724567771
KGHM,50,xgboost,,-5.129465318104095,0.4477605261980402,2017-12-27,10,5,1,0.0,22354,22349,10007,-5.425239507678852,1.0,-5.408585114966173
KGHM,50,xgboost,,-6.33025999635022,0.3693251533742331,2017-12-28,10,5,1,0.0,35050,35045,12943,-7.238568314234692,1.0,-6.867808139774235
KGHM,50,xgboost,,-7.152081972453433,0.29429419302623594,2017-12-29,10,5,1,0.0,29659,29654,8727,-8.255620647130407,1.0,-7.186853685286694
KGHM,50,xgboost,,-6.584552218579459,0.36390267438654533,all,10,15,5,0.0,87063,87048,31677,-7.3124456324210465,1.0,-6.871059249189081
KGHM,50,xgboost,,-5.5016848716190285,0.4477605261980402,2017-12-27,10,5,5,0.0,22354,22349,10007,-5.670899267571696,1.0,-5.7136892451653924
KGHM,50,xgboost,,-6.898846651903265,0.3693251533742331,2017-12-28,10,5,5,0.0,35050,35045,12943,-7.64111752990092,1.0,-7.3497023295080535
KGHM,50,xgboost,,-7.6570592259297365,0.29429419302623594,2017-12-29,10,5,5,0.0,29659,29654,8727,-8.707306879581058,1.0,-7.7570460928611125
PEKAO,10,linear,,-5.171723399561311,0.0006516932386826487,all,10,15,0,0.0,42980,42965,28,-6.15798811526342,1.0,-5.058481934720434
PEKAO,10,linear,,-4.903283658328443,0.0002206369051996764,2017-12-27,10,5,0,0.0,13602,13597,3,-5.241611774615145,1.0,-4.533871900778185
PEKAO,10,linear,,-5.355176774427778,0.0014083644602290123,2017-12-28,10,5,0,0.0,16336,16331,23,-6.344554104393201,1.0,-5.494126334693822
PEKAO,10,linear,,-5.275466091963805,0.00015340952673161004,2017-12-29,10,5,0,0.0,13042,13037,2,-5.387043751243336,1.0,-5.277762556535607
PEKAO,10,linear,,-5.407353853062698,0.0006516932386826487,all,10,15,1,0.0,42980,42965,28,-7.677712408730329,1.0,-5.282678063052345
PEKAO,10,linear,,-5.086898870752702,0.0002206369051996764,2017-12-27,10,5,1,0.0,13602,13597,3,-6.553689347907187,1.0,-4.788983809009522
PEKAO,10,linear,,-5.648761098064262,0.0014083644602290123,2017-12-28,10,5,1,0.0,16336,16331,23,-8.023512691227866,1.0,-5.709696171375408
PEKAO,10,linear,,-5.478255994371404,0.00015340952673161004,2017-12-29,10,5,1,0.0,13042,13037,2,-5.387043751243336,1.0,-5.46242312549702
PEKAO,10,linear,,-5.664795731515159,0.0006516932386826487,all,10,15,5,0.0,42980,42965,28,-7.233427379993891,1.0,-5.671928542300691
