symbol,horizon,model,control_seed,bin,day,latency,long_crossed_bps,prediction_bps,rows,short_crossed_bps
KGHM,10,linear,,1.0,all,0,-6.870438310630771,-0.6003665522564912,8718,-5.500256455156896
KGHM,10,linear,,2.0,all,0,-8.905883977178817,-0.3989037339914297,8716,-8.094740586262178
KGHM,10,linear,,3.0,all,0,-9.858208551172709,-0.25214771243793677,8717,-9.232785909895943
KGHM,10,linear,,4.0,all,0,-10.644750522402894,-0.10522480141946253,8716,-9.994342642713503
KGHM,10,linear,,5.0,all,0,-11.902467867046914,0.03075553244922619,8720,-11.789990347516927
KGHM,10,linear,,6.0,all,0,-10.460970395805031,0.15034555124366622,8719,-10.454514339358292
KGHM,10,linear,,7.0,all,0,-10.161006492485992,0.2624615245020034,8712,-10.571164845789703
KGHM,10,linear,,8.0,all,0,-9.233763520823688,0.37761927750443874,8716,-9.977785417148514
KGHM,10,linear,,9.0,all,0,-7.646473968421953,0.49956386189611035,8719,-8.670292098096477
KGHM,10,linear,,10.0,all,0,-5.408439631699691,0.6500915406646429,8715,-6.78708924054426
KGHM,10,linear,,1.0,2017-12-27,0,-6.308748054342895,-0.6074151567458995,3381,-5.162435303298808
KGHM,10,linear,,2.0,2017-12-27,0,-7.577213807174983,-0.39892798760195886,2540,-7.212320678972338
KGHM,10,linear,,3.0,2017-12-27,0,-8.321207429297031,-0.2501893723157439,1864,-8.04120472728362
KGHM,10,linear,,4.0,2017-12-27,0,-7.942580018311767,-0.1062118588379277,1912,-7.4599203221935815
KGHM,10,linear,,5.0,2017-12-27,0,-8.652469013791539,0.028124402558861457,1892,-8.572803357796293
KGHM,10,linear,,6.0,2017-12-27,0,-8.598386901709931,0.15252004943509984,1789,-8.691730862617774
KGHM,10,linear,,7.0,2017-12-27,0,-7.392397633936732,0.2632472377520864,1761,-8.024220412215033
KGHM,10,linear,,8.0,2017-12-27,0,-7.6535609274171525,0.38349563624523847,1721,-8.435459071486552
KGHM,10,linear,,9.0,2017-12-27,0,-7.21113774858195,0.5000097803794382,2494,-8.010203467467491
KGHM,10,linear,,10.0,2017-12-27,0,-5.128528661093952,0.6476179895495096,3035,-6.265389578152207
KGHM,10,linear,,1.0,2017-12-28,0,-7.2534647714363185,-0.5890938702608889,2756,-5.643056111799414
KGHM,10,linear,,2.0,2017-12-28,0,-9.318935062967114,-0.40002550601255527,2819,-8.048268220052602
KGHM,10,linear,,3.0,2017-12-28,0,-9.363114614379679,-0.24911975333425032,3166,-8.583592791107169
KGHM,10,linear,,4.0,2017-12-28,0,-10.607703839638228,-0.10533187269947614,3303,-9.859067277336424
KGHM,10,linear,,5.0,2017-12-28,0,-11.256917549248953,0.032615531170493324,3042,-11.097978891415332
KGHM,10,linear,,6.0,2017-12-28,0,-9.77809926911904,0.14860692760852176,3848,-9.562473569856701
KGHM,10,linear,,7.0,2017-12-28,0,-10.323018188226854,0.2626236471529114,3899,-10.552220490731196
KGHM,10,linear,,8.0,2017-12-28,0,-9.643198459993858,0.37604412435876317,3908,-10.47154138377545
KGHM,10,linear,,9.0,2017-12-28,0,-7.811832504495398,0.5012304650536645,4012,-8.612085279458455
KGHM,10,linear,,10.0,2017-12-28,0,-5.65947167757814,0.6544740282897388,4332,-7.1293701925903985
KGHM,10,linear,,1.0,2017-12-29,0,-7.1972317358648725,-0.6031701864297533,2581,-5.790305839397663
KGHM,10,linear,,2.0,2017-12-29,0,-9.56433831765321,-0.3979433885942605,3357,-8.801428749759642
KGHM,10,linear,,3.0,2017-12-29,0,-11.060388506437961,-0.2557378574094689,3687,-10.392659177721987
