day,horizon,model,control_seed,latency,blocks,bottom_decile_short_bps,bottom_decile_short_bps_defined_blocks,coverage,coverage_defined_blocks,decile_bins,decile_bins_defined_blocks,excluded_crossing_common,excluded_crossing_common_defined_blocks,excluded_crossing_common_total,ordered_deciles,ordered_deciles_defined_blocks,prediction_rows,prediction_rows_defined_blocks,prediction_rows_total,rows,rows_defined_blocks,rows_total,selected_rows,selected_rows_defined_blocks,selected_rows_total,sign_selected_bps,sign_selected_bps_defined_blocks,threshold_bps,threshold_bps_defined_blocks,top_decile_long_bps,top_decile_long_bps_defined_blocks
2017-12-27,10,linear,,0,5,-4.955744453401346,5,0.00011591957685112252,5,10.0,5,143.0,5,715,0.0,5,33817.8,5,169089,33674.8,5,168374,2.4,5,12,,4,1.0,5,-5.0256368959839985,5
2017-12-27,10,linear,,1,5,-5.099479299573197,5,0.00011591957685112252,5,10.0,5,143.0,5,715,0.0,5,33817.8,5,169089,33674.8,5,168374,2.4,5,12,,4,1.0,5,-5.202444287688285,5
2017-12-27,10,linear,,5,5,-5.33947785965996,5,0.00011591957685112252,5,10.0,5,143.0,5,715,0.0,5,33817.8,5,169089,33674.8,5,168374,2.4,5,12,,4,1.0,5,-5.567621084883771,5
2017-12-27,10,xgboost,,0,5,-4.940486719508299,5,0.026336083954553603,5,10.0,5,143.0,5,715,0.0,5,33817.8,5,169089,33674.8,5,168374,609.2,5,3046,-4.065229455138173,5,1.0,5,-5.170544186542762,5
2017-12-27,10,xgboost,,1,5,-5.103023244263019,5,0.026336083954553603,5,10.0,5,143.0,5,715,0.0,5,33817.8,5,169089,33674.8,5,168374,609.2,5,3046,-4.84790279930638,5,1.0,5,-5.352040466845464,5
2017-12-27,10,xgboost,,5,5,-5.391214957713312,5,0.026336083954553603,5,10.0,5,143.0,5,715,0.0,5,33817.8,5,169089,33674.8,5,168374,609.2,5,3046,-5.290713313600656,5,1.0,5,-5.7601310676355935,5
2017-12-27,20,linear,,0,5,-4.795456971853271,5,0.04908143918400884,5,10.0,5,127.4,5,637,0.0,5,33539.6,5,167698,33412.2,5,167061,914.2,5,4571,-2.7285171925634364,5,1.0,5,-4.937657919155933,5
2017-12-27,20,linear,,1,5,-4.943200034945935,5,0.04908143918400884,5,10.0,5,127.4,5,637,0.0,5,33539.6,5,167698,33412.2,5,167061,914.2,5,4571,-4.093475410333093,5,1.0,5,-5.121045857204399,5
2017-12-27,20,linear,,5,5,-5.19955324660606,5,0.04908143918400884,5,10.0,5,127.4,5,637,0.0,5,33539.6,5,167698,33412.2,5,167061,914.2,5,4571,-4.3690219947108515,5,1.0,5,-5.497544786675187,5
2017-12-27,20,xgboost,7.0,0,5,-9.518918903833729,5,0.0,5,10.0,5,127.4,5,637,0.0,5,33539.6,5,167698,33412.2,5,167061,0.0,5,0,,0,1.0,5,-7.222063943429991,5
2017-12-27,20,xgboost,7.0,1,5,-9.516296331160056,5,0.0,5,10.0,5,127.4,5,637,0.0,5,33539.6,5,167698,33412.2,5,167061,0.0,5,0,,0,1.0,5,-7.278037796738711,5
2017-12-27,20,xgboost,7.0,5,5,-9.408029822588825,5,0.0,5,10.0,5,127.4,5,637,0.0,5,33539.6,5,167698,33412.2,5,167061,0.0,5,0,,0,1.0,5,-7.455605743524677,5
2017-12-27,20,xgboost,,0,5,-4.731165295062477,5,0.10292586467335743,5,10.0,5,127.4,5,637,0.0,5,33539.6,5,167698,33412.2,5,167061,2446.6,5,12233,-4.190078145871229,5,1.0,5,-5.183831148179609,5
2017-12-27,20,xgboost,,1,5,-4.90303019696219,5,0.10292586467335743,5,10.0,5,127.4,5,637,0.0,5,33539.6,5,167698,33412.2,5,167061,2446.6,5,12233,-4.5863665131772775,5,1.0,5,-5.375777874513257,5
2017-12-27,20,xgboost,,5,5,-5.215362668060392,5,0.10292586467335743,5,10.0,5,127.4,5,637,0.0,5,33539.6,5,167698,33412.2,5,167061,2446.6,5,12233,-5.055499689950002,5,1.0,5,-5.77717196548109,5
2017-12-27,50,linear,,0,5,-4.548830787176931,5,0.2613138772327345,5,10.0,5,96.4,5,482,0.0,5,32854.6,5,164273,32758.2,5,163791,6380.0,5,31900,-4.925716958223444,5,1.0,5,-4.908469865447221,5
2017-12-27,50,linear,,1,5,-4.709707205319596,5,0.2613138772327345,5,10.0,5,96.4,5,482,0.0,5,32854.6,5,164273,32758.2,5,163791,6380.0,5,31900,-5.091059884442415,5,1.0,5,-5.101709656802784,5
2017-12-27,50,linear,,5,5,-5.008098548064345,5,0.2613138772327345,5,10.0,5,96.4,5,482,0.0,5,32854.6,5,164273,32758.2,5,163791,6380.0,5,31900,-5.413220653649004,5,1.0,5,-5.508935179250215,5
2017-12-27,50,xgboost,,0,5,-4.856762167707062,5,0.267716819914559,5,10.0,5,96.4,5,482,0.0,5,32854.6,5,164273,32758.2,5,163791,7137.2,5,35686,-5.324312725320357,5,1.0,5,-5.28251030215412,5
2017-12-27,50,xgboost,,1,5,-5.0254203414784095,5,0.267716819914559,5,10.0,5,96.4,5,482,0.0,5,32854.6,5,164273,32758.2,5,163791,7137.2,5,35686,-5.481364784643357,5,1.0,5,-5.480988758688937,5
2017-12-27,50,xgboost,,5,5,-5.337923019204067,5,0.267716819914559,5,10.0,5,96.4,5,482,0.0,5,32854.6,5,164273,32758.2,5,163791,7137.2,5,35686,-5.788815114076343,5,1.0,5,-5.8663331098684965,5
2017-12-28,10,linear,,0,5,-5.73598912227977,5,0.0003459294674050465,5,10.0,5,5.0,5,25,0.0,5,30332.8,5,151664,30327.8,5,151639,6.8,5,34,,3,1.0,5,-5.55051416726864,5
2017-12-28,10,linear,,1,5,-5.9363608994411035,5,0.0003459294674050465,5,10.0,5,5.0,5,25,0.0,5,30332.8,5,151664,30327.8,5,151639,6.8,5,34,,3,1.0,5,-5.739855383374073,5
2017-12-28,10,linear,,5,5,-6.226587823544726,5,0.0003459294674050465,5,10.0,5,5.0,5,25,0.0,5,30332.8,5,151664,30327.8,5,151639,6.8,5,34,,3,1.0,5,-6.0813702183778044,5
2017-12-28,10,xgboost,,0,5,-5.833297865558864,5,0.024320506524231636,5,10.0,5,5.0,5,25,0.0,5,30332.8,5,151664,30327.8,5,151639,611.8,5,3059,-4.623554939262146,5,1.0,5,-5.867777129761498,5
2017-12-28,10,xgboost,,1,5,-6.0461272999265745,5,0.024320506524231636,5,10.0,5,5.0,5,25,0.0,5,30332.8,5,151664,30327.8,5,151639,611.8,5,3059,-5.335593985744445,5,1.0,5,-6.082371348314152,5
2017-12-28,10,xgboost,,5,5,-6.40420046097168,5,0.024320506524231636,5,10.0,5,5.0,5,25,0.0,5,30332.8,5,151664,30327.8,5,151639,611.8,5,3059,-5.964629502565435,5,1.0,5,-6.493444223771489,5
2017-12-28,20,linear,,0,5,-5.7414439482501525,5,0.04454492166486378,5,10.0,5,5.0,5,25,0.0,5,30322.8,5,151614,30317.8,5,151589,1055.0,5,5275,-5.21990016412799,5,1.0,5,-5.5765971690783855,5
2017-12-28,20,linear,,1,5,-5.936486805603939,5,0.04454492166486378,5,10.0,5,5.0,5,25,0.0,5,30322.8,5,151614,30317.8,5,151589,1055.0,5,5275,-7.890379906923971,5,1.0,5,-5.770589813334374,5
2017-12-28,20,linear,,5,5,-6.239542026206481,5,0.04454492166486378,5,10.0,5,5.0,5,25,0.0,5,30322.8,5,151614,30317.8,5,151589,1055.0,5,5275,-8.117474537268144,5,1.0,5,-6.130500488334478,5
2017-12-28,20,xgboost,7.0,0,5,-10.751555692810191,5,0.0,5,10.0,5,5.0,5,25,0.0,5,30322.8,5,151614,30317.8,5,151589,0.0,5,0,,0,1.0,5,-7.40423947669227,5
2017-12-28,20,xgboost,7.0,1,5,-10.758689113223749,5,0.0,5,10.0,5,5.0,5,25,0.0,5,30322.8,5,151614,30317.8,5,151589,0.0,5,0,,0,1.0,5,-7.467132882695805,5
2017-12-28,20,xgboost,7.0,5,5,-10.680881089786144,5,0.0,5,10.0,5,5.0,5,25,0.0,5,30322.8,5,151614,30317.8,5,151589,0.0,5,0,,0,1.0,5,-7.572412593386758,5
2017-12-28,20,xgboost,,0,5,-5.809527283264797,5,0.08867740095629825,5,10.0,5,5.0,5,25,0.0,5,30322.8,5,151614,30317.8,5,151589,2363.0,5,11815,-4.741884878573133,5,1.0,5,-5.932932930868077,5
