day,eligible_rows,excluded_label_after_features,excluded_nonfinite_features,feature_rows,horizon,symbol
2017-12-27,22394,10,1,22405,10,KGHM
2017-12-28,35090,10,1,35101,10,KGHM
2017-12-29,29699,10,1,29710,10,KGHM
2017-12-27,22384,20,1,22405,20,KGHM
2017-12-28,35080,20,1,35101,20,KGHM
2017-12-29,29689,20,1,29710,20,KGHM
2017-12-27,22354,50,1,22405,50,KGHM
2017-12-28,35050,50,1,35101,50,KGHM
2017-12-29,29659,50,1,29710,50,KGHM
2017-12-27,13602,10,1,13613,10,PEKAO
2017-12-28,16336,10,1,16347,10,PEKAO
2017-12-29,13042,10,1,13053,10,PEKAO
2017-12-27,13592,20,1,13613,20,PEKAO
2017-12-28,16326,20,1,16347,20,PEKAO
2017-12-29,13032,20,1,13053,20,PEKAO
2017-12-27,13562,50,1,13613,50,PEKAO
2017-12-28,16296,50,1,16347,50,PEKAO
2017-12-29,13002,50,1,13053,50,PEKAO
2017-12-27,29555,10,1,29566,10,PKNORLEN
2017-12-28,27583,10,1,27594,10,PKNORLEN
2017-12-29,41012,10,1,41023,10,PKNORLEN
2017-12-27,29545,20,1,29566,20,PKNORLEN
2017-12-28,27573,20,1,27594,20,PKNORLEN
2017-12-29,41002,20,1,41023,20,PKNORLEN
2017-12-27,29515,50,1,29566,50,PKNORLEN
2017-12-28,27543,50,1,27594,50,PKNORLEN
2017-12-29,40972,50,1,41023,50,PKNORLEN
2017-12-27,22628,10,1,22639,10,PKOBP
2017-12-28,37723,10,1,37734,10,PKOBP
2017-12-29,42176,10,1,42187,10,PKOBP
2017-12-27,22618,20,1,22639,20,PKOBP
2017-12-28,37713,20,1,37734,20,PKOBP
2017-12-29,42166,20,1,42187,20,PKOBP
2017-12-27,22588,50,1,22639,50,PKOBP
2017-12-28,37683,50,1,37734,50,PKOBP
2017-12-29,42136,50,1,42187,50,PKOBP
2017-12-27,80910,1606,190,82706,10,PZU
2017-12-28,34932,10,1,34943,10,PZU
2017-12-29,38116,10,1,38127,10,PZU
2017-12-27,79559,2957,190,82706,20,PZU
2017-12-28,34922,20,1,34943,20,PZU
2017-12-29,38106,20,1,38127,20,PZU
2017-12-27,76254,6262,190,82706,50,PZU
2017-12-28,34892,50,1,34943,50,PZU
2017-12-29,38076,50,1,38127,50,PZU
