symbol,day,raw_messages,snapshot_rows,replay_A,replay_D,replay_F,replay_M,replay_Y,replay_outside_window,replay_segments,replay_snapshot_rows,replay_source_rows,replay_invalid_book
KGHM,2017-12-27,45386,22405,20646,20377,1,1322,3040,22981,1,22405,45386,
KGHM,2017-12-28,53900,35101,24842,24478,1,1637,2942,18799,1,35101,53900,
KGHM,2017-12-29,43913,29710,18607,21493,1,926,2886,14203,1,29710,43913,
PEKAO,2017-12-27,26704,13613,12594,12428,1,627,1054,13091,1,13613,26704,
PEKAO,2017-12-28,28217,16347,13313,13205,1,656,1042,11870,1,16347,28217,
PEKAO,2017-12-29,22370,13053,9926,10911,1,547,985,9317,1,13053,22370,
PKNORLEN,2017-12-27,42842,29566,20791,20704,1,750,596,13276,1,29566,42842,
PKNORLEN,2017-12-28,54745,27594,26637,26428,1,1112,567,27151,1,27594,54745,
PKNORLEN,2017-12-29,53874,41023,25728,26296,1,1281,568,12851,1,41023,53874,
PKOBP,2017-12-27,38297,22639,18044,18002,1,931,1319,15658,1,22639,38297,
PKOBP,2017-12-28,61201,37734,29261,29165,1,1531,1243,23467,1,37734,61201,
PKOBP,2017-12-29,62425,42187,29288,30462,1,1500,1174,20238,1,42187,62425,
PZU,2017-12-27,139549,82706,67373,66730,1,3802,1643,52334,190,82706,139549,4509.0
PZU,2017-12-28,54595,34943,26043,25594,1,1335,1622,19652,1,34943,54595,
PZU,2017-12-29,55870,38127,25685,27344,1,1181,1659,17743,1,38127,55870,
