day,horizon,model,control_seed,latency,interpretation,blocks,adverse_before_fill,adverse_before_fill_defined_blocks,eligible_decisions,eligible_decisions_defined_blocks,eligible_decisions_total,excluded_invalid_placement,excluded_invalid_placement_defined_blocks,excluded_invalid_placement_total,fill_before_adverse,fill_before_adverse_defined_blocks,fill_probability,fill_probability_defined_blocks,fills,fills_defined_blocks,fills_total,markout_1,markout_1_defined_blocks,markout_10,markout_10_defined_blocks,markout_10_observations,markout_10_observations_defined_blocks,markout_10_observations_total,markout_1_observations,markout_1_observations_defined_blocks,markout_1_observations_total,markout_5,markout_5_defined_blocks,markout_5_observations,markout_5_observations_defined_blocks,markout_5_observations_total,markout_remaining,markout_remaining_defined_blocks,markout_remaining_observations,markout_remaining_observations_defined_blocks,markout_remaining_observations_total,mean_fill_time,mean_fill_time_defined_blocks,mean_queue_ahead,mean_queue_ahead_defined_blocks,median_fill_time,median_fill_time_defined_blocks,median_queue_ahead,median_queue_ahead_defined_blocks,no_event_fraction,no_event_fraction_defined_blocks,placed_orders,placed_orders_defined_blocks,placed_orders_total,queue_ahead_p10,queue_ahead_p10_defined_blocks,queue_ahead_p90,queue_ahead_p90_defined_blocks,simultaneous,simultaneous_defined_blocks,spread_1,spread_1_defined_blocks,spread_10,spread_10_defined_blocks,spread_10_observations,spread_10_observations_defined_blocks,spread_10_observations_total,spread_1_observations,spread_1_observations_defined_blocks,spread_1_observations_total,spread_5,spread_5_defined_blocks,spread_5_observations,spread_5_observations_defined_blocks,spread_5_observations_total,spread_remaining,spread_remaining_defined_blocks,spread_remaining_observations,spread_remaining_observations_defined_blocks,spread_remaining_observations_total,unfilled_fraction,unfilled_fraction_defined_blocks,zero_signal_decisions,zero_signal_decisions_defined_blocks,zero_signal_decisions_total
2017-12-27,10,linear,,0,reset,5,0.024088301518213912,5,33817.8,5,169089,0.0,5,0,0.003702199798127416,5,0.004372930844272831,5,131.6,5,658,-0.14253825438122203,5,-0.0014319668888668423,5,131.4,5,657,131.6,5,658,-0.018075898266325455,5,131.4,5,657,-0.024556405043192276,5,131.6,5,658,8.08553863212731,5,1846.7660112137091,5,8.2,5,1174.7,5,0.9720934427415029,5,33817.8,5,169089,416.6,5,5186.680000000008,5,0.00011605594215569511,5,3.7115985356286316,5,3.9994926526688497,5,131.4,5,657,131.6,5,658,3.966222006043643,5,131.4,5,657,3.9475107888998004,5,131.6,5,658,0.9956270691557272,5,0.0,5,0
2017-12-27,10,linear,,0,retain,5,0.024088301518213912,5,33817.8,5,169089,0.0,5,0,0.003702199798127416,5,0.004372930844272831,5,131.6,5,658,-0.14253825438122203,5,-0.0014319668888668423,5,131.4,5,657,131.6,5,658,-0.018075898266325455,5,131.4,5,657,-0.024556405043192276,5,131.6,5,658,8.08553863212731,5,1846.7660112137091,5,8.2,5,1174.7,5,0.9720934427415029,5,33817.8,5,169089,416.6,5,5186.680000000008,5,0.00011605594215569511,5,3.7115985356286316,5,3.9994926526688497,5,131.4,5,657,131.6,5,658,3.966222006043643,5,131.4,5,657,3.9475107888998004,5,131.6,5,658,0.9956270691557272,5,0.0,5,0
2017-12-27,10,linear,,1,reset,5,0.025760160112087878,5,33817.8,5,169089,0.0,5,0,0.004467231987399788,5,0.005271819403535138,5,160.0,5,800,-0.03449214840531043,5,-0.0116260624723177,5,160.0,5,800,160.0,5,800,0.009424027382677835,5,160.0,5,800,0.008310340149650874,5,124.4,5,622,7.800680619647532,5,1825.0275937004492,5,8.2,5,1152.0,5,0.9696427695866443,5,33817.8,5,169089,394.24000000000035,5,5137.0,5,0.00012983831386802766,5,3.7928018023510317,5,3.8385290343533116,5,160.0,5,800,160.0,5,800,3.88064231477492,5,160.0,5,800,3.7370948045736574,5,124.4,5,622,0.9947281805964648,5,0.0,5,0
2017-12-27,10,linear,,1,retain,5,0.025760160112087878,5,33817.8,5,169089,0.0,5,0,0.004467231987399788,5,0.005271819403535138,5,160.0,5,800,-0.03449214840531043,5,-0.0116260624723177,5,160.0,5,800,160.0,5,800,0.009424027382677835,5,160.0,5,800,0.008310340149650874,5,124.4,5,622,7.800680619647532,5,1825.0275937004492,5,8.2,5,1152.0,5,0.9696427695866443,5,33817.8,5,169089,394.24000000000035,5,5137.0,5,0.00012983831386802766,5,3.7928018023510317,5,3.8385290343533116,5,160.0,5,800,160.0,5,800,3.88064231477492,5,160.0,5,800,3.7370948045736574,5,124.4,5,622,0.9947281805964648,5,0.0,5,0
2017-12-27,10,linear,,5,reset,5,0.030453978184235547,5,33817.8,5,169089,0.0,5,0,0.006085082228365804,5,0.007252146081624539,5,223.8,5,1119,-0.11292661286623296,5,-0.2455804315796076,5,223.0,5,1115,223.8,5,1119,-0.17736726653346496,5,223.4,5,1117,0.08827737274419067,5,37.8,5,189,7.740722067039106,5,1760.716132676565,5,8.0,5,1103.0,5,0.9631913331328548,5,33817.8,5,169089,329.4,5,5008.939999999999,5,0.00026960645454395915,5,3.652349663743185,5,3.387974045971464,5,223.0,5,1115,223.8,5,1119,3.527076356974059,5,223.4,5,1117,3.356117365246992,5,37.8,5,189,0.9927478539183754,5,0.0,5,0
2017-12-27,10,linear,,5,retain,5,0.030453978184235547,5,33817.8,5,169089,0.0,5,0,0.006085082228365804,5,0.007252146081624539,5,223.8,5,1119,-0.11292661286623296,5,-0.2455804315796076,5,223.0,5,1115,223.8,5,1119,-0.17736726653346496,5,223.4,5,1117,0.08827737274419067,5,37.8,5,189,7.740722067039106,5,1760.716132676565,5,8.0,5,1103.0,5,0.9631913331328548,5,33817.8,5,169089,329.4,5,5008.939999999999,5,0.00026960645454395915,5,3.652349663743185,5,3.387974045971464,5,223.0,5,1115,223.8,5,1119,3.527076356974059,5,223.4,5,1117,3.356117365246992,5,37.8,5,189,0.9927478539183754,5,0.0,5,0
2017-12-27,10,xgboost,,0,reset,5,0.0233327977438793,5,33817.8,5,169089,0.0,5,0,0.0036383383151091853,5,0.0042705110269166,5,129.2,5,646,-0.1532062865012555,5,-0.07682132827206482,5,129.2,5,646,129.2,5,646,-0.10948841740167692,5,129.2,5,646,-0.062054003565817605,5,129.2,5,646,8.042896291143542,5,1834.4519571267333,5,8.2,5,1156.3,5,0.9729090407304863,5,33817.8,5,169089,406.0,5,5181.120000000008,5,0.00011982321052519119,5,3.5416356389116457,5,3.694351794988048,5,129.2,5,646,129.2,5,646,3.6290415299698005,5,129.2,5,646,3.7238988712141916,5,129.2,5,646,0.9957294889730834,5,0.0,5,0
2017-12-27,10,xgboost,,0,retain,5,0.0233327977438793,5,33817.8,5,169089,0.0,5,0,0.0036383383151091853,5,0.0042705110269166,5,129.2,5,646,-0.1532062865012555,5,-0.07682132827206482,5,129.2,5,646,129.2,5,646,-0.10948841740167692,5,129.2,5,646,-0.062054003565817605,5,129.2,5,646,8.042896291143542,5,1834.4519571267333,5,8.2,5,1156.3,5,0.9729090407304863,5,33817.8,5,169089,406.0,5,5181.120000000008,5,0.00011982321052519119,5,3.5416356389116457,5,3.694351794988048,5,129.2,5,646,129.2,5,646,3.6290415299698005,5,129.2,5,646,3.7238988712141916,5,129.2,5,646,0.9957294889730834,5,0.0,5,0
2017-12-27,10,xgboost,,1,reset,5,0.02518798443888637,5,33817.8,5,169089,0.0,5,0,0.0042813374247492025,5,0.005020358009028324,5,153.6,5,768,-0.04461141735677989,5,-0.09588605864115132,5,153.6,5,768,153.6,5,768,-0.08750227402410549,5,153.6,5,768,-0.03079757023223819,5,118.2,5,591,7.794107424760481,5,1815.466449943448,5,8.2,5,1141.2,5,0.9703945083151732,5,33817.8,5,169089,388.2,5,5130.8,5,0.0001361698211913712,5,3.6523932641552124,5,3.5498621840251907,5,153.6,5,768,153.6,5,768,3.566670429700589,5,153.6,5,768,3.4892755892385283,5,118.2,5,591,0.9949796419909717,5,0.0,5,0
2017-12-27,10,xgboost,,1,retain,5,0.02518798443888637,5,33817.8,5,169089,0.0,5,0,0.0042813374247492025,5,0.005020358009028324,5,153.6,5,768,-0.04461141735677989,5,-0.09588605864115132,5,153.6,5,768,153.6,5,768,-0.08750227402410549,5,153.6,5,768,-0.03079757023223819,5,118.2,5,591,7.794107424760481,5,1815.466449943448,5,8.2,5,1141.2,5,0.9703945083151732,5,33817.8,5,169089,388.2,5,5130.8,5,0.0001361698211913712,5,3.6523932641552124,5,3.5498621840251907,5,153.6,5,768,153.6,5,768,3.566670429700589,5,153.6,5,768,3.4892755892385283,5,118.2,5,591,0.9949796419909717,5,0.0,5,0
