symbol,day,horizon,model,control_seed,latency,interpretation,tail_bin,bins_available,fill_probability_tail_minus_center,markout_5_tail_minus_center
KGHM,2017-12-27,10,linear,,0,reset,1,10,-0.0008930571583927183,-2.2563632262964983
KGHM,2017-12-27,10,linear,,0,reset,10,10,-0.00503384390787512,
KGHM,2017-12-27,10,linear,,0,retain,1,10,-0.0008930571583927183,-2.2563632262964983
KGHM,2017-12-27,10,linear,,0,retain,10,10,-0.00503384390787512,
KGHM,2017-12-27,10,linear,,1,reset,1,10,-0.001732444395706001,-4.38110501414358
KGHM,2017-12-27,10,linear,,1,reset,10,10,-0.005577460663082517,
KGHM,2017-12-27,10,linear,,1,retain,1,10,-0.001732444395706001,-4.38110501414358
KGHM,2017-12-27,10,linear,,1,retain,10,10,-0.005577460663082517,
KGHM,2017-12-27,10,linear,,5,reset,1,10,-0.0009372613728672726,-3.377445865917265
KGHM,2017-12-27,10,linear,,5,reset,10,10,-0.0056695890865614456,
KGHM,2017-12-27,10,linear,,5,retain,1,10,-0.0009372613728672726,-3.377445865917265
KGHM,2017-12-27,10,linear,,5,retain,10,10,-0.0056695890865614456,
KGHM,2017-12-27,10,xgboost,,0,reset,1,10,-1.2397066461576189e-05,-1.072562625478584
KGHM,2017-12-27,10,xgboost,,0,reset,10,10,-0.0038999568750740163,
KGHM,2017-12-27,10,xgboost,,0,retain,1,10,-1.2397066461576189e-05,-1.072562625478584
KGHM,2017-12-27,10,xgboost,,0,retain,10,10,-0.0038999568750740163,
KGHM,2017-12-27,10,xgboost,,1,reset,1,10,-0.0002717331660466384,-0.7316897531051607
KGHM,2017-12-27,10,xgboost,,1,reset,10,10,-0.0041592929746590785,
KGHM,2017-12-27,10,xgboost,,1,retain,1,10,-0.0002717331660466384,-0.7316897531051607
KGHM,2017-12-27,10,xgboost,,1,retain,10,10,-0.0041592929746590785,
KGHM,2017-12-27,10,xgboost,,5,reset,1,10,-0.0012296182017315334,-3.8224364255769094
KGHM,2017-12-27,10,xgboost,,5,reset,10,10,-0.004079447474276738,-2.6133053873956897
KGHM,2017-12-27,10,xgboost,,5,retain,1,10,-0.0012296182017315334,-3.8224364255769094
KGHM,2017-12-27,10,xgboost,,5,retain,10,10,-0.004079447474276738,-2.6133053873956897
KGHM,2017-12-27,20,linear,,0,reset,1,10,-0.0028800906022507546,-1.6661301636990702
KGHM,2017-12-27,20,linear,,0,reset,10,10,-0.025127691100222723,-2.4115762372157956
KGHM,2017-12-27,20,linear,,0,retain,1,10,-0.0028800906022507546,-1.6661301636990702
KGHM,2017-12-27,20,linear,,0,retain,10,10,-0.025127691100222723,-2.4115762372157956
KGHM,2017-12-27,20,linear,,1,reset,1,10,-0.0036588906710393436,-1.9153823452857528
KGHM,2017-12-27,20,linear,,1,reset,10,10,-0.025865830151381497,-1.3101688392988584
KGHM,2017-12-27,20,linear,,1,retain,1,10,-0.0036588906710393436,-1.9153823452857528
KGHM,2017-12-27,20,linear,,1,retain,10,10,-0.025865830151381497,-1.3101688392988584
KGHM,2017-12-27,20,linear,,5,reset,1,10,-0.004714516773446253,-1.820772316243719
KGHM,2017-12-27,20,linear,,5,reset,10,10,-0.027177972056366618,0.40628940337224995
KGHM,2017-12-27,20,linear,,5,retain,1,10,-0.004714516773446253,-1.820772316243719
KGHM,2017-12-27,20,linear,,5,retain,10,10,-0.027177972056366618,0.40628940337224995
KGHM,2017-12-27,20,xgboost,7.0,0,reset,1,10,0.02219639088093025,-1.350885291733015
KGHM,2017-12-27,20,xgboost,7.0,0,reset,10,10,-0.015438417834606267,-0.764433652687073
KGHM,2017-12-27,20,xgboost,7.0,0,retain,1,10,0.02219639088093025,-1.350885291733015
KGHM,2017-12-27,20,xgboost,7.0,0,retain,10,10,-0.015438417834606267,-0.764433652687073
KGHM,2017-12-27,20,xgboost,7.0,1,reset,1,10,0.02134435882038626,-1.4740771855434838
KGHM,2017-12-27,20,xgboost,7.0,1,reset,10,10,-0.01279965552952644,-0.6724035561216859
KGHM,2017-12-27,20,xgboost,7.0,1,retain,1,10,0.02134435882038626,-1.4740771855434838
KGHM,2017-12-27,20,xgboost,7.0,1,retain,10,10,-0.01279965552952644,-0.6724035561216859
KGHM,2017-12-27,20,xgboost,7.0,5,reset,1,10,0.025007664784075966,-1.5419531383288794
KGHM,2017-12-27,20,xgboost,7.0,5,reset,10,10,-0.01347376333755481,-1.4686228065034859
KGHM,2017-12-27,20,xgboost,7.0,5,retain,1,10,0.025007664784075966,-1.5419531383288794
KGHM,2017-12-27,20,xgboost,7.0,5,retain,10,10,-0.01347376333755481,-1.4686228065034859
KGHM,2017-12-27,20,xgboost,,0,reset,1,10,-0.004275307939652237,-1.880800288597782
KGHM,2017-12-27,20,xgboost,,0,reset,10,10,-0.019750323027637705,-0.9195700237277817
KGHM,2017-12-27,20,xgboost,,0,retain,1,10,-0.004275307939652237,-1.880800288597782
KGHM,2017-12-27,20,xgboost,,0,retain,10,10,-0.019750323027637705,-0.9195700237277817
KGHM,2017-12-27,20,xgboost,,1,reset,1,10,-0.0053479751182370465,-1.848713887526248
KGHM,2017-12-27,20,xgboost,,1,reset,10,10,-0.02135146105524008,-0.8641337858771769
KGHM,2017-12-27,20,xgboost,,1,retain,1,10,-0.0053479751182370465,-1.848713887526248
KGHM,2017-12-27,20,xgboost,,1,retain,10,10,-0.02135146105524008,-0.8641337858771769
KGHM,2017-12-27,20,xgboost,,5,reset,1,10,-0.007525831998889586,-1.751081759839372
KGHM,2017-12-27,20,xgboost,,5,reset,10,10,-0.02247744086526575,-0.836464649513653
KGHM,2017-12-27,20,xgboost,,5,retain,1,10,-0.007525831998889586,-1.751081759839372
KGHM,2017-12-27,20,xgboost,,5,retain,10,10,-0.02247744086526575,-0.836464649513653
KGHM,2017-12-27,50,linear,,0,reset,1,10,-0.03075529739542418,-0.5028290720164892
KGHM,2017-12-27,50,linear,,0,reset,10,10,-0.08448391027544287,0.08347567914225848
KGHM,2017-12-27,50,linear,,0,retain,1,10,-0.03075529739542418,-0.5028290720164892
KGHM,2017-12-27,50,linear,,0,retain,10,10,-0.08448391027544287,0.08347567914225848
KGHM,2017-12-27,50,linear,,1,reset,1,10,-0.032895898900400594,-0.5381242302830311
KGHM,2017-12-27,50,linear,,1,reset,10,10,-0.08552882149553981,0.03778587523705379
KGHM,2017-12-27,50,linear,,1,retain,1,10,-0.032895898900400594,-0.5381242302830311
KGHM,2017-12-27,50,linear,,1,retain,10,10,-0.08552882149553981,0.03778587523705379
KGHM,2017-12-27,50,linear,,5,reset,1,10,-0.030264249514256575,-0.7197742130599687
KGHM,2017-12-27,50,linear,,5,reset,10,10,-0.08270834723032651,-0.19640856192182563
KGHM,2017-12-27,50,linear,,5,retain,1,10,-0.030264249514256575,-0.7197742130599687
KGHM,2017-12-27,50,linear,,5,retain,10,10,-0.08270834723032651,-0.19640856192182563
KGHM,2017-12-27,50,xgboost,,0,reset,1,10,-0.0249427248770666,-0.6027025149269782
KGHM,2017-12-27,50,xgboost,,0,reset,10,10,-0.07873920732677955,-0.5883516948823297
KGHM,2017-12-27,50,xgboost,,0,retain,1,10,-0.0249427248770666,-0.6027025149269782
KGHM,2017-12-27,50,xgboost,,0,retain,10,10,-0.07873920732677955,-0.5883516948823297
KGHM,2017-12-27,50,xgboost,,1,reset,1,10,-0.024098109643711257,-0.6309518227173427
KGHM,2017-12-27,50,xgboost,,1,reset,10,10,-0.07888029962991648,-0.6657998834563676
KGHM,2017-12-27,50,xgboost,,1,retain,1,10,-0.024098109643711257,-0.6309518227173427
KGHM,2017-12-27,50,xgboost,,1,retain,10,10,-0.07888029962991648,-0.6657998834563676
KGHM,2017-12-27,50,xgboost,,5,reset,1,10,-0.018977514301263335,-0.7236465520609252
KGHM,2017-12-27,50,xgboost,,5,reset,10,10,-0.06898713673130549,-0.8768674275181203
KGHM,2017-12-27,50,xgboost,,5,retain,1,10,-0.018977514301263335,-0.7236465520609252
KGHM,2017-12-27,50,xgboost,,5,retain,10,10,-0.06898713673130549,-0.8768674275181203
KGHM,2017-12-28,10,linear,,0,reset,1,10,-0.0011107044097265796,0.8783217635997338
KGHM,2017-12-28,10,linear,,0,reset,10,10,-0.00549616694930099,-1.0773429823486023
KGHM,2017-12-28,10,linear,,0,retain,1,10,-0.0011107044097265796,0.8783217635997338
KGHM,2017-12-28,10,linear,,0,retain,10,10,-0.00549616694930099,-1.0773429823486023
KGHM,2017-12-28,10,linear,,1,reset,1,10,-0.0022263093184120095,0.4395634583702738
KGHM,2017-12-28,10,linear,,1,reset,10,10,-0.0067436446933880215,-1.6691570297653167
KGHM,2017-12-28,10,linear,,1,retain,1,10,-0.0022263093184120095,0.4395634583702738
KGHM,2017-12-28,10,linear,,1,retain,10,10,-0.0067436446933880215,-1.6691570297653167
KGHM,2017-12-28,10,linear,,5,reset,1,10,-0.0016799513844103957,1.0123319143770642
KGHM,2017-12-28,10,linear,,5,reset,10,10,-0.007219364030337108,-2.157060886993972
KGHM,2017-12-28,10,linear,,5,retain,1,10,-0.0016799513844103957,1.0123319143770642
KGHM,2017-12-28,10,linear,,5,retain,10,10,-0.007219364030337108,-2.157060886993972
KGHM,2017-12-28,10,xgboost,,0,reset,1,10,-0.001976071160347998,1.0404659353128427
KGHM,2017-12-28,10,xgboost,,0,reset,10,10,-0.0031810460596730806,0.15364737464042788
KGHM,2017-12-28,10,xgboost,,0,retain,1,10,-0.001976071160347998,1.0404659353128427
KGHM,2017-12-28,10,xgboost,,0,retain,10,10,-0.0031810460596730806,0.15364737464042788
KGHM,2017-12-28,10,xgboost,,1,reset,1,10,-0.0016919816779674,0.9576271142884383
KGHM,2017-12-28,10,xgboost,,1,reset,10,10,-0.0023238375932605236,-1.0387248963207487
KGHM,2017-12-28,10,xgboost,,1,retain,1,10,-0.0016919816779674,0.9576271142884383
KGHM,2017-12-28,10,xgboost,,1,retain,10,10,-0.0023238375932605236,-1.0387248963207487
KGHM,2017-12-28,10,xgboost,,5,reset,1,10,-0.00238684479151859,2.240165817113061
KGHM,2017-12-28,10,xgboost,,5,reset,10,10,-0.005191784466954568,0.285470912899199
KGHM,2017-12-28,10,xgboost,,5,retain,1,10,-0.00238684479151859,2.240165817113061
KGHM,2017-12-28,10,xgboost,,5,retain,10,10,-0.005191784466954568,0.285470912899199
KGHM,2017-12-28,20,linear,,0,reset,1,10,-0.01283245672980327,0.8012323428271778
KGHM,2017-12-28,20,linear,,0,reset,10,10,-0.016201721251746036,-0.8518546244453531
KGHM,2017-12-28,20,linear,,0,retain,1,10,-0.01283245672980327,0.8012323428271778
KGHM,2017-12-28,20,linear,,0,retain,10,10,-0.016201721251746036,-0.8518546244453531
KGHM,2017-12-28,20,linear,,1,reset,1,10,-0.013848158341643775,0.6462369482995556
KGHM,2017-12-28,20,linear,,1,reset,10,10,-0.01742491301933595,-1.0191165736910643
KGHM,2017-12-28,20,linear,,1,retain,1,10,-0.013848158341643775,0.6462369482995556
KGHM,2017-12-28,20,linear,,1,retain,10,10,-0.01742491301933595,-1.0191165736910643
KGHM,2017-12-28,20,linear,,5,reset,1,10,-0.014781388247781389,0.856847526375678
KGHM,2017-12-28,20,linear,,5,reset,10,10,-0.011735838022025675,-0.7781089665583814
KGHM,2017-12-28,20,linear,,5,retain,1,10,-0.014781388247781389,0.856847526375678
KGHM,2017-12-28,20,linear,,5,retain,10,10,-0.011735838022025675,-0.7781089665583814
KGHM,2017-12-28,20,xgboost,7.0,0,reset,1,10,0.012235014006688735,-0.6543295204523423
KGHM,2017-12-28,20,xgboost,7.0,0,reset,10,10,0.001771848998824814,1.325488556799761
KGHM,2017-12-28,20,xgboost,7.0,0,retain,1,10,0.012235014006688735,-0.6543295204523423
KGHM,2017-12-28,20,xgboost,7.0,0,retain,10,10,0.001771848998824814,1.325488556799761
KGHM,2017-12-28,20,xgboost,7.0,1,reset,1,10,0.011244280331069459,-0.4438561427467546
KGHM,2017-12-28,20,xgboost,7.0,1,reset,10,10,0.0029447893242986745,1.45943256676078
KGHM,2017-12-28,20,xgboost,7.0,1,retain,1,10,0.011244280331069459,-0.4438561427467546
KGHM,2017-12-28,20,xgboost,7.0,1,retain,10,10,0.0029447893242986745,1.45943256676078
KGHM,2017-12-28,20,xgboost,7.0,5,reset,1,10,0.011807697630735442,-0.08504820982363587
KGHM,2017-12-28,20,xgboost,7.0,5,reset,10,10,0.006132993443994164,1.30292911314038
KGHM,2017-12-28,20,xgboost,7.0,5,retain,1,10,0.011807697630735442,-0.08504820982363587
KGHM,2017-12-28,20,xgboost,7.0,5,retain,10,10,0.006132993443994164,1.30292911314038
KGHM,2017-12-28,20,xgboost,,0,reset,1,10,-0.015559110743281085,1.1039263775697576
KGHM,2017-12-28,20,xgboost,,0,reset,10,10,-0.016792653148788257,-0.622851137116966
KGHM,2017-12-28,20,xgboost,,0,retain,1,10,-0.015559110743281085,1.1039263775697576
KGHM,2017-12-28,20,xgboost,,0,retain,10,10,-0.016792653148788257,-0.622851137116966
KGHM,2017-12-28,20,xgboost,,1,reset,1,10,-0.014508928754408934,1.2193481934026635
KGHM,2017-12-28,20,xgboost,,1,reset,10,10,-0.016750195721834463,-0.6041376705078976
KGHM,2017-12-28,20,xgboost,,1,retain,1,10,-0.014508928754408934,1.2193481934026635
KGHM,2017-12-28,20,xgboost,,1,retain,10,10,-0.016750195721834463,-0.6041376705078976
KGHM,2017-12-28,20,xgboost,,5,reset,1,10,-0.01467952330080382,1.3282580449171062
KGHM,2017-12-28,20,xgboost,,5,reset,10,10,-0.014538262799527999,-0.33214108915604057
KGHM,2017-12-28,20,xgboost,,5,retain,1,10,-0.01467952330080382,1.3282580449171062
KGHM,2017-12-28,20,xgboost,,5,retain,10,10,-0.014538262799527999,-0.33214108915604057
KGHM,2017-12-28,50,linear,,0,reset,1,10,-0.051754337597324465,0.7415823213685475
KGHM,2017-12-28,50,linear,,0,reset,10,10,-0.04072134750091205,0.4733780318523778
KGHM,2017-12-28,50,linear,,0,retain,1,10,-0.051754337597324465,0.7415823213685475
KGHM,2017-12-28,50,linear,,0,retain,10,10,-0.04072134750091205,0.4733780318523778
KGHM,2017-12-28,50,linear,,1,reset,1,10,-0.05463143348704125,0.6592404941156673
KGHM,2017-12-28,50,linear,,1,reset,10,10,-0.04289226782667991,0.3476960893467234
KGHM,2017-12-28,50,linear,,1,retain,1,10,-0.05463143348704125,0.6592404941156673
KGHM,2017-12-28,50,linear,,1,retain,10,10,-0.04289226782667991,0.3476960893467234
KGHM,2017-12-28,50,linear,,5,reset,1,10,-0.055645301383370704,0.6658849797928076
KGHM,2017-12-28,50,linear,,5,reset,10,10,-0.039216148493120356,0.33790621384141184
KGHM,2017-12-28,50,linear,,5,retain,1,10,-0.055645301383370704,0.6658849797928076
KGHM,2017-12-28,50,linear,,5,retain,10,10,-0.039216148493120356,0.33790621384141184
