adverse_before_fill,control_seed,decile,eligible_decisions,fill_before_adverse,fill_probability,fills,horizon,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,model,month,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,symbol,unfilled_fraction,zero_signal_decisions
0.0379422383,,1,110800,0.0106949458,0.011534296,1278,10,retain,0,0.3229725057,0.4710126892,1278,1278,0.5872768349,1278,0.4422065581,1278,7.3575899844,129.4472563177,8.0,130.0,linear,2017-04,0.9512815884,110800,77.0,178.0,8.12274e-05,5.0818699402,5.3779168115,1278,1278,5.6104563695,1278,5.3203230629,1278,KGHM,0.988465704,0
0.0279959902,,2,109730,0.0030894013,0.0035450652,389,10,retain,0,-0.276548105,-0.3336999926,389,389,-0.359988235,389,-0.2858038552,389,7.7737789203,239.1579239953,8.0,240.0,linear,2017-04,0.9688325891,109730,200.0,279.0,8.20195e-05,3.9813059816,3.8670927544,389,389,3.8146092746,389,3.9628100596,389,KGHM,0.9964549348,0
0.0212562585,,3,109850,0.0038051889,0.0045789713,503,10,retain,0,0.2069260358,0.0777468329,503,503,0.1909097435,503,0.1812174257,503,7.6640159046,339.8123714156,8.0,340.0,linear,2017-04,0.9746654529,109850,300.0,382.0,0.0002730997,3.9693998901,3.711230256,503,503,3.9376101525,503,3.9179448784,503,KGHM,0.9954210287,0
0.0203539823,,4,116390,0.0027064181,0.0032648853,380,10,retain,0,-0.1744438252,-0.8855249136,380,380,-0.5076892405,380,-0.2698490812,380,8.0631578947,449.844711745,8.0,450.0,linear,2017-04,0.9767849472,116390,401.0,500.0,0.0001546525,3.4113139525,1.9891933795,380,380,2.7447491168,380,3.220466006,380,KGHM,0.9967351147,0
0.0174992137,,5,104919,0.0028021617,0.0033549691,352,10,retain,0,-0.4016213533,-0.2786132407,352,352,-0.317829477,352,-0.2438916351,352,8.0795454545,561.1490673758,8.0,560.0,linear,2017-04,0.9795365949,104919,512.0,610.0,0.0001620298,3.2026020929,3.4484071831,352,352,3.370091452,352,3.5180594677,352,KGHM,0.9966450309,0
0.0190723844,,6,108062,0.0022302012,0.0027484222,297,10,retain,0,0.0497011023,-0.3032869654,297,297,0.0488882409,297,0.0480377464,297,7.9797979798,688.9904221651,8.0,690.0,linear,2017-04,0.9785586052,108062,634.0,745.0,0.0001388092,3.4326176755,2.7266120437,297,297,3.4310637752,297,3.4294050519,297,KGHM,0.9972515778,0
0.0160297163,,7,110108,0.0018345624,0.0021615141,238,10,retain,0,-0.4817575071,-0.7939980446,238,238,-0.4723482571,238,-0.3870080965,238,8.2058823529,840.6208903985,9.0,840.0,linear,2017-04,0.9821266393,110108,774.0,911.0,9.082e-06,2.571660153,1.9471745459,238,238,2.5905357022,238,2.7610934943,238,KGHM,0.9978384859,0
0.0179825998,,8,109884,0.0017108951,0.0020203123,222,10,retain,0,0.030008393,-0.6469596143,222,222,-0.4509641471,222,-0.0435294435,222,8.3063063063,1039.6866968803,9.0,1032.0,linear,2017-04,0.980197299,109884,950.0,1141.0,0.0001092061,3.4793400613,2.1253126979,222,222,2.5174256837,222,3.3323033105,222,KGHM,0.9979796877,0
0.0154531622,,9,109751,0.0010296034,0.0011024956,121,10,retain,0,0.5455471145,-0.1316969955,121,121,0.3676333663,121,0.3847482011,121,8.4876033058,1352.916711465,9.0,1339.0,linear,2017-04,0.9835172345,109751,1194.0,1537.0,0.0,4.2697034356,2.9151290482,121,121,3.9139251795,121,3.9480306859,121,KGHM,0.9988975044,0
0.0135872043,,10,109662,0.0004559465,0.0004924222,54,10,retain,0,-0.5226798518,-0.8037995483,54,54,-1.1692183663,54,-0.3734332665,54,8.5,2574.5166146888,9.0,2099.0,linear,2017-04,0.9859386114,109662,1671.0,4059.0,1.82379e-05,2.7605734949,2.1979271544,54,54,1.4674228784,54,3.0589143869,54,KGHM,0.9995075778,0
