adverse_before_fill,control_seed,eligible_decisions,fill_before_adverse,fill_probability,fills,horizon,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,model,month,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,symbol,unfilled_fraction,zero_signal_decisions
0.0207468276,,1099156,0.0030432441,0.0034881309,3834,10,retain,0,0.0381213793,-0.1057206732,3834,3834,0.0482699041,3834,0.0771014667,3834,7.7837767345,819.9153468661,8.0,620.0,linear,2017-04,0.9761071222,1099156,190.0,1598.0,0.0001028062,4.0514455759,3.7637526909,3834,3834,4.0717810987,3834,4.1293959972,3834,KGHM,0.9965118691,0
0.0202992114,,1099156,0.0028976779,0.0033416549,3673,10,retain,0,0.0581381081,-0.0975390939,3672,3672,0.0860244224,3672,0.0970300578,3673,7.7884563027,807.5888627274,8.0,607.0,xgboost,2017-04,0.9766921165,1099156,182.0,1584.0,0.0001109943,4.1675593803,3.8561574165,3672,3672,4.2233751637,3672,4.2453212436,3673,KGHM,0.9966583451,0
0.0220751195,,1099156,0.0040594784,0.0046408335,5101,10,retain,1,0.1758027512,-0.0032239894,5101,5101,0.2333615504,5101,0.1556817576,4112,7.5042148598,810.1057247561,8.0,611.0,linear,2017-04,0.97374531,1099156,177.0,1590.0,0.0001200921,4.1860752121,3.828009715,5101,5101,4.301209632,5101,4.0101762678,4112,KGHM,0.9953591665,0
0.0217048353,,1099156,0.003530891,0.0040840427,4489,10,retain,1,0.1193704943,-0.0509303931,4488,4488,0.1567661607,4488,0.1436004623,3541,7.6108264647,799.366287406,8.0,601.0,xgboost,2017-04,0.9746405424,1099156,172.0,1576.0,0.0001237313,4.1722473387,3.8315963625,4488,4488,4.2470838562,4488,4.0914246325,3541,KGHM,0.9959159573,0
0.0255596112,,1099156,0.0051967146,0.0059855016,6579,10,retain,5,0.1756533309,0.0176405066,6579,6579,0.2437604047,6579,0.2154396191,1405,7.3901808786,783.5397104688,8.0,586.0,linear,2017-04,0.9690917395,1099156,150.0,1566.0,0.0001519348,4.2285964563,3.9125474265,6579,6579,4.3647984239,6579,3.6763493117,1405,KGHM,0.9940144984,0
0.025293043,,1099156,0.004634465,0.0054023269,5938,10,retain,5,0.135379394,-0.021440608,5937,5937,0.1746097547,5937,0.2284340109,1175,7.4708656113,774.8037339559,8.0,577.0,xgboost,2017-04,0.9699169181,1099156,150.0,1551.0,0.0001555739,4.2237588082,3.9100626964,5937,5937,4.3022379177,5937,3.7789837811,1175,KGHM,0.9945976731,0
0.0415705166,,1098976,0.013718225,0.0160385668,17626,20,retain,0,-0.1479626264,-0.4099214548,17626,17626,-0.2399752624,17626,-0.2357025371,17626,14.2106547146,819.8875525944,15.0,620.0,linear,2017-04,0.944073392,1098976,190.0,1598.0,0.0006378665,4.2582106122,3.7342789059,17626,17626,4.0741931537,17626,4.0827197936,17626,KGHM,0.9839614332,0
0.0408944326,,1098976,0.0134598026,0.0156946103,17248,20,retain,0,-0.1640877481,-0.4328494769,17248,17248,-0.2627815735,17248,-0.2473170099,17248,14.2364911874,806.9206615977,15.0,607.0,xgboost,2017-04,0.9450088082,1098976,182.0,1583.0,0.0006369566,4.4279437127,3.8903686796,17248,17248,4.2305623147,17248,4.261460517,17248,KGHM,0.9843053897,0
0.0435095944,,1098976,0.0154980637,0.0181086757,19901,20,retain,1,-0.0821412769,-0.3462686154,19901,19901,-0.1549715783,19901,-0.1575667041,18114,13.7649866841,810.0699887896,14.0,611.0,linear,2017-04,0.9403117084,1098976,177.0,1590.0,0.0006806336,4.2999496486,3.7716811676,19901,19901,4.1542931827,19901,4.1036152812,18114,KGHM,0.9818913243,0
0.0428890167,,1098976,0.0146973182,0.0172051073,18908,20,retain,1,-0.1274659993,-0.3953087739,18908,18908,-0.218478252,18908,-0.1937421113,17142,13.971281997,798.7540919911,15.0,600.5,xgboost,2017-04,0.9417321215,1098976,172.0,1575.0,0.0006815435,4.4085523702,3.8728216244,18908,18908,4.2265375701,18908,4.2396030724,17142,KGHM,0.9827948927,0
