model,horizon,control_seed,latency,interpretation,adverse_before_fill,eligible_decisions,fill_before_adverse,fill_probability,fills,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions,blocks,adverse_before_fill_defined_blocks,eligible_decisions_defined_blocks,fill_before_adverse_defined_blocks,fill_probability_defined_blocks,fills_defined_blocks,markout_1_defined_blocks,markout_10_defined_blocks,markout_10_observations_defined_blocks,markout_1_observations_defined_blocks,markout_5_defined_blocks,markout_5_observations_defined_blocks,markout_remaining_defined_blocks,markout_remaining_observations_defined_blocks,mean_fill_time_defined_blocks,mean_queue_ahead_defined_blocks,median_fill_time_defined_blocks,median_queue_ahead_defined_blocks,no_event_fraction_defined_blocks,placed_orders_defined_blocks,queue_ahead_p10_defined_blocks,queue_ahead_p90_defined_blocks,simultaneous_defined_blocks,spread_1_defined_blocks,spread_10_defined_blocks,spread_10_observations_defined_blocks,spread_1_observations_defined_blocks,spread_5_defined_blocks,spread_5_observations_defined_blocks,spread_remaining_defined_blocks,spread_remaining_observations_defined_blocks,unfilled_fraction_defined_blocks,zero_signal_decisions_defined_blocks
linear,10,,0,reset,0.039633299415,843354.7,0.00424908776,0.00544469568,4470.45,-0.028052431055000004,-0.221174043285,4465.5,4470.35,-0.097903436245,4468.7,0.0043190906000000005,4470.45,7.7224641091,1452.481513441645,7.95,1072.5,0.9557465433600001,843354.7,341.25,2826.4,0.000371069495,4.6132900743,4.230023979105,4465.5,4470.35,4.4739613851949995,4468.7,4.678032501984999,4470.45,0.99455530432,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,0.039633299415,843354.7,0.00424908776,0.00544469568,4470.45,-0.028052431055000004,-0.221174043285,4465.5,4470.35,-0.097903436245,4468.7,0.0043190906000000005,4470.45,7.7224641091,1452.481513441645,7.95,1072.5,0.9557465433600001,843354.7,341.25,2826.4,0.000371069495,4.6132900743,4.230023979105,4465.5,4470.35,4.4739613851949995,4468.7,4.678032501984999,4470.45,0.99455530432,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,reset,0.04199821871,843354.7,0.005054384515,0.0065260964399999994,5374.9,0.031210931404999996,-0.16337128408999999,5368.65,5374.6,-0.025675290299999997,5372.4,0.069182148835,4293.9,7.532412344495,1434.18383340231,7.95,1056.9,0.952536036555,843354.7,320.15,2810.0,0.00041136024,4.4851678454,4.098793567115,5368.65,5374.6,4.371811441505,5372.4,4.4701450161350005,4293.9,0.99347390356,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,retain,0.04199821871,843354.7,0.005054384515,0.0065260964399999994,5374.9,0.031210931404999996,-0.16337128408999999,5368.65,5374.6,-0.025675290299999997,5372.4,0.069182148835,4293.9,7.532412344495,1434.18383340231,7.95,1056.9,0.952536036555,843354.7,320.15,2810.0,0.00041136024,4.4851678454,4.098793567115,5368.65,5374.6,4.371811441505,5372.4,4.4701450161350005,4293.9,0.99347390356,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,5,reset,0.04760315588,843354.7,0.0062540261400000005,0.0082134362,6774.7,0.027773035154999997,-0.16378952452,6764.5,6773.35,-0.029069334599999996,6769.1,0.15829038358,1423.85,7.462600572205,1385.470368209155,7.9,1008.8,0.94565337073,843354.7,268.5,2764.55,0.0004894472700000001,4.206078944275,3.8257376070649998,6764.5,6773.35,4.09331324251,6769.1,3.90536521395,1423.85,0.9917865638000001,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,5,retain,0.04760315588,843354.7,0.0062540261400000005,0.0082134362,6774.7,0.027773035154999997,-0.16378952452,6764.5,6773.35,-0.029069334599999996,6769.1,0.15829038358,1423.85,7.462600572205,1385.470368209155,7.9,1008.8,0.94565337073,843354.7,268.5,2764.55,0.0004894472700000001,4.206078944275,3.8257376070649998,6764.5,6773.35,4.09331324251,6769.1,3.90536521395,1423.85,0.9917865638000001,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,20,,0,reset,0.073682452835,841249.1,0.018396355385,0.023625731820000002,19194.7,-0.15331146066499998,-0.48201643002,19182.45,19194.3,-0.33252455248,19190.35,-0.29303312499,19194.7,14.053638156664999,1452.2818894627849,14.7,1072.4,0.906275390435,841249.1,341.6,2825.75,0.001645801375,4.715778377175,4.0592090644750005,19182.45,19194.3,4.357799384605,19190.35,4.4364412271399996,19194.7,0.9763742681800001,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,20,,0,retain,0.073682452835,841249.1,0.018396355385,0.023625731820000002,19194.7,-0.15331146066499998,-0.48201643002,19182.45,19194.3,-0.33252455248,19190.35,-0.29303312499,19194.7,14.053638156664999,1452.2818894627849,14.7,1072.4,0.906275390435,841249.1,341.6,2825.75,0.001645801375,4.715778377175,4.0592090644750005,19182.45,19194.3,4.357799384605,19190.35,4.4364412271399996,19194.7,0.9763742681800001,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,20,,1,reset,0.07681492076,841249.1,0.0199083135,0.025750844449999997,20968.75,-0.126903577795,-0.442832900645,20953.9,20968.0,-0.2922680662,20962.8,-0.24406228099500002,19137.8,13.777707583915,1433.947265896475,14.35,1056.5,0.9015508644200001,841249.1,319.9,2809.6,0.00172590134,4.65428964706,4.0233767606,20953.9,20968.0,4.324107469965,20962.8,4.38448507573,19137.8,0.9742491555500001,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,20,,1,retain,0.07681492076,841249.1,0.0199083135,0.025750844449999997,20968.75,-0.126903577795,-0.442832900645,20953.9,20968.0,-0.2922680662,20962.8,-0.24406228099500002,19137.8,13.777707583915,1433.947265896475,14.35,1056.5,0.9015508644200001,841249.1,319.9,2809.6,0.00172590134,4.65428964706,4.0233767606,20953.9,20968.0,4.324107469965,20962.8,4.38448507573,19137.8,0.9742491555500001,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
