model,horizon,control_seed,latency,interpretation,decile,adverse_before_fill,eligible_decisions,fill_before_adverse,fill_probability,fills,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions,blocks,adverse_before_fill_defined_blocks,eligible_decisions_defined_blocks,fill_before_adverse_defined_blocks,fill_probability_defined_blocks,fills_defined_blocks,markout_1_defined_blocks,markout_10_defined_blocks,markout_10_observations_defined_blocks,markout_1_observations_defined_blocks,markout_5_defined_blocks,markout_5_observations_defined_blocks,markout_remaining_defined_blocks,markout_remaining_observations_defined_blocks,mean_fill_time_defined_blocks,mean_queue_ahead_defined_blocks,median_fill_time_defined_blocks,median_queue_ahead_defined_blocks,no_event_fraction_defined_blocks,placed_orders_defined_blocks,queue_ahead_p10_defined_blocks,queue_ahead_p90_defined_blocks,simultaneous_defined_blocks,spread_1_defined_blocks,spread_10_defined_blocks,spread_10_observations_defined_blocks,spread_1_observations_defined_blocks,spread_5_defined_blocks,spread_5_observations_defined_blocks,spread_remaining_defined_blocks,spread_remaining_observations_defined_blocks,unfilled_fraction_defined_blocks,zero_signal_decisions_defined_blocks
linear,10,,0,reset,1,0.068344768765,86438.25,0.01125256174,0.014624856189999999,1270.5,0.2133068958,0.28161084447999996,1269.95,1270.45,0.32348277483,1270.45,0.26600216645999997,1270.5,7.31037283591,229.68390201759,7.6,234.975,0.919632073875,86438.25,133.85,321.65,0.00077059562,5.77227713822,5.909991754225,1269.95,1270.45,5.99258624834,1270.45,5.87754554538,1270.5,0.98537514381,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,reset,2,0.050362355995,87754.4,0.007063598615,0.00924818119,779.75,0.00656873018,-0.10199960637000001,778.9,779.7,-0.031407691030000004,779.25,0.016340348580000004,779.75,7.569376649735,443.88818393005505,7.9,450.9,0.9419694263049999,87754.4,364.15,512.1,0.00060461909,5.08518160868,4.871754565310001,778.9,779.7,5.01197954944,779.25,5.10488914234,779.75,0.99075181881,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,reset,3,0.04254404515,79322.65,0.005349355,0.006867627465,532.5,-0.11152350071499999,-0.36973932412,532.1,532.5,-0.25883479565,532.15,-0.10274124097000001,532.5,7.72333654276,610.6010852721,8.05,612.35,0.951576406435,79322.65,543.65,674.75,0.000530193425,4.306247459805,3.78980163612,532.1,532.5,4.011531202285,532.15,4.3238132145999995,532.5,0.993132372535,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,reset,4,0.03986930643,84993.1,0.00445184782,0.00563316088,465.2,-0.097905800645,-0.45258933271,464.65,465.2,-0.29822682881,465.05,-0.089328179935,465.2,7.871578431854999,780.3159317853699,8.15,779.85,0.9552943830649999,84993.1,709.15,853.9,0.000384462695,4.386834304015,3.6840899707699997,464.65,465.2,3.986958256645,465.05,4.403988960835,465.2,0.9943668391199999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,reset,5,0.036653977845,83698.35,0.0036521056850000004,0.004582780485,366.3,-0.17125298226000002,-0.557305768215,365.85,366.3,-0.35987026462,366.2,-0.16264278370500002,366.3,7.983599411465001,970.35544849583,8.1,968.8,0.95933266267,83698.35,890.6,1052.75,0.00036125381,3.8905876329149995,3.122519559565,365.85,366.3,3.51330201038,366.2,3.9078411604300003,366.3,0.9954172195150001,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,reset,6,0.03529098532,84008.95,0.003331050035,0.004145407764999999,333.8,-0.170356646585,-0.57471322114,333.35,333.8,-0.402640545275,333.55,-0.178070981145,333.8,8.05129570663,1183.018503919545,8.25,1181.9,0.96108992225,84008.95,1094.7,1272.7,0.00028804237999999996,3.6842824524599997,2.876155382515,333.35,333.8,3.218410883075,333.55,3.6688540042600004,333.8,0.995854592235,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,reset,7,0.032590292435,84295.1,0.0028271658800000004,0.0035240989899999998,282.65,-0.35509174990500003,-0.73463370715,282.25,282.65,-0.509556053635,282.55,-0.251352788335,282.65,8.21649802511,1441.454784098045,8.675,1438.575,0.9643225372399999,84295.1,1325.3,1563.5,0.000260004425,3.06682115256,2.31206514565,282.25,282.65,2.75814589298,282.55,3.2743146636950002,282.65,0.9964759010099999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,reset,8,0.031148651700000002,84266.1,0.00199976296,0.00254818788,206.1,-0.1877816378,-0.699582504565,205.35,206.1,-0.414533095005,205.85,-0.14707003971,206.1,8.310078526045,1794.149609678375,8.75,1785.0,0.966621626475,84266.1,1632.0549999999998,1970.75,0.00022995887,2.92879174739,1.92136545217,205.35,206.1,2.472254745175,205.85,3.0102023667299997,206.1,0.9974518121200001,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,reset,9,0.029977682235000004,84302.75,0.0012922879550000001,0.0016810262650000002,137.15,-0.21308854861499998,-0.7925065157100001,136.95,137.15,-0.597187860235,137.15,-0.23371267704999998,137.15,8.367008571265,2369.847521623005,8.85,2343.25,0.9685605626299999,84302.75,2079.95,2710.4,0.000169467155,2.74746213544,1.593869261535,136.95,137.15,1.979180343645,137.15,2.70616197611,137.15,0.9983189737349999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,reset,10,0.0284858679,84275.05,0.000986260345,0.0012414757550000001,96.5,-0.31507354791000003,-0.8758033126000001,96.15,96.5,-0.5731394938650001,96.5,-0.273255808015,96.5,8.31501848377,4718.41656435869,8.775,3764.3,0.970437679805,84275.05,2959.08,6982.655000000001,9.019195999999999e-05,2.95541071682,1.8266484788650001,96.15,96.5,2.439282181155,96.5,3.03906773419,96.5,0.9987585242450001,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,1,0.068344768765,86438.25,0.01125256174,0.014624856189999999,1270.5,0.2133068958,0.28161084447999996,1269.95,1270.45,0.32348277483,1270.45,0.26600216645999997,1270.5,7.31037283591,229.68390201759,7.6,234.975,0.919632073875,86438.25,133.85,321.65,0.00077059562,5.77227713822,5.909991754225,1269.95,1270.45,5.99258624834,1270.45,5.87754554538,1270.5,0.98537514381,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,2,0.050362355995,87754.4,0.007063598615,0.00924818119,779.75,0.00656873018,-0.10199960637000001,778.9,779.7,-0.031407691030000004,779.25,0.016340348580000004,779.75,7.569376649735,443.88818393005505,7.9,450.9,0.9419694263049999,87754.4,364.15,512.1,0.00060461909,5.08518160868,4.871754565310001,778.9,779.7,5.01197954944,779.25,5.10488914234,779.75,0.99075181881,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,3,0.04254404515,79322.65,0.005349355,0.006867627465,532.5,-0.11152350071499999,-0.36973932412,532.1,532.5,-0.25883479565,532.15,-0.10274124097000001,532.5,7.72333654276,610.6010852721,8.05,612.35,0.951576406435,79322.65,543.65,674.75,0.000530193425,4.306247459805,3.78980163612,532.1,532.5,4.011531202285,532.15,4.3238132145999995,532.5,0.993132372535,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,4,0.03986930643,84993.1,0.00445184782,0.00563316088,465.2,-0.097905800645,-0.45258933271,464.65,465.2,-0.29822682881,465.05,-0.089328179935,465.2,7.871578431854999,780.3159317853699,8.15,779.85,0.9552943830649999,84993.1,709.15,853.9,0.000384462695,4.386834304015,3.6840899707699997,464.65,465.2,3.986958256645,465.05,4.403988960835,465.2,0.9943668391199999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,5,0.036653977845,83698.35,0.0036521056850000004,0.004582780485,366.3,-0.17125298226000002,-0.557305768215,365.85,366.3,-0.35987026462,366.2,-0.16264278370500002,366.3,7.983599411465001,970.35544849583,8.1,968.8,0.95933266267,83698.35,890.6,1052.75,0.00036125381,3.8905876329149995,3.122519559565,365.85,366.3,3.51330201038,366.2,3.9078411604300003,366.3,0.9954172195150001,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,6,0.03529098532,84008.95,0.003331050035,0.004145407764999999,333.8,-0.170356646585,-0.57471322114,333.35,333.8,-0.402640545275,333.55,-0.178070981145,333.8,8.05129570663,1183.018503919545,8.25,1181.9,0.96108992225,84008.95,1094.7,1272.7,0.00028804237999999996,3.6842824524599997,2.876155382515,333.35,333.8,3.218410883075,333.55,3.6688540042600004,333.8,0.995854592235,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
