model,feature_group,metric,expected,defined,mean,median,positive,available_case_mean
linear,F1,ic,20,20,0.25147471537958394,0.2543320734029286,20,0.25147471537958394
linear,F2,ic,20,20,0.2534505635632772,0.2566286308582657,20,0.2534505635632772
linear,F3,ic,20,20,0.25441353337043315,0.2578572784303919,20,0.25441353337043315
linear,F4,ic,20,20,0.2542895955908782,0.2585157747685041,20,0.2542895955908782
linear,F5,ic,20,20,0.2551929571030266,0.25981337481533634,20,0.2551929571030266
xgboost,F1,ic,20,20,0.24984749319340965,0.25378355018884863,20,0.24984749319340965
xgboost,F2,ic,20,20,0.2514782955041325,0.25546232710916705,20,0.2514782955041325
xgboost,F3,ic,20,20,0.26115207289235165,0.2635401512747134,20,0.26115207289235165
xgboost,F4,ic,20,20,0.2524073770232551,0.2567390216730172,20,0.2524073770232551
xgboost,F5,ic,20,20,0.2616392695606903,0.2633352164037732,20,0.2616392695606903
linear,F1,daily_ic,20,20,0.25522680156206323,0.25495772921498144,20,0.25522680156206323
linear,F2,daily_ic,20,20,0.2578196703390159,0.257750529836413,20,0.2578196703390159
linear,F3,daily_ic,20,20,0.25878058100289864,0.258972337692955,20,0.25878058100289864
linear,F4,daily_ic,20,20,0.2584082310316498,0.25979430434311535,20,0.2584082310316498
linear,F5,daily_ic,20,20,0.25931518964546174,0.2608777595888407,20,0.25931518964546174
xgboost,F1,daily_ic,20,20,0.2535381211285713,0.25501275306994275,20,0.2535381211285713
xgboost,F2,daily_ic,20,20,0.25546130000168527,0.2579222127926941,20,0.25546130000168527
xgboost,F3,daily_ic,20,20,0.26443027221261023,0.26645160498176235,20,0.26443027221261023
xgboost,F4,daily_ic,20,20,0.25625998301723685,0.26035480659762467,20,0.25625998301723685
xgboost,F5,daily_ic,20,20,0.26487721917135365,0.26617465422467146,20,0.26487721917135365
