model,contrast,symbol,period,delta_ic
linear,F2-F1,KGHM,2017-04,0.002319653103616426
linear,F2-F1,KGHM,2017-06,0.0032410062330132106
linear,F2-F1,KGHM,2017-09,0.0031234772988555926
linear,F2-F1,KGHM,2017-11,0.0029048631330688135
linear,F2-F1,PEKAO,2017-04,0.004721005339008155
linear,F2-F1,PEKAO,2017-06,0.003187815601860877
linear,F2-F1,PEKAO,2017-09,0.002109118439597213
linear,F2-F1,PEKAO,2017-11,0.0019538585068870906
linear,F2-F1,PKNORLEN,2017-04,0.003689632521278796
linear,F2-F1,PKNORLEN,2017-06,0.0024225285371394234
linear,F2-F1,PKNORLEN,2017-09,0.000795982370564996
linear,F2-F1,PKNORLEN,2017-11,0.001089254748631141
linear,F2-F1,PKOBP,2017-04,0.0008546307276096066
linear,F2-F1,PKOBP,2017-06,0.0023506443253824005
linear,F2-F1,PKOBP,2017-09,0.001688251777605454
linear,F2-F1,PKOBP,2017-11,0.00031518160108404136
linear,F2-F1,PZU,2017-04,0.00040833299934059375
linear,F2-F1,PZU,2017-06,0.003383747534551146
linear,F2-F1,PZU,2017-09,0.00010115626079887363
linear,F2-F1,PZU,2017-11,-0.0011431773860273164
linear,F3-F2,KGHM,2017-04,0.001913702527861827
linear,F3-F2,KGHM,2017-06,-0.000266603585927061
linear,F3-F2,KGHM,2017-09,0.0017749638713949745
linear,F3-F2,KGHM,2017-11,0.0016110212734107288
linear,F3-F2,PEKAO,2017-04,0.0007849643801348671
linear,F3-F2,PEKAO,2017-06,0.0005260369749811589
linear,F3-F2,PEKAO,2017-09,0.001614673327760996
linear,F3-F2,PEKAO,2017-11,0.0019089134067991897
linear,F3-F2,PKNORLEN,2017-04,0.0007098218044190308
linear,F3-F2,PKNORLEN,2017-06,0.0009954844918147465
linear,F3-F2,PKNORLEN,2017-09,0.002797084134613159
linear,F3-F2,PKNORLEN,2017-11,0.001561741652519072
linear,F3-F2,PKOBP,2017-04,0.0006955567538739493
linear,F3-F2,PKOBP,2017-06,-0.00019554086364120815
linear,F3-F2,PKOBP,2017-09,0.000846273870841685
linear,F3-F2,PKOBP,2017-11,0.0002216577504827455
linear,F3-F2,PZU,2017-04,0.0004915375207250883
linear,F3-F2,PZU,2017-06,-0.00026365521750512655
linear,F3-F2,PZU,2017-09,0.0007327127962647173
linear,F3-F2,PZU,2017-11,0.0007990492722946274
linear,F4-F2,KGHM,2017-04,0.0017291614482403128
linear,F4-F2,KGHM,2017-06,0.0009849139277357533
linear,F4-F2,KGHM,2017-09,0.003643574096498292
linear,F4-F2,KGHM,2017-11,0.0043817409616765945
linear,F4-F2,PEKAO,2017-04,9.089642497239758e-06
linear,F4-F2,PEKAO,2017-06,-0.00012314783595540613
linear,F4-F2,PEKAO,2017-09,-0.0002441711661414492
linear,F4-F2,PEKAO,2017-11,-0.0008601279245869509
linear,F4-F2,PKNORLEN,2017-04,-0.00011067288086008542
linear,F4-F2,PKNORLEN,2017-06,0.0015859552827175438
linear,F4-F2,PKNORLEN,2017-09,0.0016020016771888246
linear,F4-F2,PKNORLEN,2017-11,0.0006402617515443021
linear,F4-F2,PKOBP,2017-04,0.00023398552467499
linear,F4-F2,PKOBP,2017-06,-0.00010923697857634362
linear,F4-F2,PKOBP,2017-09,0.0006150238879011893
linear,F4-F2,PKOBP,2017-11,0.0005244890674011293
linear,F4-F2,PZU,2017-04,-0.0005867818076867315
linear,F4-F2,PZU,2017-06,0.0005116096319439101
linear,F4-F2,PZU,2017-09,0.0003137004852634684
linear,F4-F2,PZU,2017-11,0.002039271760542971
linear,F5-F3,KGHM,2017-04,0.0015970638312583496
linear,F5-F3,KGHM,2017-06,0.0009131291148699039
linear,F5-F3,KGHM,2017-09,0.0034471809896250982
linear,F5-F3,KGHM,2017-11,0.004148653292841753
linear,F5-F3,PEKAO,2017-04,2.1573784527828543e-05
linear,F5-F3,PEKAO,2017-06,-0.0001238526042846022
