model,contrast,expected,defined,mean,median,positive,available_case_mean
linear,F2-F1,20,20,0.0019758481836933267,0.0022143857716068194,19,0.0019758481836933267
linear,F3-F2,20,20,0.0009629698071559583,0.0007920068262147473,17,0.0009629698071559583
linear,F4-F2,20,20,0.0008390320276009777,0.0005180493496725197,14,0.0008390320276009777
linear,F5-F3,20,20,0.0007794237325933678,0.0005133997528295187,14,0.0007794237325933678
linear,F5-F4,20,20,0.0009033615121483485,0.0007745355358125261,17,0.0009033615121483485
xgboost,F2-F1,20,20,0.0016308023107228383,0.0014829448632289743,15,0.0016308023107228383
xgboost,F3-F2,20,20,0.00967377738821918,0.009482762221914742,20,0.00967377738821918
xgboost,F4-F2,20,20,0.0009290815191226584,0.0007277469006972681,14,0.0009290815191226584
xgboost,F5-F3,20,20,0.00048719666833867137,0.00041574121599502467,13,0.00048719666833867137
xgboost,F5-F4,20,20,0.009231892537435194,0.009280166469070789,20,0.009231892537435194
xgboost-linear,F1,20,20,-0.0016272221861742722,-0.0014918473287613837,3,-0.0016272221861742722
xgboost-linear,F2,20,20,-0.0019722680591447604,-0.0012401560353289265,3,-0.0019722680591447604
xgboost-linear,F3,20,20,0.0067385395219184616,0.007004878953214638,19,0.0067385395219184616
xgboost-linear,F4,20,20,-0.0018822185676230798,-0.0015708802668685379,5,-0.0018822185676230798
xgboost-linear,F5,20,20,0.0064463124576637654,0.007171459049597706,18,0.0064463124576637654
