scope,shuffle,metric,level,expected,defined,mean,median,positive,available_case_mean,min_seed_mean,max_seed_mean,seed
later,S0,ic,five_seed_distribution,5,5,0.051833751494080135,0.05056047037085541,5,0.051833751494080135,0.041452255477643654,0.0685254953328169,
later,S1,ic,five_seed_distribution,5,5,-0.006970987471762445,-0.0064722888728071,1,-0.006970987471762445,-0.0261549581052355,0.02652623734807032,
own_june,S0,ic,five_seed_distribution,5,5,0.0288148596552887,0.0296494557160161,5,0.0288148596552887,0.017680663515104063,0.040385850849844654,
own_june,S1,ic,five_seed_distribution,5,5,0.0009298305613672237,-0.0020899321856756403,2,0.0009298305613672237,-0.013995635612416537,0.016588730710241518,
transfer_june,S0,ic,five_seed_distribution,5,5,0.05553170933064526,0.05406090922388599,5,0.05553170933064526,0.04015272333769587,0.06651818242729371,
transfer_june,S1,ic,five_seed_distribution,5,5,-0.005673670957582574,-0.0053403728905448795,2,-0.005673670957582574,-0.025653443483708644,0.01438968805839056,
later,S0,ic,five_stock_mean,5,5,0.041452255477643654,0.0152282860931242,3,0.041452255477643654,,,7.0
later,S0,ic,five_stock_mean,5,5,0.05056047037085541,0.0157078565692508,5,0.05056047037085541,,,17.0
later,S0,ic,five_stock_mean,5,5,0.0527388552863848,0.0406785627458889,5,0.0527388552863848,,,29.0
later,S0,ic,five_stock_mean,5,5,0.0685254953328169,0.0668686334774533,5,0.0685254953328169,,,43.0
later,S0,ic,five_stock_mean,5,5,0.04589168100269993,0.03212025373321,3,0.04589168100269993,,,71.0
later,S1,ic,five_stock_mean,5,5,-0.024377851274144664,-0.0226272438780247,1,-0.024377851274144664,,,7.0
later,S1,ic,five_stock_mean,5,5,-0.0064722888728071,-0.0134171574975918,2,-0.0064722888728071,,,17.0
later,S1,ic,five_stock_mean,5,5,0.02652623734807032,0.0205045188430607,4,0.02652623734807032,,,29.0
later,S1,ic,five_stock_mean,5,5,-0.0261549581052355,-0.0290773643284577,1,-0.0261549581052355,,,43.0
later,S1,ic,five_stock_mean,5,5,-0.004376076454695282,0.0029854498811253,3,-0.004376076454695282,,,71.0
own_june,S0,ic,five_stock_mean,5,5,0.034215550495275276,0.0184227492296484,5,0.034215550495275276,,,7.0
own_june,S0,ic,five_stock_mean,5,5,0.02214277770020342,0.006039411552788,4,0.02214277770020342,,,17.0
own_june,S0,ic,five_stock_mean,5,5,0.040385850849844654,0.0214699982574231,5,0.040385850849844654,,,29.0
own_june,S0,ic,five_stock_mean,5,5,0.017680663515104063,0.0125218222378221,3,0.017680663515104063,,,43.0
own_june,S0,ic,five_stock_mean,5,5,0.0296494557160161,0.0199933701764431,4,0.0296494557160161,,,71.0
own_june,S1,ic,five_stock_mean,5,5,0.016588730710241518,0.0153628037142289,4,0.016588730710241518,,,7.0
own_june,S1,ic,five_stock_mean,5,5,0.00914308779967602,-0.003928855642714,2,0.00914308779967602,,,17.0
own_june,S1,ic,five_stock_mean,5,5,-0.00499709790498924,-0.0100629215945894,1,-0.00499709790498924,,,29.0
own_june,S1,ic,five_stock_mean,5,5,-0.0020899321856756403,-0.0002386381588823,2,-0.0020899321856756403,,,43.0
own_june,S1,ic,five_stock_mean,5,5,-0.013995635612416537,-0.0055609509906857,2,-0.013995635612416537,,,71.0
transfer_june,S0,ic,five_stock_mean,5,5,0.06651818242729371,0.0636222191828004,5,0.06651818242729371,,,7.0
transfer_june,S0,ic,five_stock_mean,5,5,0.05406090922388599,0.0538104023757862,5,0.05406090922388599,,,17.0
transfer_june,S0,ic,five_stock_mean,5,5,0.06594859507371255,0.0532739507368494,5,0.06594859507371255,,,29.0
transfer_june,S0,ic,five_stock_mean,5,5,0.05097813659063823,0.0450451235747338,5,0.05097813659063823,,,43.0
transfer_june,S0,ic,five_stock_mean,5,5,0.04015272333769587,0.0346047994607981,5,0.04015272333769587,,,71.0
transfer_june,S1,ic,five_stock_mean,5,5,0.01438968805839056,0.0199911021164375,3,0.01438968805839056,,,7.0
transfer_june,S1,ic,five_stock_mean,5,5,0.00226532846900976,0.0050790153344398,4,0.00226532846900976,,,17.0
transfer_june,S1,ic,five_stock_mean,5,5,-0.014029554941059664,-0.0282632872572998,1,-0.014029554941059664,,,29.0
transfer_june,S1,ic,five_stock_mean,5,5,-0.0053403728905448795,0.000681757337685,3,-0.0053403728905448795,,,43.0
transfer_june,S1,ic,five_stock_mean,5,5,-0.025653443483708644,-0.0246029469505564,0,-0.025653443483708644,,,71.0
later,S0,daily_ic,five_seed_distribution,5,5,0.05292879132724214,0.0509781063059772,5,0.05292879132724214,0.04485833684870516,0.06869024136148996,
later,S1,daily_ic,five_seed_distribution,5,5,-0.0066610499379649276,-0.00791051914412426,1,-0.0066610499379649276,-0.025811243436196042,0.0260732547894602,
own_june,S0,daily_ic,five_seed_distribution,5,5,0.03300718468144172,0.03401610648011746,5,0.03300718468144172,0.02130151236090076,0.04507567694199578,
