kind,scope,symbol,period,model,feature_group,shuffle,seed,horizon,task_id,day,ic,label_mean_bps,label_std_bps,prediction_mean_bps,prediction_std_bps,rows,undefined_reason
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-01,0.036892945225839927,0.07221483577231858,2.29348548956091,0.011074036792812504,0.013242071074543208,53075,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-02,0.04227861625246566,-0.025684081380345773,2.832349903415471,0.011057502500969544,0.018792102119064055,49572,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-05,0.018977582855395553,0.01746653362370025,2.8599271107421944,0.004429332692046836,0.02011515667173314,26585,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-06,-0.0025517133426952716,0.03127881084963313,2.3530092934650173,0.011637212197992335,0.014399970279757429,43881,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-07,0.021480325146636513,-0.087271856884553,2.6282164400120367,0.009850048521069316,0.01872425829312009,68050,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-08,-0.008769209442575572,0.06319655650425338,3.074537869438802,0.01124915559436875,0.019720713207459915,63847,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-09,-0.07684030278862376,0.04036290642851197,1.9757423295465182,0.008981013198278272,0.017303241214933894,60702,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-12,0.018937375011350926,-0.05527832011297197,2.526530534965198,0.0035368334447641032,0.018862884065781283,60135,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-13,-0.0029223557533759794,-0.015723815533022035,2.26840635668321,0.0067834200680483795,0.017774536044403728,45890,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-14,0.023798480876545194,-0.10782694244398598,2.44500406372123,0.005863092613063644,0.01597481482786622,31816,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-16,-0.013596594549744982,-0.032238945709710906,2.6831895242979416,0.00837144088971838,0.016711916433478583,42657,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-19,-0.0036937911744947013,0.0455778066981811,3.0237268266265254,0.00551644079045462,0.026466502820030397,34135,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-20,-0.01601023258936243,-0.11053405616129756,2.4257939799004298,0.0031770185386350625,0.014884288670794197,51239,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-21,0.0012976610378252784,0.08582567474823131,2.8211897270652067,0.008193963268836396,0.018726948173068463,59674,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-22,0.03453969569112815,0.018697862797764277,2.718488841614288,0.008700556039253135,0.02087131775741488,46773,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-23,0.006312482052662892,-0.013035159289965759,3.072897955446486,0.0094604982440201,0.01677029249891851,51145,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-26,-0.00866041286124188,0.03973103325209264,2.573178112604248,0.0034533265780213743,0.018757231290997278,27143,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-27,0.02101276618712532,0.06321095988411886,2.786712750695554,0.0038298052408284092,0.01903585424942391,64869,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-28,0.02960034403632474,0.0037172777637741222,2.4065567539833337,0.005784181641379944,0.01717680749645048,68423,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-29,0.05889368640654972,-0.04806426521483826,2.7108354442240037,0.0027635667700625774,0.01543410966030927,32483,
control,own_june,KGHM,2017-06,xgboost,F5,S0,7,20,dd16b2d3b694327076f566ed1586994caf018f74b5915f46792891bd37f4296d,2017-06-30,0.047786030905164534,-0.11779218937782429,2.19333656996062,-0.0002517086203208593,0.015985715712543893,32471,
control,own_june,KGHM,2017-06,xgboost,F5,S0,17,20,c8255fb06865a5747762bc85097f5ddc444c46ab22334173d7c4be9a82b6615c,2017-06-01,0.006241074680400182,0.07221483577231858,2.29348548956091,0.013277457386342562,0.015667623799288433,53075,
control,own_june,KGHM,2017-06,xgboost,F5,S0,17,20,c8255fb06865a5747762bc85097f5ddc444c46ab22334173d7c4be9a82b6615c,2017-06-02,0.029586583645940374,-0.025684081380345773,2.832349903415471,0.011771995268968603,0.02140822485895494,49572,
control,own_june,KGHM,2017-06,xgboost,F5,S0,17,20,c8255fb06865a5747762bc85097f5ddc444c46ab22334173d7c4be9a82b6615c,2017-06-05,0.012931358847461024,0.01746653362370025,2.8599271107421944,0.005615483481271968,0.022814912428857043,26585,
control,own_june,KGHM,2017-06,xgboost,F5,S0,17,20,c8255fb06865a5747762bc85097f5ddc444c46ab22334173d7c4be9a82b6615c,2017-06-06,0.020964855080003574,0.03127881084963313,2.3530092934650173,0.013998590022622564,0.018078685232576556,43881,
control,own_june,KGHM,2017-06,xgboost,F5,S0,17,20,c8255fb06865a5747762bc85097f5ddc444c46ab22334173d7c4be9a82b6615c,2017-06-07,0.004454338086192165,-0.087271856884553,2.6282164400120367,0.008990790387172482,0.02181807235480915,68050,
control,own_june,KGHM,2017-06,xgboost,F5,S0,17,20,c8255fb06865a5747762bc85097f5ddc444c46ab22334173d7c4be9a82b6615c,2017-06-08,-0.0473020976154397,0.06319655650425338,3.074537869438802,0.011659222105727377,0.023288112061346126,63847,
control,own_june,KGHM,2017-06,xgboost,F5,S0,17,20,c8255fb06865a5747762bc85097f5ddc444c46ab22334173d7c4be9a82b6615c,2017-06-09,0.022528348243973807,0.04036290642851197,1.9757423295465182,0.006722533790961371,0.02082337554452472,60702,
control,own_june,KGHM,2017-06,xgboost,F5,S0,17,20,c8255fb06865a5747762bc85097f5ddc444c46ab22334173d7c4be9a82b6615c,2017-06-12,0.004138046938227157,-0.05527832011297197,2.526530534965198,0.002329459122901003,0.021146446521788306,60135,
control,own_june,KGHM,2017-06,xgboost,F5,S0,17,20,c8255fb06865a5747762bc85097f5ddc444c46ab22334173d7c4be9a82b6615c,2017-06-13,0.0001448627959002704,-0.015723815533022035,2.26840635668321,0.006205686463494041,0.019694971012355282,45890,
control,own_june,KGHM,2017-06,xgboost,F5,S0,17,20,c8255fb06865a5747762bc85097f5ddc444c46ab22334173d7c4be9a82b6615c,2017-06-14,0.05947180544777696,-0.10782694244398598,2.44500406372123,0.00692480118100198,0.018995780646656784,31816,
control,own_june,KGHM,2017-06,xgboost,F5,S0,17,20,c8255fb06865a5747762bc85097f5ddc444c46ab22334173d7c4be9a82b6615c,2017-06-16,-0.004889494047315305,-0.032238945709710906,2.6831895242979416,0.008263804383929738,0.02200763066776958,42657,
control,own_june,KGHM,2017-06,xgboost,F5,S0,17,20,c8255fb06865a5747762bc85097f5ddc444c46ab22334173d7c4be9a82b6615c,2017-06-19,0.022666918410990198,0.0455778066981811,3.0237268266265254,0.007032382877160099,0.03267990638139105,34135,
