scope,symbol,shuffle,metric,expected,defined,mean,median,positive,available_case_mean,min,max,std
later,KGHM,S0,ic,5,5,0.024321014604033495,0.0157078565692508,4,0.024321014604033495,-0.0168782658655497,0.0668686334774533,0.028043231508966763
later,KGHM,S0,daily_ic,5,5,0.02443880795876644,0.0191382397956619,4,0.02443880795876644,-0.0204752945865928,0.0701100252831683,0.03016065324719909
later,KGHM,S1,ic,5,5,-0.02659559001959656,-0.0196869472060174,1,-0.02659559001959656,-0.0812073510262823,0.0298025396295917,0.03625105954752456
later,KGHM,S1,daily_ic,5,5,-0.02418061756217006,-0.0244802900874286,1,-0.02418061756217006,-0.0775481635414719,0.0339821629725587,0.03575016495227845
later,PEKAO,S0,ic,5,5,0.004701161418398919,0.0152271166551341,3,0.004701161418398919,-0.0318302853340838,0.0263870013971514,0.020375826086054077
later,PEKAO,S0,daily_ic,5,5,0.004571490400281221,0.0112095541121054,4,0.004571490400281221,-0.0337418046206591,0.025356776893709,0.020936808911690457
later,PEKAO,S1,ic,5,5,0.003383157225229483,0.0029854498811253,3,0.003383157225229483,-0.0576818275934531,0.0848370173901852,0.046905081599629715
later,PEKAO,S1,daily_ic,5,5,0.0018488751923190008,0.0069096828430306,3,0.0018488751923190008,-0.0583221456132691,0.0864131878263253,0.049045834271863695
later,PKNORLEN,S0,ic,5,5,0.15262375438314285,0.1442140095991805,5,0.15262375438314285,0.1275953700295648,0.1812233537004156,0.019746435551723986
later,PKNORLEN,S0,daily_ic,5,5,0.15951111562789316,0.1486551896120608,5,0.15951111562789316,0.134041126038623,0.1899267113264348,0.020655693849407214
later,PKNORLEN,S1,ic,5,5,0.00551626772037708,0.0150839596979296,3,0.00551626772037708,-0.013104246491387,0.021905176319837,0.01524016452352791
later,PKNORLEN,S1,daily_ic,5,5,0.00671830635237816,0.0134669386975612,3,0.00671830635237816,-0.0136017318984908,0.0290432427202452,0.016029346596138843
later,PKOBP,S0,ic,5,5,0.029357043034003476,0.0291076287506537,4,0.029357043034003476,-0.004762010882316,0.0636841569121536,0.024191259383178693
later,PKOBP,S0,daily_ic,5,5,0.02791139384609756,0.0246762489739627,4,0.02791139384609756,-0.0019449914916311,0.0595501961374729,0.02124541290636784
later,PKOBP,S1,ic,5,5,-0.00574796116318972,0.000228072428293,3,-0.00574796116318972,-0.051023913611866,0.0423960081966911,0.03556522400770123
later,PKOBP,S1,daily_ic,5,5,-0.00863790357225862,-0.0013678988182642,2,-0.00863790357225862,-0.0526641644424427,0.039902198701367,0.034965343642389186
later,PZU,S0,ic,5,5,0.04816578403082194,0.0474019338110783,5,0.04816578403082194,0.0139692121185581,0.0906003074176963,0.025696716565142785
later,PZU,S0,daily_ic,5,5,0.048211148803172336,0.0509135292337193,5,0.048211148803172336,0.0145124200766979,0.0895517698563801,0.025181660158706664
later,PZU,S1,ic,5,5,-0.011410811121632499,-0.0189820470704648,1,-0.011410811121632499,-0.0290773643284577,0.0270497571663765,0.01989210807631043
later,PZU,S1,daily_ic,5,5,-0.009053910100093121,-0.0189944129244852,1,-0.009053910100093121,-0.0227574750094532,0.0262804544949192,0.018183200853158638
own_june,KGHM,S0,ic,5,5,0.00711742262605646,0.0089245426270126,4,0.00711742262605646,-0.0047979968970009,0.0128993336096605,0.006465957667173135
own_june,KGHM,S0,daily_ic,5,5,0.008788507075432621,0.0108934942468047,4,0.008788507075432621,-0.0059814030377756,0.0155609142510984,0.007624209217354462
own_june,KGHM,S1,ic,5,5,0.00290198804447004,0.013180645030109,3,0.00290198804447004,-0.0536170057663737,0.0463908353177752,0.03851281932073922
own_june,KGHM,S1,daily_ic,5,5,0.002693729264878661,0.0138476238113497,3,0.002693729264878661,-0.0546531753008931,0.0450399444641476,0.03810103188839276
own_june,PEKAO,S0,ic,5,5,0.01682732536212142,0.01089842084686,3,0.01682732536212142,-0.0068144400991146,0.0527813544627523,0.02266811687501361
own_june,PEKAO,S0,daily_ic,5,5,0.01945642857539358,0.0109300552765303,3,0.01945642857539358,-0.0073380380921245,0.0607096235722129,0.02628022158102723
own_june,PEKAO,S1,ic,5,5,-0.011055635441713941,-0.0205101324918865,2,-0.011055635441713941,-0.0532231482382909,0.038058551944785,0.03223091591340302
own_june,PEKAO,S1,daily_ic,5,5,-0.010895440392554,-0.0213874296099173,2,-0.010895440392554,-0.0593214399925616,0.0428906222419002,0.0363686839614726
own_june,PKNORLEN,S0,ic,5,5,0.08781644726448237,0.0885458963778839,5,0.08781644726448237,0.071749146088187,0.1047850894688272,0.010978208265417825
own_june,PKNORLEN,S0,daily_ic,5,5,0.09984033669021082,0.1028122806381328,5,0.09984033669021082,0.0846073362933755,0.1123293831459714,0.009269789517635773
own_june,PKNORLEN,S1,ic,5,5,0.027149087671178757,0.0278956935257649,4,0.027149087671178757,-0.0003287956872989,0.0534244370634122,0.017383598257090266
own_june,PKNORLEN,S1,daily_ic,5,5,0.02865818967973972,0.0261684213666317,5,0.02865818967973972,0.0109365161458441,0.0522778449161952,0.013897321462039994
own_june,PKOBP,S0,ic,5,5,0.0147510043758264,0.0099934784505602,4,0.0147510043758264,-0.0018874578130324,0.0406036333729146,0.014760650614633171
own_june,PKOBP,S0,daily_ic,5,5,0.01850052473792878,0.0166696186593434,4,0.01850052473792878,-0.0010299164294635,0.0463470533887887,0.016053509852518626
own_june,PKOBP,S1,ic,5,5,-0.01747821181220792,-0.0234262141249416,0,-0.01747821181220792,-0.0245639392515042,-0.0055609509906857,0.007970178791449725
own_june,PKOBP,S1,daily_ic,5,5,-0.01716119722362614,-0.0225851738785277,0,-0.01716119722362614,-0.0248314915939535,-0.0045014580938004,0.008348725403848255
own_june,PZU,S0,ic,5,5,0.01756209864795686,0.0184227492296484,5,0.01756209864795686,0.0128342471616582,0.0214699982574231,0.003021099411784394
own_june,PZU,S0,daily_ic,5,5,0.01845012632824276,0.0188545884596464,5,0.01845012632824276,0.0125951598869951,0.0223801237642395,0.003204317787231751
own_june,PZU,S1,ic,5,5,0.00313192434510918,-0.0002386381588823,2,0.00313192434510918,-0.0100629215945894,0.0153628037142289,0.010146592962877381
own_june,PZU,S1,daily_ic,5,5,0.0035847039377861203,0.0006136929356491,3,0.0035847039377861203,-0.0091406181701714,0.01743855268259,0.010563435690225415
transfer_june,KGHM,S0,ic,5,5,0.08917402510117539,0.080913840257744,5,0.08917402510117539,0.064579540464239,0.1271052464453739,0.02238717735551729
transfer_june,KGHM,S0,daily_ic,5,5,0.09034816680413311,0.0838843215209529,5,0.09034816680413311,0.0624290948211497,0.1288239020930622,0.023339055157408993
transfer_june,KGHM,S1,ic,5,5,-0.0013868412594006576,0.0050790153344398,3,-0.0013868412594006576,-0.0511565247829003,0.0402573450333002,0.037372664840627366
transfer_june,KGHM,S1,daily_ic,5,5,-0.0007272009661897977,0.004597119197131,3,-0.0007272009661897977,-0.0486231345805458,0.0400405109560188,0.0370835194123258
transfer_june,PEKAO,S0,ic,5,5,0.05297548027788701,0.0588194076932308,5,0.05297548027788701,0.0086260811761372,0.0839335724229443,0.024516028786994166
transfer_june,PEKAO,S0,daily_ic,5,5,0.05960198001258034,0.0631554137845771,5,0.05960198001258034,0.012790729535424,0.0964897482439005,0.026795423573272806
transfer_june,PEKAO,S1,ic,5,5,-0.01384227564004124,-0.0078133517693364,2,-0.01384227564004124,-0.0449337874968959,0.0199911021164375,0.024088685243481706
transfer_june,PEKAO,S1,daily_ic,5,5,-0.013962655382435237,-0.0082224378934009,2,-0.013962655382435237,-0.0498717099699493,0.0245238458755179,0.027930650288918377
transfer_june,PKNORLEN,S0,ic,5,5,0.051884860629910344,0.0532739507368494,5,0.051884860629910344,0.0255068667882242,0.0752073038648797,0.01649728395047779
transfer_june,PKNORLEN,S0,daily_ic,5,5,0.05944523561437014,0.062682656035122,5,0.05944523561437014,0.0246667036197927,0.0850474182502196,0.020024942776739392
transfer_june,PKNORLEN,S1,ic,5,5,-0.0019280265076902212,-4.676749105670228e-05,2,-0.0019280265076902212,-0.0420997538462454,0.0309457221218696,0.029663864827589932
transfer_june,PKNORLEN,S1,daily_ic,5,5,-0.0009110367061449604,0.0007872653536695,3,-0.0009110367061449604,-0.0383787604616198,0.0338945612886005,0.030127520742586556
transfer_june,PKOBP,S0,ic,5,5,0.04512593757995882,0.0508817081786159,5,0.04512593757995882,0.0171906980805941,0.0636222191828004,0.015470976647777001
transfer_june,PKOBP,S0,daily_ic,5,5,0.04669300679257156,0.0512321160102741,5,0.04669300679257156,0.0192696931799229,0.0650072249087324,0.01526579447963396
transfer_june,PKOBP,S1,ic,5,5,-0.0064462000785111395,-0.0025946400695047,2,-0.0064462000785111395,-0.0294081276165609,0.0057784272677438,0.012213783808437817
transfer_june,PKOBP,S1,daily_ic,5,5,-0.00707995019094434,-0.0047624037906074,2,-0.00707995019094434,-0.0296059044212002,0.0064650737669942,0.012500878938816283
transfer_june,PZU,S0,ic,5,5,0.03849824306429482,0.0346047994607981,5,0.03849824306429482,0.0333948868078717,0.0518131308041001,0.00692626477730275
transfer_june,PZU,S0,daily_ic,5,5,0.03905420177510482,0.0353281258317179,5,0.03905420177510482,0.0330853024315946,0.0528894028750435,0.007304594646716161
transfer_june,PZU,S1,ic,5,5,-0.0047650113022696,-0.0039256125158274,2,-0.0047650113022696,-0.0246029469505564,0.0115276352460064,0.012528752917200894
transfer_june,PZU,S1,daily_ic,5,5,-0.00417185665894696,-0.0013272966376851,2,-0.00417185665894696,-0.0255718438440287,0.0104670891973978,0.012481635326549714
