scope,symbol,shuffle,metric,expected,defined,mean,median,positive,available_case_mean
later,KGHM,S0,ic,5,5,0.02432101460403351,0.015707856569250844,4,0.02432101460403351
later,KGHM,S0,daily_ic,5,5,0.02443880795876647,0.019138239795661958,4,0.02443880795876647
later,KGHM,S0,mean_day_prediction_label_ic,5,5,0.5,0.5,5,0.5
later,KGHM,S1,ic,5,5,-0.026595590019596597,-0.019686947206017477,1,-0.026595590019596597
later,KGHM,S1,daily_ic,5,5,-0.024180617562170097,-0.024480290087428608,1,-0.024180617562170097
later,KGHM,S1,mean_day_prediction_label_ic,5,5,-0.4,-0.5,1,-0.4
later,PEKAO,S0,ic,5,5,0.004701161418398958,0.015227116655134166,3,0.004701161418398958
later,PEKAO,S0,daily_ic,5,5,0.004571490400281248,0.011209554112105483,4,0.004571490400281248
later,PEKAO,S0,mean_day_prediction_label_ic,5,5,-0.1,-0.5,2,-0.1
later,PEKAO,S1,ic,5,5,0.0033831572252294682,0.0029854498811253023,3,0.0033831572252294682
later,PEKAO,S1,daily_ic,5,5,0.0018488751923190175,0.006909682843030666,3,0.0018488751923190175
later,PEKAO,S1,mean_day_prediction_label_ic,5,5,0.3,0.5,4,0.3
later,PKNORLEN,S0,ic,5,5,0.1526237543831429,0.14421400959918051,5,0.1526237543831429
later,PKNORLEN,S0,daily_ic,5,5,0.15951111562789322,0.1486551896120608,5,0.15951111562789322
later,PKNORLEN,S0,mean_day_prediction_label_ic,5,5,-0.5,-0.5,0,-0.5
later,PKNORLEN,S1,ic,5,5,0.005516267720377091,0.015083959697929694,3,0.005516267720377091
later,PKNORLEN,S1,daily_ic,5,5,0.006718306352378157,0.013466938697561229,3,0.006718306352378157
later,PKNORLEN,S1,mean_day_prediction_label_ic,5,5,0.6,1.0,4,0.6
later,PKOBP,S0,ic,5,5,0.0293570430340035,0.02910762875065371,4,0.0293570430340035
later,PKOBP,S0,daily_ic,5,5,0.027911393846097567,0.0246762489739627,4,0.027911393846097567
later,PKOBP,S0,mean_day_prediction_label_ic,5,5,0.8,1.0,5,0.8
later,PKOBP,S1,ic,5,5,-0.0057479611631897146,0.0002280724282930906,3,-0.0057479611631897146
later,PKOBP,S1,daily_ic,5,5,-0.008637903572258666,-0.0013678988182642866,2,-0.008637903572258666
later,PKOBP,S1,mean_day_prediction_label_ic,5,5,0.0,-0.5,2,0.0
later,PZU,S0,ic,5,5,0.04816578403082198,0.04740193381107833,5,0.04816578403082198
later,PZU,S0,daily_ic,5,5,0.04821114880317241,0.05091352923371937,5,0.04821114880317241
later,PZU,S0,mean_day_prediction_label_ic,5,5,1.0,1.0,5,1.0
later,PZU,S1,ic,5,5,-0.011410811121632522,-0.018982047070464844,1,-0.011410811121632522
later,PZU,S1,daily_ic,5,5,-0.009053910100093163,-0.018994412924485237,1,-0.009053910100093163
later,PZU,S1,mean_day_prediction_label_ic,5,5,0.4,0.5,4,0.4
own_june,KGHM,S0,ic,5,5,0.007117422626056491,0.00892454262701265,4,0.007117422626056491
own_june,KGHM,S0,daily_ic,5,5,0.00878850707543265,0.010893494246804754,4,0.00878850707543265
own_june,KGHM,S0,mean_day_prediction_label_ic,5,5,0.31818181818181823,0.28181818181818186,5,0.31818181818181823
own_june,KGHM,S1,ic,5,5,0.00290198804447004,0.013180645030109083,3,0.00290198804447004
own_june,KGHM,S1,daily_ic,5,5,0.002693729264878664,0.013847623811349732,3,0.002693729264878664
own_june,KGHM,S1,mean_day_prediction_label_ic,5,5,-0.12337662337662336,-0.27792207792207796,2,-0.12337662337662336
own_june,PEKAO,S0,ic,5,5,0.01682732536212144,0.010898420846860057,3,0.01682732536212144
own_june,PEKAO,S0,daily_ic,5,5,0.01945642857539357,0.01093005527653035,3,0.01945642857539357
own_june,PEKAO,S0,mean_day_prediction_label_ic,5,5,0.29688311688311686,0.2896103896103896,5,0.29688311688311686
own_june,PEKAO,S1,ic,5,5,-0.011055635441713929,-0.020510132491886532,2,-0.011055635441713929
own_june,PEKAO,S1,daily_ic,5,5,-0.010895440392554023,-0.021387429609917376,2,-0.010895440392554023
own_june,PEKAO,S1,mean_day_prediction_label_ic,5,5,0.10337662337662339,0.0935064935064935,3,0.10337662337662339
own_june,PKNORLEN,S0,ic,5,5,0.08781644726448243,0.08854589637788395,5,0.08781644726448243
own_june,PKNORLEN,S0,daily_ic,5,5,0.09984033669021086,0.10281228063813282,5,0.09984033669021086
own_june,PKNORLEN,S0,mean_day_prediction_label_ic,5,5,-0.3228571428571429,-0.3337662337662338,0,-0.3228571428571429
own_june,PKNORLEN,S1,ic,5,5,0.027149087671178785,0.02789569352576492,4,0.027149087671178785
own_june,PKNORLEN,S1,daily_ic,5,5,0.028658189679739758,0.026168421366631726,5,0.028658189679739758
own_june,PKNORLEN,S1,mean_day_prediction_label_ic,5,5,0.07870129870129872,0.18051948051948052,4,0.07870129870129872
own_june,PKOBP,S0,ic,5,5,0.014751004375826413,0.009993478450560237,4,0.014751004375826413
own_june,PKOBP,S0,daily_ic,5,5,0.018500524737928837,0.016669618659343497,4,0.018500524737928837
own_june,PKOBP,S0,mean_day_prediction_label_ic,5,5,0.05688311688311688,0.06493506493506493,4,0.05688311688311688
own_june,PKOBP,S1,ic,5,5,-0.01747821181220796,-0.023426214124941634,0,-0.01747821181220796
own_june,PKOBP,S1,daily_ic,5,5,-0.017161197223626183,-0.022585173878527723,0,-0.017161197223626183
own_june,PKOBP,S1,mean_day_prediction_label_ic,5,5,-0.0987012987012987,-0.13636363636363635,1,-0.0987012987012987
own_june,PZU,S0,ic,5,5,0.017562098647956912,0.018422749229648445,5,0.017562098647956912
own_june,PZU,S0,daily_ic,5,5,0.018450126328242805,0.018854588459646444,5,0.018450126328242805
own_june,PZU,S0,mean_day_prediction_label_ic,5,5,0.05506493506493506,0.07532467532467534,4,0.05506493506493506
own_june,PZU,S1,ic,5,5,0.0031319243451091707,-0.00023863815888230158,2,0.0031319243451091707
own_june,PZU,S1,daily_ic,5,5,0.0035847039377861377,0.0006136929356491479,3,0.0035847039377861377
own_june,PZU,S1,mean_day_prediction_label_ic,5,5,0.037402597402597396,0.14935064935064934,3,0.037402597402597396
transfer_june,KGHM,S0,ic,5,5,0.08917402510117547,0.08091384025774409,5,0.08917402510117547
transfer_june,KGHM,S0,daily_ic,5,5,0.09034816680413317,0.08388432152095299,5,0.09034816680413317
transfer_june,KGHM,S0,mean_day_prediction_label_ic,5,5,0.1225974025974026,0.06493506493506493,5,0.1225974025974026
transfer_june,KGHM,S1,ic,5,5,-0.0013868412594006548,0.005079015334439818,3,-0.0013868412594006548
transfer_june,KGHM,S1,daily_ic,5,5,-0.000727200966189795,0.004597119197131092,3,-0.000727200966189795
transfer_june,KGHM,S1,mean_day_prediction_label_ic,5,5,-0.09818181818181818,-0.04025974025974026,1,-0.09818181818181818
transfer_june,PEKAO,S0,ic,5,5,0.052975480277887045,0.05881940769323087,5,0.052975480277887045
transfer_june,PEKAO,S0,daily_ic,5,5,0.05960198001258038,0.06315541378457717,5,0.05960198001258038
transfer_june,PEKAO,S0,mean_day_prediction_label_ic,5,5,0.41428571428571426,0.40649350649350646,5,0.41428571428571426
transfer_june,PEKAO,S1,ic,5,5,-0.013842275640041243,-0.00781335176933649,2,-0.013842275640041243
transfer_june,PEKAO,S1,daily_ic,5,5,-0.013962655382435251,-0.008222437893400965,2,-0.013962655382435251
transfer_june,PEKAO,S1,mean_day_prediction_label_ic,5,5,-0.02259740259740259,-0.04805194805194805,2,-0.02259740259740259
transfer_june,PKNORLEN,S0,ic,5,5,0.05188486062991038,0.053273950736849436,5,0.05188486062991038
transfer_june,PKNORLEN,S0,daily_ic,5,5,0.05944523561437019,0.06268265603512203,5,0.05944523561437019
transfer_june,PKNORLEN,S0,mean_day_prediction_label_ic,5,5,-0.21090909090909088,-0.20649350649350648,0,-0.21090909090909088
transfer_june,PKNORLEN,S1,ic,5,5,-0.0019280265076902225,-4.676749105670228e-05,2,-0.0019280265076902225
transfer_june,PKNORLEN,S1,daily_ic,5,5,-0.0009110367061449367,0.0007872653536695166,3,-0.0009110367061449367
transfer_june,PKNORLEN,S1,mean_day_prediction_label_ic,5,5,-0.22493506493506493,-0.2662337662337662,1,-0.22493506493506493
transfer_june,PKOBP,S0,ic,5,5,0.04512593757995887,0.050881708178615974,5,0.04512593757995887
transfer_june,PKOBP,S0,daily_ic,5,5,0.04669300679257161,0.051232116010274165,5,0.04669300679257161
transfer_june,PKOBP,S0,mean_day_prediction_label_ic,5,5,0.28935064935064936,0.3181818181818181,5,0.28935064935064936
transfer_june,PKOBP,S1,ic,5,5,-0.006446200078511126,-0.0025946400695047297,2,-0.006446200078511126
transfer_june,PKOBP,S1,daily_ic,5,5,-0.007079950190944341,-0.0047624037906074815,2,-0.007079950190944341
transfer_june,PKOBP,S1,mean_day_prediction_label_ic,5,5,0.07402597402597402,0.17792207792207793,4,0.07402597402597402
