symbol,day,source_messages,field,storage_unit,priority_field_used,monotonic,zero_adjacent,adjacent_pairs,min_positive_delta_ns,positive_delta_gcd_ns,timezone,source_day_matches
KGHM,2017-04-03,73632,time,ns_since_epoch,False,True,1827,73631,1000,1000,Europe/Warsaw,True
KGHM,2017-04-04,105902,time,ns_since_epoch,False,True,2482,105901,1000,1000,Europe/Warsaw,True
KGHM,2017-04-05,120771,time,ns_since_epoch,False,True,3841,120770,1000,1000,Europe/Warsaw,True
KGHM,2017-04-06,95160,time,ns_since_epoch,False,True,3040,95159,1000,1000,Europe/Warsaw,True
KGHM,2017-04-07,92539,time,ns_since_epoch,False,True,2489,92538,1000,1000,Europe/Warsaw,True
KGHM,2017-04-10,81298,time,ns_since_epoch,False,True,3046,81297,1000,1000,Europe/Warsaw,True
KGHM,2017-04-11,105324,time,ns_since_epoch,False,True,3944,105323,1000,1000,Europe/Warsaw,True
KGHM,2017-04-12,95347,time,ns_since_epoch,False,True,3059,95346,1000,1000,Europe/Warsaw,True
KGHM,2017-04-13,94043,time,ns_since_epoch,False,True,2985,94042,1000,1000,Europe/Warsaw,True
KGHM,2017-04-18,99868,time,ns_since_epoch,False,True,2493,99867,1000,1000,Europe/Warsaw,True
KGHM,2017-04-19,112150,time,ns_since_epoch,False,True,2940,112149,1000,1000,Europe/Warsaw,True
KGHM,2017-04-20,120683,time,ns_since_epoch,False,True,3170,120682,1000,1000,Europe/Warsaw,True
KGHM,2017-04-21,84707,time,ns_since_epoch,False,True,2105,84706,1000,1000,Europe/Warsaw,True
KGHM,2017-04-24,52035,time,ns_since_epoch,False,True,1363,52034,1000,1000,Europe/Warsaw,True
KGHM,2017-04-25,83354,time,ns_since_epoch,False,True,2699,83353,1000,1000,Europe/Warsaw,True
KGHM,2017-04-26,105014,time,ns_since_epoch,False,True,2941,105013,1000,1000,Europe/Warsaw,True
KGHM,2017-04-27,97713,time,ns_since_epoch,False,True,2698,97712,1000,1000,Europe/Warsaw,True
KGHM,2017-04-28,70841,time,ns_since_epoch,False,True,2010,70840,1000,1000,Europe/Warsaw,True
KGHM,2017-06-01,83515,time,ns_since_epoch,False,True,2203,83514,1000,1000,Europe/Warsaw,True
KGHM,2017-06-02,73621,time,ns_since_epoch,False,True,2148,73620,1000,1000,Europe/Warsaw,True
KGHM,2017-06-05,45921,time,ns_since_epoch,False,True,1497,45920,1000,1000,Europe/Warsaw,True
KGHM,2017-06-06,73370,time,ns_since_epoch,False,True,2023,73369,1000,1000,Europe/Warsaw,True
KGHM,2017-06-07,97060,time,ns_since_epoch,False,True,3031,97059,1000,1000,Europe/Warsaw,True
KGHM,2017-06-08,90097,time,ns_since_epoch,False,True,3120,90096,1000,1000,Europe/Warsaw,True
