cohort,day,invalid,offset_events,p10,p50,p90,p99,period,rows,symbol,unit,valid,zero_count,zero_fraction
monthly,2017-04-03,1,1,2e-06,0.000917,0.45660269999999975,14.554981820000009,2017-04,37241,KGHM,seconds,37240,932,0.02502685284640172
monthly,2017-04-03,5,5,0.008373,0.09775700000000001,7.3453085,46.867348600000135,2017-04,37241,KGHM,seconds,37236,0,0.0
monthly,2017-04-03,10,10,0.034791,0.314741,17.634771,73.5660928999988,2017-04,37241,KGHM,seconds,37231,0,0.0
monthly,2017-04-03,20,20,0.117924,1.512191,37.8822,117.8688086,2017-04,37241,KGHM,seconds,37221,0,0.0
monthly,2017-04-03,50,50,0.515272,10.118087,82.943557,205.28219859999925,2017-04,37241,KGHM,seconds,37191,0,0.0
monthly,2017-04-04,1,1,2e-06,0.001006,0.182011,8.812500800000102,2017-04,64672,KGHM,seconds,64671,1517,0.023457191012973357
monthly,2017-04-04,5,5,0.00685,0.062442,3.7315936,28.922810579999968,2017-04,64672,KGHM,seconds,64667,0,0.0
monthly,2017-04-04,10,10,0.030778800000000002,0.17696050000000002,9.692732600000005,48.66638545999999,2017-04,64672,KGHM,seconds,64662,0,0.0
monthly,2017-04-04,20,20,0.09522520000000001,0.513074,20.2845869,78.99165380999987,2017-04,64672,KGHM,seconds,64652,0,0.0
monthly,2017-04-04,50,50,0.3472745,4.265751,50.03677160000001,138.12195487000002,2017-04,64672,KGHM,seconds,64622,0,0.0
monthly,2017-04-05,1,1,2e-06,0.00099,0.24870420000000001,6.081474659999998,2017-04,77421,KGHM,seconds,77420,2331,0.030108499095840867
monthly,2017-04-05,5,5,0.009153,0.0818205,2.779597,24.71724315,2017-04,77421,KGHM,seconds,77416,8,0.00010333781130515655
monthly,2017-04-05,10,10,0.035508,0.244056,6.325072,42.12233799999996,2017-04,77421,KGHM,seconds,77411,0,0.0
monthly,2017-04-05,20,20,0.10203,0.942111,13.783748,71.533148,2017-04,77421,KGHM,seconds,77401,0,0.0
monthly,2017-04-05,50,50,0.389053,4.329432,36.58345,141.5590401,2017-04,77421,KGHM,seconds,77371,0,0.0
monthly,2017-04-06,1,1,2e-06,0.001048,0.4447817999999999,8.637089460000041,2017-04,57676,KGHM,seconds,57675,1825,0.03164282618118769
monthly,2017-04-06,5,5,0.008015,0.084987,5.322091,26.852087500000017,2017-04,57676,KGHM,seconds,57671,5,8.669868738187304e-05
monthly,2017-04-06,10,10,0.031724,0.259417,11.355577499999999,44.110776599999994,2017-04,57676,KGHM,seconds,57666,0,0.0
monthly,2017-04-06,20,20,0.0968815,1.2888825,23.518498,75.22776819999999,2017-04,57676,KGHM,seconds,57656,0,0.0
monthly,2017-04-06,50,50,0.3518965,6.228937999999999,51.2920135,150.17789775,2017-04,57676,KGHM,seconds,57626,0,0.0
monthly,2017-04-07,1,1,2e-06,0.000918,0.3899382000000003,8.719239520000002,2017-04,58498,KGHM,seconds,58497,1549,0.026479990426859498
monthly,2017-04-07,5,5,0.008866,0.09262,5.089140800000002,27.42368872000005,2017-04,58498,KGHM,seconds,58493,0,0.0
monthly,2017-04-07,10,10,0.03407260000000001,0.28232650000000004,11.047547500000018,44.86750805999996,2017-04,58498,KGHM,seconds,58488,0,0.0
monthly,2017-04-07,20,20,0.10849000000000002,1.4404565,21.8098001,72.12876511999981,2017-04,58498,KGHM,seconds,58478,0,0.0
monthly,2017-04-07,50,50,0.4389152,7.845656,50.271418400000016,131.970362,2017-04,58498,KGHM,seconds,58448,0,0.0
monthly,2017-04-10,1,1,2e-06,0.000627,0.2585910000000005,10.588955799999994,2017-04,53188,KGHM,seconds,53187,1909,0.03589222930415327
monthly,2017-04-10,5,5,0.008325800000000003,0.067345,5.0294012,35.11856634,2017-04,53188,KGHM,seconds,53183,0,0.0
monthly,2017-04-10,10,10,0.0317008,0.193245,12.151068000000004,59.35355520999976,2017-04,53188,KGHM,seconds,53178,0,0.0
monthly,2017-04-10,20,20,0.09389130000000001,0.717494,24.214263500000012,99.78520028000004,2017-04,53188,KGHM,seconds,53168,0,0.0
monthly,2017-04-10,50,50,0.3252207,5.0848625,59.174403,175.90898727999962,2017-04,53188,KGHM,seconds,53138,0,0.0
monthly,2017-04-11,1,1,2e-06,0.000415,0.24712360000000017,11.010605280000002,2017-04,53858,KGHM,seconds,53857,1898,0.03524147278905249
monthly,2017-04-11,5,5,0.007633800000000003,0.063753,4.1764198,36.44306143999979,2017-04,53858,KGHM,seconds,53853,0,0.0
monthly,2017-04-11,10,10,0.030247100000000002,0.19838,10.735398800000002,62.936016269999996,2017-04,53858,KGHM,seconds,53848,0,0.0
monthly,2017-04-11,20,20,0.0869814,0.7590115,24.079501500000013,104.0270139799997,2017-04,53858,KGHM,seconds,53838,0,0.0
monthly,2017-04-11,50,50,0.33687039999999996,4.713663,58.81788690000002,187.72948045,2017-04,53858,KGHM,seconds,53808,0,0.0
monthly,2017-04-12,1,1,2e-06,0.0005575,0.18040860000000053,8.843502670000007,2017-04,63069,KGHM,seconds,63068,1970,0.031236126086129256
monthly,2017-04-12,5,5,0.0071469,0.0498455,3.8403115000000003,30.455658500000048,2017-04,63069,KGHM,seconds,63064,0,0.0
monthly,2017-04-12,10,10,0.02803,0.141483,9.620891,53.213733239999996,2017-04,63069,KGHM,seconds,63059,0,0.0
monthly,2017-04-12,20,20,0.0775138,0.44577,20.565818,87.31741687999958,2017-04,63069,KGHM,seconds,63049,0,0.0
monthly,2017-04-12,50,50,0.256623,3.490064,50.09839140000006,161.85817409999999,2017-04,63069,KGHM,seconds,63019,0,0.0
monthly,2017-04-13,1,1,2e-06,0.0005085000000000001,0.15252889999999994,8.351604759999963,2017-04,66701,KGHM,seconds,66700,2137,0.03203898050974513
monthly,2017-04-13,5,5,0.0069984999999999995,0.060096,3.3698635,29.089154300000022,2017-04,66701,KGHM,seconds,66696,0,0.0
monthly,2017-04-13,10,10,0.030219,0.172108,8.750449,49.37170140000009,2017-04,66701,KGHM,seconds,66691,0,0.0
monthly,2017-04-13,20,20,0.090865,0.568716,18.043106,83.95509440000001,2017-04,66701,KGHM,seconds,66681,0,0.0
monthly,2017-04-13,50,50,0.313925,3.980571,41.708111,165.4949065,2017-04,66701,KGHM,seconds,66651,0,0.0
