model,horizon,latency,metric,expected,defined,mean,median,positive,available_case_mean,cohort,mode
linear,10,0,gross_midpoint_bps,20,20,0.7557185047747245,0.7567015920967073,17,0.7557185047747245,monthly,moving_exit
linear,10,1,gross_midpoint_bps,20,20,0.5206493658674906,0.5213747165473253,18,0.5206493658674906,monthly,moving_exit
linear,10,5,gross_midpoint_bps,20,20,0.018873753496007117,0.0336109502844652,10,0.018873753496007117,monthly,moving_exit
linear,20,0,gross_midpoint_bps,20,20,1.052505278464756,1.10238111715613,20,1.052505278464756,monthly,moving_exit
linear,20,1,gross_midpoint_bps,20,20,0.7868505983535445,0.879284391221228,20,0.7868505983535445,monthly,moving_exit
linear,20,5,gross_midpoint_bps,20,20,0.7273653589876921,0.7239208160554784,19,0.7273653589876921,monthly,moving_exit
linear,50,0,gross_midpoint_bps,20,20,1.34336290583963,1.3012720049575441,20,1.34336290583963,monthly,moving_exit
linear,50,1,gross_midpoint_bps,20,20,1.2296186335083923,1.2017048560135515,20,1.2296186335083923,monthly,moving_exit
linear,50,5,gross_midpoint_bps,20,20,0.978062173445591,0.9704071951268565,20,0.978062173445591,monthly,moving_exit
xgboost,10,0,gross_midpoint_bps,20,20,1.3151615455548984,1.2991345470641953,20,1.3151615455548984,monthly,moving_exit
xgboost,10,1,gross_midpoint_bps,20,20,0.8577560118105453,0.8432975668365614,20,0.8577560118105453,monthly,moving_exit
xgboost,10,5,gross_midpoint_bps,20,20,0.4825344790903632,0.46972480300196173,20,0.4825344790903632,monthly,moving_exit
xgboost,20,0,gross_midpoint_bps,20,20,1.3212104788929484,1.2893985093543385,20,1.3212104788929484,monthly,moving_exit
xgboost,20,1,gross_midpoint_bps,20,20,1.0888232544930538,1.0749135182556397,20,1.0888232544930538,monthly,moving_exit
xgboost,20,5,gross_midpoint_bps,20,20,0.7523224383120012,0.7674715768184968,20,0.7523224383120012,monthly,moving_exit
xgboost,50,0,gross_midpoint_bps,20,20,1.3788203868478508,1.349608913213216,20,1.3788203868478508,monthly,moving_exit
xgboost,50,1,gross_midpoint_bps,20,20,1.2675406249124612,1.23932012574213,20,1.2675406249124612,monthly,moving_exit
xgboost,50,5,gross_midpoint_bps,20,20,1.0018778210296837,0.9838240035474495,20,1.0018778210296837,monthly,moving_exit
linear,10,0,entry_half_spread_bps,20,20,4.026393284836014,4.002089751705563,20,4.026393284836014,monthly,moving_exit
linear,10,1,entry_half_spread_bps,20,20,4.560763240068691,4.701302117295844,20,4.560763240068691,monthly,moving_exit
linear,10,5,entry_half_spread_bps,20,20,4.564707368205912,4.490574920439199,20,4.564707368205912,monthly,moving_exit
linear,20,0,entry_half_spread_bps,20,20,2.5248386847447764,2.4690106815869006,20,2.5248386847447764,monthly,moving_exit
linear,20,1,entry_half_spread_bps,20,20,2.9170959102004455,2.8240378088715894,20,2.9170959102004455,monthly,moving_exit
linear,20,5,entry_half_spread_bps,20,20,3.204575100853173,3.0518679040541823,20,3.204575100853173,monthly,moving_exit
linear,50,0,entry_half_spread_bps,20,20,3.653550217419967,3.7481114670821083,20,3.653550217419967,monthly,moving_exit
linear,50,1,entry_half_spread_bps,20,20,3.738618263303296,3.821638130394774,20,3.738618263303296,monthly,moving_exit
linear,50,5,entry_half_spread_bps,20,20,3.8394607105130576,3.9134614195209343,20,3.8394607105130576,monthly,moving_exit
xgboost,10,0,entry_half_spread_bps,20,20,2.8009809861487236,2.8208467105197332,20,2.8009809861487236,monthly,moving_exit
xgboost,10,1,entry_half_spread_bps,20,20,3.2399488390790943,3.233209300124244,20,3.2399488390790943,monthly,moving_exit
