day,max_abs_error_bps,mean_abs_error_bps,rows,symbol,valid_rows
2017-01-02,2.9362900999529984e-12,7.651081869398055e-13,75922,KGHM,75921
2017-01-03,3.1362135111123735e-12,7.411801813186196e-13,130518,KGHM,130517
2017-01-04,3.020694805400126e-12,7.338626792719274e-13,140620,KGHM,140619
2017-01-05,2.9743429941220256e-12,7.348106225380899e-13,95031,KGHM,95030
2017-01-09,2.995048653531285e-12,7.311095891225614e-13,72671,KGHM,72670
2017-01-10,3.055333763768431e-12,6.997665155628583e-13,161800,KGHM,161799
2017-01-11,2.956523914576792e-12,7.275240428077054e-13,80447,KGHM,80446
2017-01-12,2.8674840280018543e-12,7.041138296793831e-13,114623,KGHM,114622
2017-01-13,2.848360436402686e-12,6.969961511454234e-13,69872,KGHM,69871
2017-01-16,2.8953506259199457e-12,6.956521452398327e-13,78573,KGHM,78572
2017-01-17,2.7793600754222325e-12,6.979760210104131e-13,69274,KGHM,69273
2017-01-18,2.8190783041281975e-12,6.641142091279313e-13,119697,KGHM,119696
2017-01-19,2.751576744230988e-12,6.681983610863779e-13,106227,KGHM,106226
2017-01-20,2.7395863355650363e-12,6.852917890671e-13,42898,KGHM,42897
2017-01-23,2.6596780333676406e-12,6.680290322571737e-13,41086,KGHM,41085
2017-01-24,2.8234081739242356e-12,6.771878286726834e-13,83529,KGHM,83528
2017-01-25,2.763012041384627e-12,6.641498461795838e-13,83415,KGHM,83414
2017-01-26,2.6827429167042283e-12,6.406657310601284e-13,93048,KGHM,93047
2017-01-27,2.7984281558701696e-12,6.069180516834713e-13,102004,KGHM,102003
2017-01-30,2.7633537819093945e-12,6.334888881066156e-13,74451,KGHM,74450
2017-01-31,2.7336466423832917e-12,6.293533146053299e-13,70014,KGHM,70013
2017-02-01,2.596145520783466e-12,6.181438072315147e-13,60130,KGHM,60129
2017-02-02,2.6585400547674e-12,6.394900993426984e-13,68638,KGHM,68637
2017-02-03,2.6765256677663274e-12,6.478473289322626e-13,63735,KGHM,63734
2017-02-06,2.781053165534786e-12,5.964818759512312e-13,52904,KGHM,52903
2017-02-07,2.5921487178948155e-12,6.468515867567323e-13,46907,KGHM,46906
2017-02-08,2.473798943469774e-12,6.610048477919368e-13,45980,KGHM,45979
2017-02-09,2.673639087902302e-12,6.429723497735574e-13,76997,KGHM,76996
2017-02-10,2.772670981698866e-12,6.421364951197475e-13,68724,KGHM,68723
2017-02-13,3.691408290151799e-12,9.82492645971121e-13,45640,KGHM,45639
2017-02-14,3.6848302187308946e-12,9.90710546746256e-13,62592,KGHM,62591
2017-02-15,2.7116087153444823e-12,6.256424131497652e-13,81788,KGHM,81787
2017-02-16,3.5711433810092785e-12,8.602305597620805e-13,59086,KGHM,59085
2017-02-17,3.417932603611007e-12,8.444049163093889e-13,74624,KGHM,74623
2017-02-20,3.657074643115266e-12,9.853411423663496e-13,25719,KGHM,25718
2017-02-21,3.5739883275098805e-12,9.424144853568643e-13,65967,KGHM,65966
2017-02-22,3.731681630370076e-12,9.895909414155438e-13,59012,KGHM,59011
2017-02-23,3.765654454923606e-12,1.000899017212831e-12,82471,KGHM,82470
2017-02-24,3.872596687770624e-12,9.834243854468434e-13,100323,KGHM,100322
2017-02-27,3.672617765460018e-12,9.82316596657804e-13,67982,KGHM,67981
2017-02-28,3.646638546683789e-12,9.532029738491681e-13,81256,KGHM,81255
2017-03-01,3.708588991457873e-12,9.716872378038979e-13,59226,KGHM,59225
2017-03-02,3.5633718198369024e-12,9.93927356639226e-13,51604,KGHM,51603
2017-03-03,3.685690641574979e-12,8.701173155305346e-13,59627,KGHM,59626
2017-03-06,2.6469937353112982e-12,6.271834530462419e-13,40862,KGHM,40861
2017-03-07,2.7069457786410567e-12,6.515697105381089e-13,114815,KGHM,114814
2017-03-08,2.7329249974172853e-12,6.674205181144431e-13,58293,KGHM,58292
2017-03-09,2.6673108166619386e-12,6.631014416451153e-13,81497,KGHM,81496
2017-03-10,2.7197410989998616e-12,6.407025758024204e-13,65573,KGHM,65572
2017-03-13,2.674450938489059e-12,6.769691551637471e-13,35650,KGHM,35649
2017-03-14,2.6586510770698624e-12,6.180578816300018e-13,93710,KGHM,93709
2017-03-15,2.7982061112652445e-12,6.297975127422756e-13,70069,KGHM,70068
2017-03-16,2.6976199052342054e-12,6.142986242506396e-13,61137,KGHM,61136
2017-03-17,3.596456465970732e-12,8.576096365591009e-13,64341,KGHM,64340
2017-03-20,2.5583979379462107e-12,6.181091419804574e-13,65203,KGHM,65202
