breakeven_shortfall_bps,cohort,common_rows,control_seed,coverage,crossed_bps,entry_half_spread_bps,exit_half_spread_bps,gross_midpoint_bps,horizon,latency,max_identity_error_bps,model,period,prediction_rows,selected_rows,symbol,undefined_reason,unit
6.16893699053125,monthly,1098976,,0.0008608013277814985,-6.16893699053125,3.0845695238904773,4.011475707831059,0.9271082411903078,20,0,2.220446049250313e-12,linear,2017-04,1098976,946,KGHM,,bp
7.025683998750186,monthly,1098976,,0.0008608013277814985,-7.025683998750186,3.5496231227055346,4.011431601115578,0.5353707250709517,20,1,2.220446049250313e-12,linear,2017-04,1098976,946,KGHM,,bp
7.48102584679539,monthly,1098976,,0.0008608013277814985,-7.48102584679539,3.7661880908548544,4.011284377580242,0.2964466216397303,20,5,2.220446049250313e-12,linear,2017-04,1098976,946,KGHM,,bp
5.742806710016052,monthly,1098976,,0.040287504003727104,-5.742806710016052,3.1961334379578616,3.878725080471347,1.3320518084131554,20,0,2.220446049250313e-12,xgboost,2017-04,1098976,44275,KGHM,,bp
6.266401960587177,monthly,1098976,,0.040287504003727104,-6.266401960587177,3.4384580798916837,3.8786934462806966,1.050749565585204,20,1,2.220446049250313e-12,xgboost,2017-04,1098976,44275,KGHM,,bp
6.833084024917753,monthly,1098976,,0.040287504003727104,-6.833084024917753,3.5957454269938545,3.8786609086050285,0.6413223106811354,20,5,2.220446049250313e-12,xgboost,2017-04,1098976,44275,KGHM,,bp
5.015452307369142,monthly,1014565,,0.00507803837112457,-5.015452307369142,2.610004686283176,3.8044174711840197,1.3989698500981298,20,0,1.34736666268509e-12,linear,2017-06,1014565,5152,KGHM,,bp
5.734170130288085,monthly,1014565,,0.00507803837112457,-5.734170130288085,3.0357659870506364,3.8043847920682095,1.1059806488308146,20,1,1.34736666268509e-12,linear,2017-06,1014565,5152,KGHM,,bp
6.547552149981604,monthly,1014565,,0.00507803837112457,-6.547552149981604,3.3869874244496967,3.804304182926321,0.6437394573944256,20,5,1.34736666268509e-12,linear,2017-06,1014565,5152,KGHM,,bp
5.687243396050482,monthly,1014565,,0.06868263738646613,-5.687243396050482,3.1809399723065512,4.043960765256836,1.5376573415129127,20,0,1.34736666268509e-12,xgboost,2017-06,1014565,69683,KGHM,,bp
6.2510313413465335,monthly,1014565,,0.06868263738646613,-6.2510313413465335,3.4514559931852618,4.043953641768023,1.2443782936067571,20,1,1.34736666268509e-12,xgboost,2017-06,1014565,69683,KGHM,,bp
7.034074924357397,monthly,1014565,,0.06868263738646613,-7.034074924357397,3.711105455817593,4.043912627265492,0.7209431587256893,20,5,1.34736666268509e-12,xgboost,2017-06,1014565,69683,KGHM,,bp
,monthly,1014565,7.0,0.0,,,,,20,0,1.34736666268509e-12,xgboost,2017-06,1014565,0,KGHM,no_threshold_selected_rows,bp
,monthly,1014565,7.0,0.0,,,,,20,1,1.34736666268509e-12,xgboost,2017-06,1014565,0,KGHM,no_threshold_selected_rows,bp
,monthly,1014565,7.0,0.0,,,,,20,5,1.34736666268509e-12,xgboost,2017-06,1014565,0,KGHM,no_threshold_selected_rows,bp
4.064055188660306,monthly,916540,,0.02612215506142667,-4.064055188660306,2.1958320822545625,3.348382877458602,1.4801597710528382,20,0,2.220446049250313e-12,linear,2017-09,916540,23942,KGHM,,bp
