model,horizon,latency,interpretation,metric,expected,defined,mean,median,positive,available_case_mean,cohort
linear,10,0,reset,fill_probability,20,20,0.00544469568,0.0051792838,20,0.00544469568,monthly
linear,10,0,retain,fill_probability,20,20,0.00544469568,0.0051792838,20,0.00544469568,monthly
linear,10,1,reset,fill_probability,20,20,0.0065260964399999994,0.00626877765,20,0.0065260964399999994,monthly
linear,10,1,retain,fill_probability,20,20,0.0065260964399999994,0.00626877765,20,0.0065260964399999994,monthly
linear,10,5,reset,fill_probability,20,20,0.0082134362,0.0077812839500000005,20,0.0082134362,monthly
linear,10,5,retain,fill_probability,20,20,0.0082134362,0.0077812839500000005,20,0.0082134362,monthly
linear,20,0,reset,fill_probability,20,20,0.023625731820000002,0.022353168399999998,20,0.023625731820000002,monthly
linear,20,0,retain,fill_probability,20,20,0.023625731820000002,0.022353168399999998,20,0.023625731820000002,monthly
linear,20,1,reset,fill_probability,20,20,0.025750844449999997,0.024028957650000002,20,0.025750844449999997,monthly
linear,20,1,retain,fill_probability,20,20,0.025750844449999997,0.024028957650000002,20,0.025750844449999997,monthly
linear,20,5,reset,fill_probability,20,20,0.029895388535,0.0279787479,20,0.029895388535,monthly
linear,20,5,retain,fill_probability,20,20,0.029895388535,0.0279787479,20,0.029895388535,monthly
linear,50,0,reset,fill_probability,20,20,0.102338410135,0.0993377834,20,0.102338410135,monthly
linear,50,0,retain,fill_probability,20,20,0.102338410135,0.0993377834,20,0.102338410135,monthly
linear,50,1,reset,fill_probability,20,20,0.10609703479499999,0.10247797575,20,0.10609703479499999,monthly
linear,50,1,retain,fill_probability,20,20,0.10609703479499999,0.10247797575,20,0.10609703479499999,monthly
linear,50,5,reset,fill_probability,20,20,0.11511171964500003,0.11144336429999999,20,0.11511171964500003,monthly
linear,50,5,retain,fill_probability,20,20,0.11511171964500003,0.11144336429999999,20,0.11511171964500003,monthly
xgboost,10,0,reset,fill_probability,20,20,0.005232157760000001,0.00500120955,20,0.005232157760000001,monthly
xgboost,10,0,retain,fill_probability,20,20,0.005232157760000001,0.00500120955,20,0.005232157760000001,monthly
xgboost,10,1,reset,fill_probability,20,20,0.006201683674999999,0.0058882658000000004,20,0.006201683674999999,monthly
xgboost,10,1,retain,fill_probability,20,20,0.006201683674999999,0.0058882658000000004,20,0.006201683674999999,monthly
xgboost,10,5,reset,fill_probability,20,20,0.007989386855,0.0075979463,20,0.007989386855,monthly
xgboost,10,5,retain,fill_probability,20,20,0.007989386855,0.0075979463,20,0.007989386855,monthly
xgboost,20,0,reset,fill_probability,20,20,0.023364720985000004,0.02172019805,20,0.023364720985000004,monthly
xgboost,20,0,retain,fill_probability,20,20,0.023364720985000004,0.02172019805,20,0.023364720985000004,monthly
xgboost,20,1,reset,fill_probability,20,20,0.02524486184,0.02348422175,20,0.02524486184,monthly
xgboost,20,1,retain,fill_probability,20,20,0.02524486184,0.02348422175,20,0.02524486184,monthly
xgboost,20,5,reset,fill_probability,20,20,0.029572302110000004,0.0276535413,20,0.029572302110000004,monthly
xgboost,20,5,retain,fill_probability,20,20,0.029572302110000004,0.0276535413,20,0.029572302110000004,monthly
