cohort,interpretation,model,group,metric,expected,defined,mean,median,positive,available_case_mean
monthly,retain,xgboost,primary,fill_probability,5,5,0.02701117108,0.0271207613,5,0.02701117108
monthly,retain,xgboost,primary,mean_fill_time,5,5,13.81243497158,13.7532112184,5,13.81243497158
monthly,retain,xgboost,primary,markout_5,5,5,-0.24868474272,-0.2306625327,0,-0.24868474272
monthly,retain,xgboost,primary,passive_price_markout_5_bps,5,5,2.6578874948899998,2.3417666886,5,2.6578874948899998
monthly,retain,xgboost,control_seed7,fill_probability,5,5,0.05280872364,0.0502590561,5,0.05280872364
monthly,retain,xgboost,control_seed7,mean_fill_time,5,5,12.987779219179998,12.9733333333,5,12.987779219179998
monthly,retain,xgboost,control_seed7,markout_5,5,5,-0.23051232684,-0.20831221,2,-0.23051232684
monthly,retain,xgboost,control_seed7,passive_price_markout_5_bps,5,5,2.41839958821,2.4789924535,5,2.41839958821
monthly,reset,xgboost,primary,fill_probability,5,5,0.02701117108,0.0271207613,5,0.02701117108
monthly,reset,xgboost,primary,mean_fill_time,5,5,13.81243497158,13.7532112184,5,13.81243497158
monthly,reset,xgboost,primary,markout_5,5,5,-0.24868474272,-0.2306625327,0,-0.24868474272
monthly,reset,xgboost,primary,passive_price_markout_5_bps,5,5,2.6578874948899998,2.3417666886,5,2.6578874948899998
monthly,reset,xgboost,control_seed7,fill_probability,5,5,0.05280872364,0.0502590561,5,0.05280872364
monthly,reset,xgboost,control_seed7,mean_fill_time,5,5,12.987779219179998,12.9733333333,5,12.987779219179998
monthly,reset,xgboost,control_seed7,markout_5,5,5,-0.23051232684,-0.20831221,2,-0.23051232684
monthly,reset,xgboost,control_seed7,passive_price_markout_5_bps,5,5,2.41839958821,2.4789924535,5,2.41839958821
later,retain,xgboost,primary,fill_probability,5,5,0.022815289745735663,0.0186224226360538,5,0.022815289745735663
later,retain,xgboost,primary,mean_fill_time,5,5,14.161472450180446,14.05565594506686,5,14.161472450180446
later,retain,xgboost,primary,markout_5,5,5,-0.4560272908494385,-0.4351723400103447,0,-0.4560272908494385
later,retain,xgboost,primary,passive_price_markout_5_bps,5,5,2.0553810107098207,1.6384763684202053,5,2.0553810107098207
later,retain,xgboost,control_seed7,fill_probability,5,5,0.04300689192505384,0.0370153637855266,5,0.04300689192505384
later,retain,xgboost,control_seed7,mean_fill_time,5,5,13.434991260494709,13.435711698659906,5,13.434991260494709
later,retain,xgboost,control_seed7,markout_5,5,5,-0.42139198741917483,-0.3851901480157026,0,-0.42139198741917483
later,retain,xgboost,control_seed7,passive_price_markout_5_bps,5,5,1.6754318979384386,1.4023457328566746,5,1.6754318979384386
later,reset,xgboost,primary,fill_probability,5,5,0.022815289745735663,0.0186224226360538,5,0.022815289745735663
later,reset,xgboost,primary,mean_fill_time,5,5,14.161472450180446,14.05565594506686,5,14.161472450180446
later,reset,xgboost,primary,markout_5,5,5,-0.4560272908494385,-0.4351723400103447,0,-0.4560272908494385
later,reset,xgboost,primary,passive_price_markout_5_bps,5,5,2.0553810107098207,1.6384763684202053,5,2.0553810107098207
later,reset,xgboost,control_seed7,fill_probability,5,5,0.04300689192505384,0.0370153637855266,5,0.04300689192505384
later,reset,xgboost,control_seed7,mean_fill_time,5,5,13.434991260494709,13.435711698659906,5,13.434991260494709
later,reset,xgboost,control_seed7,markout_5,5,5,-0.42139198741917483,-0.3851901480157026,0,-0.42139198741917483
later,reset,xgboost,control_seed7,passive_price_markout_5_bps,5,5,1.6754318979384386,1.4023457328566746,5,1.6754318979384386
