task_id,symbol,period,model,feature_group,spread_bin,imbalance_bin,rows,ic,undefined_reason
78d7f2c4225ce46fa1a449844f5d91c785d4a1bec5ae68791b302a9fa6e47a2c,KGHM,2017-04,linear,F1,1,1,87337,0.1031735590423474,
78d7f2c4225ce46fa1a449844f5d91c785d4a1bec5ae68791b302a9fa6e47a2c,KGHM,2017-04,linear,F1,1,2,75699,0.1117120228830746,
78d7f2c4225ce46fa1a449844f5d91c785d4a1bec5ae68791b302a9fa6e47a2c,KGHM,2017-04,linear,F1,1,3,102602,0.1373076825832491,
78d7f2c4225ce46fa1a449844f5d91c785d4a1bec5ae68791b302a9fa6e47a2c,KGHM,2017-04,linear,F1,2,1,115561,0.0870745617622342,
78d7f2c4225ce46fa1a449844f5d91c785d4a1bec5ae68791b302a9fa6e47a2c,KGHM,2017-04,linear,F1,2,2,138561,0.0826988579419954,
78d7f2c4225ce46fa1a449844f5d91c785d4a1bec5ae68791b302a9fa6e47a2c,KGHM,2017-04,linear,F1,2,3,135840,0.107855691908357,
78d7f2c4225ce46fa1a449844f5d91c785d4a1bec5ae68791b302a9fa6e47a2c,KGHM,2017-04,linear,F1,3,1,126628,0.0525080968167666,
78d7f2c4225ce46fa1a449844f5d91c785d4a1bec5ae68791b302a9fa6e47a2c,KGHM,2017-04,linear,F1,3,2,158299,0.0631679058528347,
78d7f2c4225ce46fa1a449844f5d91c785d4a1bec5ae68791b302a9fa6e47a2c,KGHM,2017-04,linear,F1,3,3,158449,0.1019775646039812,
8892fe979314b8f1fc5628fc60ffaefecae4bef0fb0baced20901811892cdd9e,KGHM,2017-04,linear,F2,1,1,87337,0.1023066131150768,
8892fe979314b8f1fc5628fc60ffaefecae4bef0fb0baced20901811892cdd9e,KGHM,2017-04,linear,F2,1,2,75699,0.1117276083879552,
8892fe979314b8f1fc5628fc60ffaefecae4bef0fb0baced20901811892cdd9e,KGHM,2017-04,linear,F2,1,3,102602,0.1365797615776235,
8892fe979314b8f1fc5628fc60ffaefecae4bef0fb0baced20901811892cdd9e,KGHM,2017-04,linear,F2,2,1,115561,0.0857819184269984,
8892fe979314b8f1fc5628fc60ffaefecae4bef0fb0baced20901811892cdd9e,KGHM,2017-04,linear,F2,2,2,138561,0.0826478038565027,
8892fe979314b8f1fc5628fc60ffaefecae4bef0fb0baced20901811892cdd9e,KGHM,2017-04,linear,F2,2,3,135840,0.1067580146703238,
8892fe979314b8f1fc5628fc60ffaefecae4bef0fb0baced20901811892cdd9e,KGHM,2017-04,linear,F2,3,1,126628,0.0621852266517431,
8892fe979314b8f1fc5628fc60ffaefecae4bef0fb0baced20901811892cdd9e,KGHM,2017-04,linear,F2,3,2,158299,0.0638554345867735,
8892fe979314b8f1fc5628fc60ffaefecae4bef0fb0baced20901811892cdd9e,KGHM,2017-04,linear,F2,3,3,158449,0.1047439353283526,
