spread_bin,imbalance_bin,model,contrast,expected,defined,mean,median,positive,available_case_mean
1,1,linear,F2-F1,20,20,0.0013838990329454106,0.0008200563808627992,11,0.0013838990329454106
1,1,linear,F3-F2,20,20,0.0035664047178536927,0.003155595547714607,20,0.0035664047178536927
1,1,linear,F4-F2,20,20,0.0004841166165411505,5.9485016803251245e-05,11,0.0004841166165411505
1,1,linear,F5-F3,20,20,0.0003121590314044062,6.159618926650234e-05,11,0.0003121590314044062
1,1,linear,F5-F4,20,20,0.003394447132716948,0.0030312333102565994,20,0.003394447132716948
1,1,xgboost,F2-F1,20,20,0.00040499696766276087,0.002905407875948944,13,0.00040499696766276087
1,1,xgboost,F3-F2,20,20,0.038428769282929494,0.037985295115881945,20,0.038428769282929494
1,1,xgboost,F4-F2,20,20,0.0008560418584930583,0.000263159921534091,10,0.0008560418584930583
1,1,xgboost,F5-F3,20,20,-0.0007889704598248789,-0.0006982617948737974,8,-0.0007889704598248789
1,1,xgboost,F5-F4,20,20,0.03678375696461156,0.0360256024947558,20,0.03678375696461156
1,1,xgboost-linear,F1,20,20,-0.004407048398972628,-0.005676591003478344,6,-0.004407048398972628
1,1,xgboost-linear,F2,20,20,-0.005385950464255278,-0.003222995157955655,5,-0.005385950464255278
1,1,xgboost-linear,F3,20,20,0.029476414100820525,0.029487147182277143,20,0.029476414100820525
1,1,xgboost-linear,F4,20,20,-0.00501402522230337,-0.0053116687267591445,6,-0.00501402522230337
1,1,xgboost-linear,F5,20,20,0.02837528460959124,0.027617123509861244,19,0.02837528460959124
1,2,linear,F2-F1,20,20,0.00014457869843321618,2.120193515065677e-05,14,0.00014457869843321618
1,2,linear,F3-F2,20,20,0.004988861357627404,0.004346503471052247,20,0.004988861357627404
1,2,linear,F4-F2,20,20,-0.00019944580108421928,-0.0004300828542208521,7,-0.00019944580108421928
1,2,linear,F5-F3,20,20,-0.0005283388917320664,-0.0006415548605277072,6,-0.0005283388917320664
1,2,linear,F5-F4,20,20,0.004659968266979557,0.004245999143709704,20,0.004659968266979557
1,2,xgboost,F2-F1,20,20,0.0020176256121007484,0.002398165844138503,17,0.0020176256121007484
1,2,xgboost,F3-F2,20,20,0.04682283918171638,0.04520130057079165,20,0.04682283918171638
1,2,xgboost,F4-F2,20,20,-4.576016417440071e-05,0.00028667087264615254,11,-4.576016417440071e-05
1,2,xgboost,F5-F3,20,20,-0.0010870328369401278,-0.0007207693077514038,9,-0.0010870328369401278
1,2,xgboost,F5-F4,20,20,0.04578156650895066,0.0441936114636489,20,0.04578156650895066
1,2,xgboost-linear,F1,20,20,-0.005141896395703634,-0.0058763580331238005,3,-0.005141896395703634
1,2,xgboost-linear,F2,20,20,-0.0032688494820361015,-0.0024685102590464025,6,-0.0032688494820361015
1,2,xgboost-linear,F3,20,20,0.03856512834205288,0.037216156061587846,20,0.03856512834205288
1,2,xgboost-linear,F4,20,20,-0.003115163845126283,-0.0022727488841882554,8,-0.003115163845126283
1,2,xgboost-linear,F5,20,20,0.03800643439684481,0.037784142114194195,20,0.03800643439684481
1,3,linear,F2-F1,20,20,0.00042787393341441466,5.3950488883167114e-05,11,0.00042787393341441466
1,3,linear,F3-F2,20,20,0.003490838486564782,0.0029529415271091902,20,0.003490838486564782
1,3,linear,F4-F2,20,20,0.0008898209677027716,-0.000300606826361606,8,0.0008898209677027716
1,3,linear,F5-F3,20,20,0.0006911896418523057,-0.0003726483601617023,8,0.0006911896418523057
1,3,linear,F5-F4,20,20,0.003292207160714316,0.002837481501654457,20,0.003292207160714316
1,3,xgboost,F2-F1,20,20,-0.0008360238553363666,0.00011773312422626303,10,-0.0008360238553363666
1,3,xgboost,F3-F2,20,20,0.03837214847196622,0.03718928126406835,20,0.03837214847196622
1,3,xgboost,F4-F2,20,20,0.0015952039795796096,0.0018011122672678959,13,0.0015952039795796096
1,3,xgboost,F5-F3,20,20,-0.000549411456556212,7.891788477325246e-05,10,-0.000549411456556212
1,3,xgboost,F5-F4,20,20,0.036227533035830393,0.0358717138601676,20,0.036227533035830393
1,3,xgboost-linear,F1,20,20,-0.003372239293668851,-0.004799887055507948,6,-0.003372239293668851
1,3,xgboost-linear,F2,20,20,-0.004636137082419632,-0.004111235212951238,6,-0.004636137082419632
1,3,xgboost-linear,F3,20,20,0.030245172902981798,0.030415652597351947,19,0.030245172902981798
1,3,xgboost-linear,F4,20,20,-0.003930754070542794,-0.002726437129364448,6,-0.003930754070542794
1,3,xgboost-linear,F5,20,20,0.029004571804573276,0.030582306016233345,19,0.029004571804573276
2,1,linear,F2-F1,20,20,0.0003382319115853679,-0.0007139964976578539,7,0.0003382319115853679
2,1,linear,F3-F2,20,20,0.003394424469359051,0.002276793490460949,20,0.003394424469359051
2,1,linear,F4-F2,20,20,0.004894872996696808,0.003796250005558402,15,0.004894872996696808
2,1,linear,F5-F3,20,20,0.004543368049214826,0.0034946894289772934,15,0.004543368049214826
2,1,linear,F5-F4,20,20,0.003042919521877069,0.002096018421127298,20,0.003042919521877069
2,1,xgboost,F2-F1,20,20,0.002604351293255419,0.0015051633518493451,12,0.002604351293255419
2,1,xgboost,F3-F2,20,20,0.02349842049541198,0.022609247168512543,20,0.02349842049541198
2,1,xgboost,F4-F2,20,20,0.006203983896814253,0.006880646932739702,14,0.006203983896814253
2,1,xgboost,F5-F3,20,20,0.0040547777147148896,0.004451181509324741,13,0.0040547777147148896
2,1,xgboost,F5-F4,20,20,0.021349214313312624,0.021060293346929656,20,0.021349214313312624
2,1,xgboost-linear,F1,20,20,0.000901343317088734,0.0018483343610404407,12,0.000901343317088734
2,1,xgboost-linear,F2,20,20,0.0031674626987587854,0.0004683713963380548,11,0.0031674626987587854
2,1,xgboost-linear,F3,20,20,0.023271458724811723,0.018596968445244402,19,0.023271458724811723
2,1,xgboost-linear,F4,20,20,0.004476573598876231,0.0012246993491363961,11,0.004476573598876231
2,1,xgboost-linear,F5,20,20,0.022782868390311788,0.01925253526552405,19,0.022782868390311788
2,2,linear,F2-F1,20,20,-2.576708261623102e-05,-6.699337691740137e-05,8,-2.576708261623102e-05
2,2,linear,F3-F2,20,20,0.003679571421533907,0.002839728266832351,20,0.003679571421533907
2,2,linear,F4-F2,20,20,0.004235867071155782,0.002481892521651853,17,0.004235867071155782
2,2,linear,F5-F3,20,20,0.0038757236018283473,0.002461822761924949,17,0.0038757236018283473
2,2,linear,F5-F4,20,20,0.0033194279522064723,0.0026870073068578984,20,0.0033194279522064723
2,2,xgboost,F2-F1,20,20,0.0010285294667918637,0.0005887621100190976,12,0.0010285294667918637
2,2,xgboost,F3-F2,20,20,0.023757407570512132,0.022580907878986253,20,0.023757407570512132
2,2,xgboost,F4-F2,20,20,0.004282960735226336,0.0027963547638577488,13,0.004282960735226336
2,2,xgboost,F5-F3,20,20,0.00336558480988096,0.0019388997197346963,14,0.00336558480988096
2,2,xgboost,F5-F4,20,20,0.022840031645166754,0.020168473575437454,20,0.022840031645166754
2,2,xgboost-linear,F1,20,20,-0.002016316469240295,-0.0025621391131578457,8,-0.002016316469240295
2,2,xgboost-linear,F2,20,20,-0.0009620199198322,-0.00044805875713894647,8,-0.0009620199198322
2,2,xgboost-linear,F3,20,20,0.019115816229146022,0.018178299934542796,20,0.019115816229146022
2,2,xgboost-linear,F4,20,20,-0.0009149262557616458,0.0007554649743235012,11,-0.0009149262557616458
2,2,xgboost-linear,F5,20,20,0.01860567743719864,0.01895704708922725,20,0.01860567743719864
2,3,linear,F2-F1,20,20,-0.0006787793965979609,-0.0009158083906821018,6,-0.0006787793965979609
2,3,linear,F3-F2,20,20,0.0033229943866971957,0.002692219599542897,19,0.0033229943866971957
2,3,linear,F4-F2,20,20,0.0018759478821833285,7.631531043519879e-05,11,0.0018759478821833285
2,3,linear,F5-F3,20,20,0.0016178897707526743,9.504191962034919e-05,11,0.0016178897707526743
2,3,linear,F5-F4,20,20,0.0030649362752665416,0.0027098897656120946,20,0.0030649362752665416
2,3,xgboost,F2-F1,20,20,0.0011051772885654616,0.0012198111496653508,11,0.0011051772885654616
2,3,xgboost,F3-F2,20,20,0.02238967643578543,0.022905721680311752,20,0.02238967643578543
2,3,xgboost,F4-F2,20,20,0.0032010519725216248,0.0012172797315409961,12,0.0032010519725216248
2,3,xgboost,F5-F3,20,20,0.0019446851359732175,-0.0002961621168148937,9,0.0019446851359732175
2,3,xgboost,F5-F4,20,20,0.02113330959923702,0.021253154305474593,20,0.02113330959923702
2,3,xgboost-linear,F1,20,20,-0.0019054173665308768,-0.0011866327153986986,10,-0.0019054173665308768
2,3,xgboost-linear,F2,20,20,-0.0001214606813674541,0.0011722652781074039,11,-0.0001214606813674541
2,3,xgboost-linear,F3,20,20,0.018945221367720776,0.019783599596438252,19,0.018945221367720776
2,3,xgboost-linear,F4,20,20,0.0012036434089708428,0.0030406395197102587,13,0.0012036434089708428
2,3,xgboost-linear,F5,20,20,0.019272016732941318,0.02015276225198931,19,0.019272016732941318
3,1,linear,F2-F1,20,20,0.0011475618933331935,0.001174080608133253,11,0.0011475618933331935
3,1,linear,F3-F2,20,20,0.0017061133482083094,0.0014220345021472994,17,0.0017061133482083094
3,1,linear,F4-F2,20,20,0.005023191434322355,0.0024188326075208974,13,0.005023191434322355
3,1,linear,F5-F3,20,20,0.004659404616508529,0.0022972226585485506,13,0.004659404616508529
3,1,linear,F5-F4,20,20,0.0013423265303944838,0.0011558369883922504,17,0.0013423265303944838
3,1,xgboost,F2-F1,20,20,0.0033935777914050292,-0.0005206901975779027,10,0.0033935777914050292
3,1,xgboost,F3-F2,20,20,0.012968010755579651,0.0127828375295274,19,0.012968010755579651
3,1,xgboost,F4-F2,20,20,0.0066364532495839955,0.007676358097414553,15,0.0066364532495839955
3,1,xgboost,F5-F3,20,20,0.005311179595266206,0.006187362707399148,14,0.005311179595266206
3,1,xgboost,F5-F4,20,20,0.01164273710126186,0.009036243266589847,18,0.01164273710126186
3,1,xgboost-linear,F1,20,20,-0.006333633511343156,-0.005881767955209401,6,-0.006333633511343156
3,1,xgboost-linear,F2,20,20,-0.00408761761327132,-0.007807398410077604,8,-0.00408761761327132
3,1,xgboost-linear,F3,20,20,0.007174279794100019,0.0056323233029588055,14,0.007174279794100019
3,1,xgboost-linear,F4,20,20,-0.0024743557980096793,-0.0033841865430127016,7,-0.0024743557980096793
3,1,xgboost-linear,F5,20,20,0.007826054772857697,0.010160875108401003,15,0.007826054772857697
3,2,linear,F2-F1,20,20,0.00037226582604400483,0.0003255711175400994,12,0.00037226582604400483
3,2,linear,F3-F2,20,20,0.0018315124943623098,0.0011985988877165031,16,0.0018315124943623098
3,2,linear,F4-F2,20,20,0.004899622908098614,0.003535360625746199,16,0.004899622908098614
3,2,linear,F5-F3,20,20,0.004613886696073255,0.0028843339159581004,15,0.004613886696073255
3,2,linear,F5-F4,20,20,0.0015457762823369507,0.0009940306067874015,16,0.0015457762823369507
3,2,xgboost,F2-F1,20,20,-0.0008137125195698833,-0.0019447144897377505,7,-0.0008137125195698833
3,2,xgboost,F3-F2,20,20,0.013597259898711953,0.0097843474521788,19,0.013597259898711953
3,2,xgboost,F4-F2,20,20,0.005788176937313219,0.0037385201599943463,16,0.005788176937313219
3,2,xgboost,F5-F3,20,20,0.00442487393105335,0.002950351869413049,16,0.00442487393105335
3,2,xgboost,F5-F4,20,20,0.012233956892452085,0.009921023286837551,19,0.012233956892452085
3,2,xgboost-linear,F1,20,20,-0.0021541164021251264,-0.002256299490360396,9,-0.0021541164021251264
3,2,xgboost-linear,F2,20,20,-0.0033400947477390127,-0.0031242121259450473,8,-0.0033400947477390127
3,2,xgboost-linear,F3,20,20,0.00842565265661063,0.0105869018186299,16,0.00842565265661063
3,2,xgboost-linear,F4,20,20,-0.0024515407185244096,-0.0026291185413218968,9,-0.0024515407185244096
3,2,xgboost-linear,F5,20,20,0.008236639891590725,0.010027398504986948,15,0.008236639891590725
3,3,linear,F2-F1,20,20,-0.002102339654245022,-0.0016562499379373583,9,-0.002102339654245022
3,3,linear,F3-F2,20,20,0.001446056441068608,0.0007251838234141536,16,0.001446056441068608
3,3,linear,F4-F2,20,20,0.003672655472975292,0.0016511596884687535,13,0.003672655472975292
3,3,linear,F5-F3,20,20,0.0034161595694970222,0.001552782203341492,13,0.0034161595694970222
3,3,linear,F5-F4,20,20,0.0011895605375903384,0.0006460954306935981,14,0.0011895605375903384
3,3,xgboost,F2-F1,20,20,-0.0031573687151473205,-0.0035395582280433532,6,-0.0031573687151473205
3,3,xgboost,F3-F2,20,20,0.01230710751037949,0.010345886640498847,20,0.01230710751037949
3,3,xgboost,F4-F2,20,20,0.00503461412120951,0.0035021356245539537,14,0.00503461412120951
3,3,xgboost,F5-F3,20,20,0.004454156129767786,0.003278000475380953,14,0.004454156129767786
3,3,xgboost,F5-F4,20,20,0.011726649518937763,0.0100937441071908,19,0.011726649518937763
3,3,xgboost-linear,F1,20,20,-0.00382344946119983,-0.004392108534771351,5,-0.00382344946119983
3,3,xgboost-linear,F2,20,20,-0.004878478522102129,-0.0068200754435792516,6,-0.004878478522102129
3,3,xgboost-linear,F3,20,20,0.005982572547208754,0.00695544548203595,12,0.005982572547208754
3,3,xgboost-linear,F4,20,20,-0.003516519873867909,-0.00612175250186605,8,-0.003516519873867909
3,3,xgboost-linear,F5,20,20,0.007020569107479518,0.00523992083029555,13,0.007020569107479518
