symbol,day,role,source_rows,snapshot_rows,snapshot_bytes,feature_bytes,features_sha256,snapshots_sha256,config_hash
KGHM,2017-01-02,scientific_cache,96330,75922,1305278,1227781,ca9b63f727f13282c7e55890b124c3b117ff9e289e2c742180456f8b97892f68,fda4b5d89644f0a5c51b7c2960194f09046e8e5167300f97f1f9ccbcb0e4ba6f,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-03,scientific_cache,191484,130518,2063553,2030856,6642c5f2513ad96a3118aa2781421a3a4d320f6a519f042d7354b7f5f1f2b581,47e69d7af0980d20f75b86dc00d4c88339d2ffe7753462706d8f0457d4beed1d,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-04,scientific_cache,206321,140620,2291705,2323784,0a9f5f3d4181a006720c7dde28086deae4318a119aca03e2bef3e751e1febafb,5097e28aad32929594740eee29aa5077cb6b609087ff038c707110c50fb05fba,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-05,scientific_cache,129281,95031,1583662,1703336,538ff6919854e330da7fd1adf11e23450b62b63726a5895b0e51e605871b81f7,8dde7c57ab204827b51a9fca81211ad2467d1a04027d7407fc9f0ab02a4571f7,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-09,scientific_cache,104369,72671,1219388,1311566,abf61a182af1f478c529dd54d2dfa980e23118ef34980ca8a814e028581b96d1,b6777c63da35d079e3bf4648b615072cab24535146641d77f06ac980d2ac5d79,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-10,scientific_cache,218864,161800,2451619,2604989,366e23f3f75c836799c8f0ad553ab34adf4ab7f15775bcedafabb1f0ef840ac6,c723e82f911c4acd82f8351310ce5fb259fe7d9401c7d40bc46f3b32c6cde948,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-11,scientific_cache,144260,80447,1169147,1692132,998b566d7ef9b876efe3dcd6047f9ebf0ca561c327a3c2abfcb4cf8e66883b97,3807062281a528ad02fc23b898d150aeb92d27bb9d6174519a6153ba5df8d3d4,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-12,scientific_cache,199666,114623,1690053,2323269,2607b013fa750db1c8e0e3982e4756e422da2e51840cc10af18382f85fa99139,8a9ef737749df99d1826a248f50b7f4cbb2a35824992d54312dd79a670db2e37,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-13,scientific_cache,114039,69872,1104959,1412895,aa0947942ffa33fd3b6b39f0448f6c31de0e168cbdcdc72085fe93518fff9e81,269f8553b8e9007d33de77212615a77845ef3a03d40c16964fec59734fbc4a3e,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-16,scientific_cache,122506,78573,1227978,1486770,daa680ce1b2a82b297db6ef9bec1d23e3b4fc541e1f4a4b05c3909901816d248,b3746a22f2468d59fe9c3b99e7b9954d44af20877136e9947894095cc6cd1c6a,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-17,scientific_cache,124854,69274,1112670,1369524,e947532d1975ef6ca81bd5ca44ca1481822fc2c84d53110894b5e96ac3a1a06d,9109e3e5f083ef672d01357a5cbf70a427f744dad4098d1afb51c6e370ee8330,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-18,scientific_cache,167219,119697,2153835,2625960,e8fdc0fa6761314e0f8d7618ef2064029619dc9f64e59b1b6892ce78fa8a31a0,e0ac41875b3b34ddc217f1836965f38176f7e4b4881202fb853ec2be951c7ba5,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-19,scientific_cache,146624,106227,1739809,2068620,dc9739e2fc5740c741662d2854e3f0c84659c6431a85ad7a55d18662d98280ef,6abdbad27124b6f6b6be3e08d432616af7729cdd8f1889d56d87a7f1af25fa58,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-20,scientific_cache,76759,42898,809163,991834,47fa5cc93aff994cd6c7613aafbd9ce73662bb4dcd7963d11469d2373e96ae9f,9594cc2ce6d55c5805b9581753cd59eb9222a3870ab56db5da199160f25ecacf,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-23,scientific_cache,62981,41086,716361,896056,b8960ccf9c8d2cf84c0c1f672d7fc961505693df608c77a8892dd1dd604f49da,222b46303a2c05b9510dfa9a02d4fee85f7b6dc7e656c915a03a2993c68a9ec4,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-24,scientific_cache,119771,83529,1295967,1730304,e4e908d3e4122ab7f3efcd25b59c4a64ac3ebe679d55b98a78cc8ad9e82de6e9,623fc1becaf7d38e8fed1ad40befd6fe472dcd40af61f5d029209f4ba1a9903f,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-25,scientific_cache,139723,83415,1270506,1606901,3a899ff1c20153ff1dda882babf467a8fcd6ae6a38d57eb6bad12d92f55d51a4,e726cca2f72ee6849a34c2a7f798e047aca134077e039fd8de9ee7815e5e22ab,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-26,scientific_cache,167726,93048,1519404,1776845,a11397bb72f502834e3af4ef228c8cac1be05947dbe3e833cbb439090f788639,7d8cab6d2234e9b6ff0731be891a63d00f8864897fd3d50f1db1e6bb9ab3073a,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-27,scientific_cache,151902,102004,1600371,1848216,924adddb981bc916fae96717ac3e487baad9db5ebe1c0ef51361b114d5368357,6fc8afaff79459980f2f0b76ef3b4baebde0cceacfc11788d021fc271b1d4837,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-30,scientific_cache,132606,74451,1133233,1411034,cc7c6eb7f413e1fdbf6fc10aa299edf55af8a39f3999105be77a2987816f3276,21fe8f0a90913e28c9587e03471e97a18e758a27daa3d24644f6eb3ea4a2784f,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-01-31,scientific_cache,112705,70014,1066601,1327800,9966dbbf6a081a6a9b86caf9266192062aca5e86551ec0cfc1f9fc84b7655d9c,7acdac4e643859cff7b471c4880c33ade4a36ec4446c6f7adedcec91e4f7a891,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-02-01,scientific_cache,107529,60130,925333,1187692,579a29f126ed7af2b8cc2ffcfb2f12e6730a86460bb419155eddd64744b33350,a0b693c764e8293383dba9cad88e6d12bf442bd85952fee16abfd4a56f7e28c7,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-02-02,scientific_cache,98339,68638,1050298,1321108,9b91039565ea148876fa7409229422d912aee3ff6e9959a032877ad4c81ec4a1,c3cdf554f1180b9231f2cd94a099ff84ddacafcedbb2615252ffd303c569d07a,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-02-03,scientific_cache,103523,63735,906739,1188184,9670d4b72257c9c1b193f52c172c2a0b9cf88d5cbe85e05a50fc0a7f3daaed7a,fbe75103739207f70d030d4e250c50d1c99a960b290d7f9ec59c3775b677ef97,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-02-06,scientific_cache,74637,52904,866600,1046704,26506187af1a2bc9f793e5ecf3fd9a2fe37d82f00214a2924759d71d80164642,7a4b18c533e4ad5b0bfc1404a55114bea896777fc7da7019207cc4b1b6a1f395,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-02-07,scientific_cache,72399,46907,694023,912506,55f3e2def3b45a9e3e915051958d7c166bc3a48e922273a34ed4e209ed29e9f3,dc172470fe5f8cc2eef7c7c2d192a2e5735ed5b52fb94cabea739c1501f2c961,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-02-08,scientific_cache,82681,45980,654790,892953,11670e5917a56430b9f8811d2ac83583560084f9e94fe01bd927ca2038c07ed2,bcd3c9e4f1ddabb8fd6179d6bb16c132b732ef61d0fe22bd683dd69825ba91bf,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-02-09,scientific_cache,105571,76997,1201025,1543992,cf5b361914402b775d1b60bf817bf372c85f57508dc65e9aae62d54ce284eb4b,a30be0bace3e66bd14a0b6eccb372e8cae0eddc8e91749bba59af7f9b639a1d1,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-02-10,scientific_cache,103002,68724,1087860,1438525,1b9f78d78186417cbc99083458cef8ca5704927b372317722b800ae787bd6fc4,6814dbc1b879629bd9199acad3af2d382d95b0fae0948661b05e6472d233e90d,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-02-13,scientific_cache,80046,45640,695640,918116,d9f88fd66bb865db674fa66f5d9e95793104811873b7832d3a092ff6a390f5d2,b877869b622eaf4747eca9dddcb1281bd837e30402c34914c54227309b0d4807,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-02-14,scientific_cache,97027,62592,895551,1210710,baf8c9bd1ac15acf41334ea38161b0b0099f911b8c333b3ddcbc4ae4a9ac93be,776e9e2607612fd8201b4e1c68cb3aa2f4014b42dddf9e26c2095d6421151d88,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-02-15,scientific_cache,124321,81788,1191275,1517504,4be962d9d972a982793027c76ef71fb64724c2a3c62f6c648b0ea89074207c4f,e95376d8b0b05ffad2f5ddb4f55f2ab230d9bf2f8f4d1b28545ebf6c891f5044,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-02-16,scientific_cache,88195,59086,890382,1137331,e39c022531dc40557458d9dc670da9129b0cf45c507a2f4b44892d1f94c1d2f5,ef7b787f7f1ed0920a3ad57bc87dcd8baf89a1b4c6c1fb55595949f8eca6c97a,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
KGHM,2017-02-17,scientific_cache,100023,74624,1099249,1404438,8390e174e26ecdf635ba46a06ca10db467ba4bae396d8b634174a90544a8ea36,ccb0bd9e06583299a7d2cb3bac60aec92ded8e8998da154680197d6ee67a8e19,2457a7f5f20dc552bbe9479d9c8769e38256c209ff699f00b2b4690287bc6cc7
