model,horizon,control_seed,ic,direction_accuracy,cost_coverage,selected_midpoint_diagnostic_bps,prediction_decile_monotonicity,symbol_month_blocks
hist_gradient_boosting,10,,0.24033835699055536,0.6775012884540391,0.008213246269164346,1.6340954848008156,1.0,5
hist_gradient_boosting,20,,0.2673225523808413,0.6598442397032808,0.05207122876262569,1.5303647310965696,1.0,5
hist_gradient_boosting,50,,0.2638190162734077,0.6280344734192141,0.23737914382112596,1.4817801426515413,1.0,5
linear,10,,0.22831934868038264,0.6750859937615298,7.257342957261198e-05,0.7527701534339282,1.0,20
linear,20,,0.2551929571030266,0.6546642745367193,0.024284379880065318,1.0518357723907328,1.0,20
linear,50,,0.2523529675710743,0.622370063392187,0.23639841028141145,1.3428373474812072,1.0,20
xgboost,10,7.0,0.011982169577609383,0.5089764049518578,0.0,,0.6,5
xgboost,10,,0.2366879434191979,0.6783077720592636,0.01990988378942686,1.3145251241477058,1.0,20
xgboost,20,7.0,0.034215550495275325,0.5187656652413564,0.0,,0.7555555555555555,5
xgboost,20,17.0,-0.004558677284335746,0.4966528162511542,0.0,,0.3333333333333333,1
xgboost,20,29.0,0.052781354462752374,0.526124435048841,0.0,,0.7777777777777778,1
xgboost,20,,0.26163926956069034,0.6571148395443753,0.06874630046829533,1.3203569681896492,1.0,20
xgboost,50,7.0,0.044124288168164806,0.5193616235632662,0.0,,0.7777777777777778,5
xgboost,50,,0.25852653990527535,0.6245217707839594,0.24271423562267902,1.3781960118266416,1.0,20
