model,horizon,control_seed,n_test,ic,direction_accuracy,cost_coverage,mean_abs_markout_bps,mean_signed_markout_after_cost_bps
linear,10,,16867094,0.2279541513994372,0.6747156441710807,6.450429457498725e-05,0.772090604470569,-0.17692125009659695
xgboost,10,,16867094,0.23669116049817057,0.6778276247581508,0.018512969691163162,0.772090604470569,0.35856065876963483
linear,20,,16824982,0.2546842156000515,0.6540339805641123,0.018073065397633113,1.2880042726545642,0.3102884983843323
xgboost,20,,16824982,0.26154858303325346,0.6563446128863626,0.06405272825849086,1.2880042726545642,0.3604930372662681
linear,50,,16711082,0.25356993156090174,0.6223624404886774,0.22949303940941707,2.4248039529045537,0.3451644457633794
xgboost,50,,16711082,0.260514930273585,0.6245108719003774,0.23625130916119016,2.4248039529045537,0.407415130934614
hist_gradient_boosting,10,,4570530,0.23803554202309526,0.6756405871403729,0.007335035542923906,0.8740585585449819,0.5874873330536492
xgboost,10,7.0,4570530,0.010423477780324895,0.5079325875868127,0.0,0.8740585585449819,
hist_gradient_boosting,20,,4561840,0.2660425333189079,0.6588255645438404,0.04692119846377777,1.4106985407028245,0.5116416960910801
xgboost,20,7.0,4561840,0.031992250715991134,0.5185788617412286,0.0,1.4106985407028245,
hist_gradient_boosting,50,,4537668,0.2651031839705858,0.6279591558227838,0.22878668073556727,2.5873088326183544,0.5088762875025431
xgboost,50,7.0,4537668,0.04019567332033846,0.518751431837142,0.0,2.5873088326183544,
xgboost,20,17.0,657478,-0.004558677284335746,0.4966528162511542,0.0,1.5556662259484149,
xgboost,20,29.0,657478,0.052781354462752374,0.526124435048841,0.0,1.5556662259484149,
